Algoritmo,Ciclo,Ticks
0,1,48
0,1,48
0,1,48
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,80
0,1,80
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,77
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,77
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,77
0,1,51
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,51
0,1,48
0,1,51
0,1,48
0,1,77
0,1,80
0,1,51
0,1,51
0,1,48
0,1,48
0,1,80
0,1,80
0,1,80
0,1,77
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,80
0,1,48
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,77
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,77
0,1,51
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,51
0,1,51
0,1,48
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,77
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
0,1,77
0,1,80
0,1,48
0,1,51
0,1,48
0,1,51
0,1,48
0,1,80
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,6.625
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875  
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,3.1875
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
1,1,4.0
