Algoritmo,Tamaño,Ticks
0,4096,64548
0,4096,36069
0,4096,35953
0,4096,35913
0,4096,53601
0,4096,16041
0,4096,15966
0,4096,15504
0,4096,15576
0,4096,15576
0,4096,15639
0,4096,15609
0,4096,15561
0,4096,15576
0,4096,15615
0,4096,15609
0,4096,15555
0,4096,15573
0,4096,15615
0,4096,15609
0,4096,15555
0,4096,15576
0,4096,15615
0,4096,15609
0,4096,15561
0,4096,15576
0,4096,15615
0,4096,15609
0,4096,15561
0,4096,15573
0,4096,15612
0,4096,15609
0,4096,15561
0,4096,15576
0,4096,15612
0,4096,15609
0,4096,15555
0,4096,15573
0,4096,15612
0,4096,15609
0,4096,15555
0,4096,15576
0,4096,15612
0,4096,15609
0,4096,15561
0,4096,15564
0,4096,15615
0,4096,15609
0,4096,15561
0,4096,15558
0,4096,15615
0,4096,15609
0,4096,15561
0,4096,15573
0,4096,15615
0,4096,15609
0,4096,15549
0,4096,15555
0,4096,15615
0,4096,15609
0,4096,15549
0,4096,15555
0,4096,15612
0,4096,15609
0,4096,15561
0,4096,15570
0,4096,15609
0,4096,15612
0,4096,15558
0,4096,15564
0,4096,15609
0,4096,15606
0,4096,15558
0,4096,15573
0,4096,15603
0,4096,15588
0,4096,15549
0,4096,15567
0,4096,15603
0,4096,15591
0,4096,15555
0,4096,15576
0,4096,15612
0,4096,15609
0,4096,15561
0,4096,15576
0,4096,15612
0,4096,15609
0,4096,15555
0,4096,15573
0,4096,15621
0,4096,15609
0,4096,15561
0,4096,15576
0,4096,15621
0,4096,15609
0,4096,15555
0,4096,15576
0,4096,15612
0,4096,15609
0,4096,52830
0,4096,29256
0,4096,29646
0,4096,29358
0,4096,29556
0,4096,29580
0,4096,29574
0,4096,29472
0,4096,29514
0,4096,29586
0,4096,29580
0,4096,29472
0,4096,29526
0,4096,29586
0,4096,29574
0,4096,29490
0,4096,29514
0,4096,29586
0,4096,29574
0,4096,29472
0,4096,29520
0,4096,29580
0,4096,29574
0,4096,29472
0,4096,29496
0,4096,29586
0,4096,29580
0,4096,29490
0,4096,29526
0,4096,29586
0,4096,29580
0,4096,29472
0,4096,29514
0,4096,29586
0,4096,29574
0,4096,29472
0,4096,29508
0,4096,29586
0,4096,29574
0,4096,29490
0,4096,29502
0,4096,29586
0,4096,29574
0,4096,29490
0,4096,29508
0,4096,29586
0,4096,29580
0,4096,29496
0,4096,29484
0,4096,29586
0,4096,29580
0,4096,29472
0,4096,29520
0,4096,29580
0,4096,29574
0,4096,29472
0,4096,29478
0,4096,29580
0,4096,29574
0,4096,29460
0,4096,29472
0,4096,29586
0,4096,29574
0,4096,29472
0,4096,29526
0,4096,29574
0,4096,29568
0,4096,29466
0,4096,29514
0,4096,29580
0,4096,29568
0,4096,29466
0,4096,29502
0,4096,29574
0,4096,114924
0,4096,29628
0,4096,29382
0,4096,63813
0,4096,36069
0,4096,34914
0,4096,35005
0,4096,35120
0,4096,35005
0,4096,35038
0,4096,35129
0,4096,35121
0,4096,35013
0,4096,35038
0,4096,35137
0,4096,35121
0,4096,35005
0,4096,35054
0,4096,35128
0,4096,35128
0,4096,35005
0,4096,35055
0,4096,35128
0,4096,35121
0,4096,35005
0,4096,35054
0,16384,229358
0,16384,136760
0,16384,138270
0,16384,138493
0,16384,138270
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138558
0,16384,138748
0,16384,138550
0,16384,138748
0,16384,138550
0,16384,138748
0,16384,138558
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138575
0,16384,138748
0,16384,138567
0,16384,138748
0,16384,138558
0,16384,138748
0,16384,138550
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138559
0,16384,138749
0,16384,138550
0,16384,138749
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138748
0,16384,138534
0,16384,138749
0,16384,138551
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138749
0,16384,138567
0,16384,138748
0,16384,138567
0,16384,181293
0,16384,138443
0,16384,138492
0,16384,138716
0,16384,138600
0,16384,138740
0,16384,138608
