Algoritmo,Tamaño,Ticks
0,4096,30021
0,4096,12936
0,4096,12285
0,4096,12282
0,4096,12282
0,4096,12285
0,4096,12291
0,4096,12282
0,4096,12285
0,4096,12276
0,4096,12285
0,4096,12276
0,4096,12279
0,4096,12285
0,4096,12285
0,4096,12279
0,4096,12279
0,4096,12279
0,4096,12285
0,4096,12285
0,4096,12288
0,4096,12279
0,4096,12282
0,4096,12276
0,4096,12285
0,4096,12279
0,4096,12282
0,4096,12285
0,4096,12288
0,4096,12282
0,4096,12285
0,4096,12276
0,4096,12285
0,4096,12279
0,4096,12282
0,4096,12282
0,4096,12288
0,4096,12285
0,4096,12285
0,4096,12279
0,4096,12306
0,4096,12276
0,4096,12282
0,4096,12279
0,4096,12282
0,4096,12285
0,4096,12288
0,4096,12282
0,4096,12282
0,4096,12276
0,4096,12282
0,4096,12279
0,4096,12282
0,4096,12282
0,4096,12288
0,4096,12285
0,4096,12285
0,4096,12276
0,4096,12282
0,4096,12276
0,4096,12285
0,4096,12282
0,4096,12282
0,4096,12285
0,4096,12288
0,4096,12282
0,4096,12282
0,4096,12276
0,4096,12282
0,4096,12279
0,4096,12282
0,4096,12282
0,4096,12288
0,4096,12285
0,4096,12285
0,4096,12276
0,4096,12282
0,4096,12279
0,4096,12285
0,4096,12279
0,4096,12285
0,4096,12285
0,4096,12288
0,4096,12282
0,4096,12282
0,4096,12276
0,4096,12282
0,4096,12279
0,4096,12282
0,4096,12282
0,4096,12288
0,4096,12285
0,4096,12285
0,4096,12279
0,4096,12282
0,4096,12276
0,4096,12285
0,4096,12282
0,4096,12282
0,4096,12285
0,16384,107457
0,16384,52041
0,16384,47013
0,16384,46848
0,16384,46902
0,16384,46806
0,16384,46806
0,16384,46872
0,16384,47130
0,16384,46809
0,16384,46758
0,16384,46680
0,16384,46632
0,16384,46608
0,16384,46575
0,16384,46554
0,16384,46539
0,16384,46515
0,16384,46632
0,16384,46569
0,16384,46572
0,16384,46560
0,16384,46536
0,16384,46548
0,16384,46536
0,16384,46596
0,16384,113211
0,16384,90102
0,16384,46722
0,16384,46608
0,16384,46524
0,16384,46563
0,16384,46542
0,16384,46578
