Algoritmo,Tamaño,Ticks
1,64,1040
1,64,388
1,64,272
1,64,264
1,64,264
1,64,264
1,64,272
1,64,272
1,64,273
1,64,272
1,64,272
1,64,280
1,64,272
1,64,272
1,64,281
1,64,272
1,64,273
1,64,272
1,64,272
1,64,273
1,64,281
1,64,272
1,64,264
1,64,264
1,64,273
1,64,272
1,64,264
1,64,272
1,64,264
1,64,272
1,64,273
1,64,264
1,64,264
1,64,273
1,64,264
1,64,273
1,64,273
1,64,273
1,64,273
1,64,264
1,64,272
1,64,264
1,64,264
1,64,272
1,64,264
1,64,272
1,64,264
1,64,272
1,64,264
1,64,272
1,64,264
1,64,272
1,64,264
1,64,272
1,64,272
1,64,264
1,64,272
1,64,272
1,64,272
1,64,272
1,64,264
1,64,272
1,64,272
1,64,264
1,64,264
1,64,264
1,64,273
1,64,272
1,64,264
1,64,264
1,64,264
1,64,264
1,64,264
1,64,264
1,64,264
1,64,123
1,64,123
1,64,120
1,64,117
1,64,117
1,64,123
1,64,123
1,64,123
1,64,117
1,64,123
1,64,117
1,64,123
1,64,123
1,64,117
1,64,126
1,64,117
1,64,120
1,64,117
1,64,120
1,64,114
1,64,123
1,64,114
1,64,123
1,64,120
1,64,123
1,256,1510
1,256,990
1,256,858
1,256,743
1,256,751
1,256,742
1,256,751
1,256,750
1,256,750
1,256,759
1,256,751
1,256,750
1,256,751
1,256,751
1,256,750
1,256,751
1,256,751
1,256,751
1,256,759
1,256,742
1,256,742
1,256,743
1,256,743
1,256,751
1,256,743
1,256,743
1,256,742
1,256,743
1,256,750
1,256,742
1,256,751
1,256,742
1,256,751
1,256,743
1,256,742
1,256,751
1,256,742
1,256,742
1,256,743
1,256,743
1,256,743
1,256,743
1,256,742
1,256,742
1,256,751
1,256,742
1,256,743
1,256,751
1,256,742
1,256,743
1,256,742
1,256,742
1,256,751
1,256,742
1,256,751
1,256,743
1,256,751
1,256,743
1,256,742
1,256,750
1,256,743
1,256,743
1,256,743
1,256,743
1,256,742
1,256,742
1,256,742
1,256,742
1,256,360
1,256,330
1,256,330
1,256,330
1,256,330
1,256,333
1,256,333
1,256,336
1,256,336
1,256,333
1,256,333
1,256,333
1,256,333
1,256,336
1,256,333
1,256,333
1,256,333
1,256,333
1,256,333
1,256,342
1,256,333
1,256,339
1,256,333
1,256,345
1,256,333
1,256,333
1,256,333
1,256,333
1,256,333
1,256,339
1,256,333
1,256,330
1,1024,3993
1,1024,3078
1,1024,2780
1,1024,2764
1,1024,2714
1,1024,2722
1,1024,2722
1,1024,2722
1,1024,2722
1,1024,2730
1,1024,2731
1,1024,2706
1,1024,2739
1,1024,2739
1,1024,2722
1,1024,2723
1,1024,2722
1,1024,2722
1,1024,2731
1,1024,2731
1,1024,2756
1,1024,2722
1,1024,2714
1,1024,2731
1,1024,2706
1,1024,2723
1,1024,2731
1,1024,2739
1,1024,2706
1,1024,2722
1,1024,2706
1,1024,2722
1,1024,2722
1,1024,2731
1,1024,2739
1,1024,26713
1,1024,1245
1,1024,1212
1,1024,1215
1,1024,1212
1,1024,1212
1,1024,1200
1,1024,1209
1,1024,1206
1,1024,1212
1,1024,1218
1,1024,1206
1,1024,1200
1,1024,1200
1,1024,1209
1,1024,1209
1,1024,1212
1,1024,1206
1,1024,1221
1,1024,1218
1,1024,1203
1,1024,1200
1,1024,1218
1,1024,1200
1,1024,1212
1,1024,1206
1,1024,1218
1,1024,1218
1,1024,1203
1,1024,1206
1,1024,1218
1,1024,1206
1,1024,1209
1,1024,1215
1,1024,1206
1,1024,1209
1,1024,1200
1,1024,1203
1,1024,1197
1,1024,1212
1,1024,1203
1,1024,1209
1,1024,1206
1,1024,1209
1,1024,1200
1,1024,1203
1,1024,1197
1,1024,1212
1,1024,1203
1,1024,1209
1,1024,1212
1,1024,1209
1,1024,1200
1,1024,1209
1,1024,1197
1,1024,1209
1,1024,1203
1,1024,1209
1,1024,1212
1,1024,1206
1,1024,1197
1,1024,1212
1,1024,1197
1,1024,1209
1,1024,1203
1,4096,41943
1,4096,13101
1,4096,10709
1,4096,10635
1,4096,10659
1,4096,10643
1,4096,10617
1,4096,10668
1,4096,10601
1,4096,10585
1,4096,31242
1,4096,4728
1,4096,4725
1,4096,4683
1,4096,4707
1,4096,4740
1,4096,4740
1,4096,4710
1,4096,4737
1,4096,4707
1,4096,4749
1,4096,4737
1,4096,4710
1,4096,4710
1,4096,4737
1,4096,4710
1,4096,4719
1,4096,4746
1,4096,4716
1,4096,4740
1,4096,4731
1,4096,4725
1,4096,4716
1,4096,4701
1,4096,4707
1,4096,4707
1,4096,4716
1,4096,4710
1,4096,4719
1,4096,4701
1,4096,4710
1,4096,4710
1,4096,4731
