Algoritmo,Tamaño,Ticks
1,64,1476
1,64,479
1,64,404
1,64,354
1,64,363
1,64,363
1,64,372
1,64,371
1,64,371
1,64,372
1,64,371
1,64,371
1,64,371
1,64,372
1,64,372
1,64,363
1,64,371
1,64,363
1,64,363
1,64,363
1,64,363
1,64,372
1,64,371
1,64,371
1,64,371
1,64,363
1,64,363
1,64,363
1,64,363
1,64,371
1,64,371
1,64,371
1,64,372
1,64,363
1,64,363
1,64,363
1,64,363
1,64,371
1,64,372
1,64,371
1,64,371
1,64,363
1,64,363
1,64,363
1,64,363
1,64,371
1,64,371
1,64,372
1,64,371
1,64,363
1,64,363
1,64,363
1,64,363
1,64,372
1,64,371
1,64,371
1,64,371
1,64,363
1,64,363
1,64,363
1,64,363
1,64,371
1,64,371
1,64,371
1,64,372
1,64,363
1,64,363
1,64,363
1,64,363
1,64,371
1,64,372
1,64,371
1,64,371
1,64,363
1,64,363
1,64,363
1,64,363
1,64,371
1,64,371
1,64,372
1,64,371
1,64,25052
1,64,174
1,64,159
1,64,183
1,64,159
1,64,159
1,64,189
1,64,159
1,64,189
1,64,159
1,64,159
1,64,159
1,64,156
1,64,159
1,64,162
1,64,159
1,64,186
1,64,159
1,64,159
1,256,1782
1,256,1493
1,256,1147
1,256,1072
1,256,1064
1,256,1073
1,256,1073
1,256,1072
1,256,1072
1,256,1073
1,256,1064
1,256,1073
1,256,1065
1,256,1065
1,256,1072
1,256,1064
1,256,1073
1,256,1072
1,256,1065
1,256,1064
1,256,1065
1,256,1064
1,256,1072
1,256,1064
1,256,1064
1,256,1073
1,256,1064
1,256,1073
1,256,1065
1,256,1064
1,256,1072
1,256,1073
1,256,1064
1,256,1072
1,256,1064
1,256,1072
1,256,1065
1,256,1064
1,256,1072
1,256,1064
1,256,1064
1,256,1072
1,256,1064
1,256,1064
1,256,1064
1,256,1065
1,256,1072
1,256,1064
1,256,1064
1,256,1073
1,256,1065
1,256,1073
1,256,1064
1,256,1065
1,256,1072
1,256,1073
1,256,1064
1,256,1072
1,256,1065
1,256,501
1,256,507
1,256,477
1,256,480
1,256,474
1,256,480
1,256,474
1,256,480
1,256,480
1,256,474
1,256,474
1,256,480
1,256,480
1,256,474
1,256,474
1,256,477
1,256,477
1,256,471
1,256,471
1,256,474
1,256,471
1,256,477
1,256,474
1,256,471
1,256,477
1,256,471
1,256,471
1,256,477
1,256,471
1,256,474
1,256,471
1,256,474
1,256,477
1,256,471
1,256,477
1,256,471
1,256,471
1,256,474
1,256,471
1,256,480
1,256,480
1,1024,4397
1,1024,4158
1,1024,3828
1,1024,3803
1,1024,3811
1,1024,3812
1,1024,3828
1,1024,3812
1,1024,3820
1,1024,3812
1,1024,3820
1,1024,3803
1,1024,3812
1,1024,3804
1,1024,3819
1,1024,3803
1,1024,3811
1,1024,3803
1,1024,3820
1,1024,3812
1,1024,3812
1,1024,3803
1,1024,3820
1,1024,3811
1,1024,3811
1,1024,3803
1,1024,3819
1,1024,3803
