Algoritmo,Tamaño,Ticks
0,77182464,8588023986
0,77182464,963569502
0,77182464,895611924
0,77182464,938903223
0,77182464,994020731
0,77182464,1083198668
0,77182464,1235088974
0,77182464,1212639265
0,77182464,1161513183
0,77182464,1154702875
0,77182464,1267968576
0,77182464,1234697716
0,77182464,1192349127
0,77182464,1205441825
0,77182464,1226181508
0,77182464,990944395
0,77182464,1070822891
0,77182464,1056982983
0,77182464,1085149932
0,77182464,1254677169
0,77182464,1046750722
0,77182464,1175832366
0,77182464,1240712326
0,77182464,1208762984
0,77182464,1176650820
0,77182464,1284230906
0,77182464,1067392188
0,77182464,1022597691
0,77182464,1287757361
0,77182464,1154860810
0,77182464,1288804705
0,77182464,1191382551
0,77182464,1071845843
0,77182464,1167492632
0,77182464,1012686715
0,77182464,1005003130
0,77182464,914645678
0,77182464,988964917
0,77182464,1018404162
0,77182464,949918176
0,77182464,942836295
0,77182464,1085741331
0,77182464,1216958179
0,77182464,927921486
0,77182464,1047169807
0,77182464,1026584069
0,77182464,1141905830
0,77182464,1064783114
0,77182464,1085814315
0,77182464,946181235
0,77182464,952734886
0,77182464,995007034
0,77182464,1014127588
0,77182464,966478028
0,77182464,950743605
0,77182464,931364110
0,77182464,1040309382
0,77182464,913812700
0,77182464,1169560048
0,77182464,989782003
0,77182464,912384276
0,77182464,981895041
0,77182464,1005463623
0,77182464,956119174
0,77182464,1142267293
0,77182464,1159649002
0,77182464,978789299
0,77182464,898421237
0,77182464,1203055875
0,77182464,1052107818
0,77182464,1135723198
0,77182464,1170993308
0,77182464,974899511
0,77182464,1060794857
0,77182464,1043979168
0,77182464,986015876
0,77182464,1022092564
0,77182464,1192848875
0,77182464,966686568
0,77182464,993300644
0,77182464,1079260799
0,77182464,1169957473
0,77182464,1036255783
0,77182464,922620867
0,77182464,995581449
0,77182464,1046991566
0,77182464,1060520815
0,77182464,1047321335
0,77182464,952401800
0,77182464,918167886
0,77182464,1017378850
0,77182464,1015834013
0,77182464,1019664797
0,77182464,1167958161
0,77182464,933657377
0,77182464,939608463
0,77182464,993766183
0,77182464,1092660520
0,77182464,1023702626
0,77182464,1158832417
1,77182464,1354033973
1,77182464,243278697
1,77182464,244722156
1,77182464,302083013
1,77182464,317497822
1,77182464,242479970
1,77182464,237327534
1,77182464,281510491
1,77182464,245872406
1,77182464,261698266
1,77182464,280116226
1,77182464,275947874
1,77182464,286951461
1,77182464,278339613
1,77182464,248666682
1,77182464,261210839
1,77182464,273399628
1,77182464,285584811
1,77182464,263073409
1,77182464,263101423
1,77182464,268015912
1,77182464,262173325
1,77182464,236870523
1,77182464,248820244
1,77182464,254008191
1,77182464,302316342
1,77182464,287295803
1,77182464,277991854
1,77182464,279388438
1,77182464,301598599
1,77182464,297137136
1,77182464,289585435
1,77182464,265681387
1,77182464,288525238
1,77182464,268643933
1,77182464,246447882
1,77182464,239383053
1,77182464,249912220
1,77182464,241315074
1,77182464,247689733
1,77182464,242195415
1,77182464,249064017
1,77182464,363147817
1,77182464,247452207
1,77182464,273815802
1,77182464,249481360
1,77182464,241939255
1,77182464,252499519
1,77182464,243848301
1,77182464,241400367
1,77182464,231259138
1,77182464,250213527
1,77182464,254525207
1,77182464,244161589
1,77182464,239930447
1,77182464,245273341
1,77182464,241592193
1,77182464,246624752
1,77182464,262332772
1,77182464,266350918
1,77182464,342965294
1,77182464,294182883
1,77182464,276316805
1,77182464,260932473
1,77182464,252446187
1,77182464,279323618
1,77182464,269347249
1,77182464,255481339
1,77182464,252970672
1,77182464,275803243
1,77182464,274995251
1,77182464,281993837
1,77182464,283758567
1,77182464,251625555
1,77182464,243442734
1,77182464,252183286
1,77182464,264420018
1,77182464,253238377
1,77182464,288599377
1,77182464,277315001
1,77182464,264376222
1,77182464,259424197
1,77182464,279695102
1,77182464,265978597
1,77182464,281093425
1,77182464,264493531
1,77182464,258407719
1,77182464,291312872
1,77182464,271002718
1,77182464,258414041
1,77182464,270967702
1,77182464,288439215
1,77182464,268566302
1,77182464,285081851
1,77182464,271537000
1,77182464,252717053
1,77182464,258231015
1,77182464,264936412
1,77182464,254173741
1,77182464,262237304
