Algoritmo,Tamaño,Ticks
0,77182464,2756106188
0,77182464,948566206
0,77182464,992790263
0,77182464,915176828
0,77182464,957891796
0,77182464,973304330
0,77182464,948728153
0,77182464,931272231
0,77182464,898683797
0,77182464,1090943318
0,77182464,1044287255
0,77182464,895477384
0,77182464,1051824215
0,77182464,1042677539
0,77182464,895724917
0,77182464,877352536
0,77182464,955622360
0,77182464,975467893
0,77182464,937825235
0,77182464,959035133
0,77182464,974086846
0,77182464,974441532
0,77182464,974055270
0,77182464,996997123
0,77182464,979027181
0,77182464,911975128
0,77182464,910322396
0,77182464,889678049
0,77182464,946599719
0,77182464,953572268
0,77182464,1029625433
0,77182464,933788962
0,77182464,898419990
0,77182464,893912993
0,77182464,953588485
0,77182464,1133308893
0,77182464,1002176289
0,77182464,986827420
0,77182464,906591112
0,77182464,965162143
0,77182464,967765763
0,77182464,938764100
0,77182464,1028564104
0,77182464,928350581
0,77182464,950218286
0,77182464,907529320
0,77182464,906583619
0,77182464,1014056757
0,77182464,903490590
0,77182464,960500894
0,77182464,879432247
0,77182464,940429455
0,77182464,930283732
0,77182464,927172195
0,77182464,928479720
0,77182464,1034150089
0,77182464,893220752
0,77182464,908519147
0,77182464,926805002
0,77182464,1005181858
0,77182464,979732926
0,77182464,922128217
0,77182464,896426862
0,77182464,1021923443
0,77182464,964840344
0,77182464,941373336
0,77182464,915636194
0,77182464,1045449996
0,77182464,925771960
0,77182464,879485803
0,77182464,924229543
0,77182464,888187340
0,77182464,936361754
0,77182464,887416288
0,77182464,912736376
0,77182464,944431990
0,77182464,944210195
0,77182464,967835184
0,77182464,933523469
0,77182464,955839181
0,77182464,920678503
0,77182464,883627501
0,77182464,1019604267
0,77182464,904907951
0,77182464,951088912
0,77182464,885244617
0,77182464,975520220
0,77182464,934610917
0,77182464,923795328
0,77182464,926408489
0,77182464,893364670
0,77182464,930999167
0,77182464,900474771
0,77182464,1151879458
0,77182464,1011857981
0,77182464,968844743
0,77182464,912322223
0,77182464,943791060
0,77182464,933836272
0,77182464,916447080
1,77182464,347963923
1,77182464,247902657
1,77182464,216741980
1,77182464,214200709
1,77182464,220625519
1,77182464,237274535
1,77182464,227527894
1,77182464,217880242
1,77182464,218885554
1,77182464,216663513
1,77182464,218314617
1,77182464,216985936
1,77182464,237189412
1,77182464,224721402
1,77182464,218429621
1,77182464,215221615
1,77182464,249658770
1,77182464,338707350
1,77182464,250697229
1,77182464,219360882
1,77182464,218201899
1,77182464,229575217
1,77182464,222317065
1,77182464,221076710
1,77182464,230825614
1,77182464,230066376
1,77182464,245958485
1,77182464,247359145
1,77182464,229378231
1,77182464,222533782
1,77182464,219417769
1,77182464,237759705
1,77182464,221486020
1,77182464,228010081
1,77182464,241630849
1,77182464,240389340
1,77182464,243723345
1,77182464,249493936
1,77182464,249754224
1,77182464,234768467
1,77182464,231826808
1,77182464,236784118
1,77182464,241723813
1,77182464,226376306
1,77182464,221857186
1,77182464,230075021
1,77182464,226781863
1,77182464,237039222
1,77182464,233777149
1,77182464,243338278
1,77182464,221711500
1,77182464,229082163
1,77182464,220269111
1,77182464,219216723
1,77182464,219580142
1,77182464,218012772
1,77182464,218907245
1,77182464,227316757
1,77182464,229090584
1,77182464,253996442
1,77182464,254775852
1,77182464,238757510
1,77182464,230923119
1,77182464,231824152
1,77182464,218238458
1,77182464,229975581
1,77182464,220905687
1,77182464,225478056
1,77182464,217965546
1,77182464,225123525
1,77182464,217513463
1,77182464,219334349
1,77182464,227038227
1,77182464,233847993
1,77182464,220615538
1,77182464,246230349
1,77182464,306312385
1,77182464,294407572
1,77182464,227234817
1,77182464,215217500
1,77182464,224717283
1,77182464,228186715
1,77182464,225054871
1,77182464,217616781
1,77182464,219916050
1,77182464,231717181
1,77182464,225676764
1,77182464,206744974
1,77182464,201615776
1,77182464,204732953
1,77182464,208267263
1,77182464,205349232
1,77182464,205846829
1,77182464,203970390
1,77182464,211619065
1,77182464,240304983
1,77182464,232791066
1,77182464,226228811
1,77182464,225217152
1,77182464,240022185
