Algoritmo,Tamaño,Ticks
0,4096,90877
0,4096,80880
0,4096,47149
0,4096,90382
0,4096,45131
0,4096,45705
0,4096,45306
0,4096,45074
0,4096,44824
0,4096,44934
0,4096,44955
0,4096,45354
0,4096,45179
0,4096,45009
0,4096,45121
0,4096,44925
0,4096,45682
0,4096,45336
0,4096,45217
0,4096,45152
0,4096,45441
0,4096,45396
0,4096,45574
0,4096,45208
0,4096,45762
0,4096,46259
0,4096,45899
0,4096,45744
0,4096,45396
0,4096,45515
0,4096,45899
0,4096,45923
0,4096,45390
0,4096,45485
0,4096,45515
0,4096,46007
0,4096,45447
0,4096,45852
0,4096,45884
0,4096,45324
0,4096,46540
0,4096,45637
0,4096,46149
0,4096,47025
0,4096,45676
0,4096,46027
0,4096,45345
0,4096,46462
0,4096,46334
0,4096,46778
0,4096,45544
0,4096,45336
0,4096,45646
0,4096,46888
0,4096,45551
0,4096,80114
0,4096,84326
0,4096,54636
0,4096,48422
0,4096,48905
0,4096,48401
0,4096,48163
0,4096,48943
0,4096,48312
0,4096,49953
0,4096,48306
0,4096,82174
0,4096,46928
0,4096,47789
0,4096,47098
0,4096,83133
0,4096,47892
0,4096,50641
0,4096,49110
0,4096,48854
0,4096,48633
0,4096,81309
0,4096,47855
0,4096,81803
0,4096,82553
0,4096,47061
0,4096,78424
0,4096,47776
0,4096,47128
0,4096,47713
0,4096,49694
0,4096,46368
0,4096,48473
0,4096,46748
0,4096,47116
0,4096,46462
0,4096,46809
0,4096,47685
0,4096,48245
0,4096,48559
0,4096,46852
0,4096,47639
0,4096,47834
0,4096,83489
0,4096,110154
0,4096,45047
0,4096,44699
0,4096,44666
0,4096,44791
0,4096,44738
0,4096,44574
0,4096,44642
0,4096,81273
0,4096,45965
0,4096,46096
0,4096,46167
0,4096,45661
0,4096,46115
0,4096,46197
0,4096,46169
0,4096,46100
0,4096,46276
0,4096,77426
0,4096,81696
0,4096,80554
0,4096,80209
0,4096,82654
0,4096,45920
0,4096,81998
0,4096,47001
0,4096,47466
0,4096,47121
0,4096,46995
0,4096,47239
0,4096,47013
0,4096,46992
0,4096,46993
0,4096,47487
0,4096,47153
0,4096,47108
0,4096,47135
0,4096,47650
0,4096,81468
0,4096,45792
0,4096,45503
0,4096,147773
0,4096,47076
0,4096,47308
0,4096,47314
0,4096,46864
0,4096,116659
0,4096,46516
0,4096,47359
0,4096,47016
0,4096,79852
0,4096,45935
0,4096,45904
0,4096,83739
0,4096,115545
0,4096,47082
0,4096,47120
0,4096,52512
0,4096,57987
0,4096,100824
0,4096,80154
0,4096,44774
0,4096,280663
0,4096,117201
0,4096,83081
0,4096,119123
0,4096,87294
0,4096,85102
0,4096,144273
0,4096,109097
0,4096,76041
0,4096,112107
0,4096,78060
0,4096,77444
0,4096,77524
0,4096,110168
0,4096,112098
0,4096,77345
0,4096,96704
0,4096,137114
0,4096,67546
0,4096,144206
0,4096,47010
0,4096,47251
0,4096,46959
0,4096,47245
0,4096,47257
0,4096,46885
0,4096,47156
0,4096,46986
0,4096,47248
0,4096,47528
0,4096,47299
0,4096,47302
0,4096,47108
0,4096,47543
0,4096,47719
0,4096,77489
0,4096,47400
0,4096,47558
0,16384,232263
0,16384,321271
0,16384,174077
0,16384,327038
0,16384,286065
0,16384,216142
0,16384,251092
0,16384,179127
0,16384,218359
0,16384,184666
0,16384,212352
0,16384,178220
0,16384,178978
0,16384,179304
0,16384,178044
0,16384,178442
0,16384,218326
0,16384,194469
0,16384,215094
0,16384,178902
