Algoritmo,Tamaño,Ticks
0,4096,356800
0,4096,157215
0,4096,155631
0,4096,155952
0,4096,156048
0,4096,155568
0,4096,155721
0,4096,155433
0,4096,155511
0,4096,155787
0,4096,156165
0,4096,155937
0,4096,155967
0,4096,155199
0,4096,154833
0,4096,155484
0,4096,155322
0,4096,155814
0,4096,155352
0,4096,155661
0,4096,156033
0,4096,154842
0,4096,155724
0,4096,154533
0,4096,154983
0,4096,156117
0,4096,155553
0,4096,155193
0,4096,155652
0,4096,155400
0,4096,156186
0,4096,155613
0,4096,155895
0,4096,154995
0,4096,155742
0,4096,156051
0,4096,156336
0,4096,155541
0,4096,155736
0,4096,155637
0,4096,155064
0,4096,155805
0,4096,155955
0,4096,155784
0,4096,155544
0,4096,155853
0,4096,156234
0,4096,156789
0,4096,155139
0,4096,155427
0,4096,200277
0,4096,155940
0,4096,155985
0,4096,155841
0,4096,155544
0,4096,154869
0,4096,155046
0,4096,155382
0,4096,156078
0,4096,177270
0,4096,151968
0,4096,151662
0,4096,152046
0,4096,151404
0,4096,150888
0,4096,150801
0,4096,151272
0,4096,150825
0,4096,151461
0,4096,151674
0,4096,150849
0,4096,150957
0,4096,151509
0,4096,151722
0,4096,150975
0,4096,151158
0,4096,151257
0,4096,150855
0,4096,152055
0,4096,151575
0,4096,150795
0,4096,150735
0,4096,151452
0,4096,152118
0,4096,152385
0,4096,151281
0,4096,152034
0,4096,151719
0,4096,151470
0,4096,151404
0,4096,150552
0,4096,151209
0,4096,151362
0,4096,152103
0,4096,152004
0,4096,150663
0,4096,151446
0,4096,152049
0,4096,151200
0,4096,152025
0,4096,323528
0,4096,215491
0,4096,213282
0,4096,213247
0,4096,214313
0,4096,214530
0,4096,213713
0,4096,214343
0,4096,213481
0,4096,214064
0,4096,212931
0,4096,213561
0,4096,213471
0,4096,212724
0,4096,213093
0,4096,214017
0,4096,212941
0,4096,212856
0,4096,214119
0,4096,214413
0,4096,213753
0,4096,213001
0,4096,272991
0,4096,213790
0,4096,212291
0,4096,213643
0,4096,213180
0,4096,212963
0,4096,213225
0,4096,213302
0,4096,213693
0,4096,213541
0,4096,213327
0,4096,212973
0,4096,213469
0,4096,213098
0,4096,214064
0,4096,214027
0,4096,213616
0,4096,214460
0,4096,213613
0,4096,214592
0,4096,214236
0,4096,213043
0,4096,212953
0,4096,213043
0,4096,213743
0,4096,213013
0,4096,213524
0,4096,213658
0,4096,213623
0,4096,213212
0,4096,213977
0,4096,212841
0,4096,214064
0,4096,213566
0,4096,213561
0,4096,212846
0,4096,213611
0,4096,213434
0,4096,213459
0,4096,212587
0,4096,213616
0,4096,213845
0,4096,214475
0,4096,213347
0,4096,214490
0,4096,213541
0,4096,213663
0,4096,213230
0,4096,213489
0,4096,213693
0,4096,213170
0,4096,213494
0,4096,213668
0,4096,214136
0,4096,213835
0,4096,212951
0,4096,213743
0,4096,213830
0,4096,212323
0,4096,213613
0,4096,213434
0,4096,246895
0,4096,214978
0,4096,213387
0,4096,213643
0,4096,214047
0,4096,213496
0,4096,213962
0,4096,214266
0,4096,212864
0,4096,214154
0,4096,213932
0,4096,213063
0,4096,214186
0,4096,213591
0,4096,213606
0,4096,214057
0,4096,213068
0,16384,1206448
0,16384,939877
0,16384,935668
0,16384,933835
0,16384,935489
0,16384,937048
0,16384,936363
0,16384,936747
0,16384,1000784
0,16384,937952
0,16384,935748
0,16384,933992
0,16384,933708
0,16384,934864
0,16384,934946
0,16384,936321
0,16384,933372
0,16384,934508
0,16384,934500
0,16384,937001
0,16384,934331
0,16384,934844
0,16384,980755
0,16384,937307
0,16384,934941
0,16384,936313
0,16384,935820
0,16384,934523
0,16384,934794
0,16384,935494
