Algoritmo,Tamaño,Ticks
0,4096,182151
0,4096,139122
0,4096,125025
0,4096,124905
0,4096,124812
0,4096,124965
0,4096,124926
0,4096,124980
0,4096,124812
0,4096,124851
0,4096,124755
0,4096,125004
0,4096,124869
0,4096,124689
0,4096,124989
0,4096,124980
0,4096,124791
0,4096,124860
0,4096,124824
0,4096,125001
0,4096,124998
0,4096,124980
0,4096,125166
0,4096,124779
0,4096,125037
0,4096,124980
0,4096,124983
0,4096,124854
0,4096,124836
0,4096,124764
0,4096,124917
0,4096,125007
0,4096,124971
0,4096,124743
0,4096,125040
0,4096,124950
0,4096,124863
0,4096,124974
0,4096,124713
0,4096,124824
0,4096,124905
0,4096,124881
0,4096,124851
0,4096,124974
0,4096,125055
0,4096,124533
0,4096,124764
0,4096,124728
0,4096,124827
0,4096,124938
0,4096,124860
0,4096,125079
0,4096,124998
0,4096,124848
0,4096,124914
0,4096,125007
0,4096,124821
0,4096,124851
0,4096,124965
0,4096,124794
0,4096,125058
0,4096,124941
0,4096,124941
0,4096,124842
0,4096,249909
0,4096,132900
0,4096,167508
0,4096,124866
0,4096,125052
0,4096,124944
0,4096,124857
0,4096,124830
0,4096,124827
0,4096,124854
0,4096,124965
0,4096,124953
0,4096,124983
0,4096,124959
0,4096,124779
0,4096,124884
0,4096,124953
0,4096,124923
0,4096,124950
0,4096,125091
0,4096,124725
0,4096,124920
0,4096,124713
0,4096,124743
0,4096,124977
0,4096,124968
0,4096,124818
0,4096,124932
0,4096,124980
0,4096,124833
0,4096,124953
0,4096,124962
0,4096,125016
0,4096,125001
0,4096,124842
0,4096,124749
0,16384,746289
0,16384,582447
0,16384,535836
0,16384,534558
0,16384,532557
0,16384,532407
0,16384,532260
0,16384,531642
0,16384,531867
0,16384,532389
0,16384,531051
0,16384,530844
0,16384,530877
0,16384,530667
0,16384,530721
0,16384,530496
0,16384,799134
0,16384,534168
0,16384,529680
0,16384,529962
0,16384,529461
0,16384,529665
0,16384,529575
0,16384,529617
0,16384,529095
0,16384,531198
0,16384,530379
0,16384,530364
0,16384,530706
0,16384,530373
0,16384,530163
0,16384,530421
0,16384,698379
0,16384,530637
0,16384,530199
0,16384,530838
0,16384,529791
0,16384,530187
0,16384,530790
0,16384,530490
0,16384,698904
0,16384,531420
0,16384,529983
0,16384,530679
0,16384,529791
0,16384,530178
0,16384,530205
0,16384,530346
0,16384,530262
0,16384,530163
0,16384,529602
0,16384,529518
0,16384,530124
0,16384,530283
0,16384,530184
0,16384,530511
0,16384,530427
0,16384,529872
0,16384,530100
0,16384,529761
0,16384,530139
0,16384,529950
0,16384,529998
0,16384,530457
0,16384,588507
0,16384,689439
0,16384,530046
0,16384,530025
0,16384,530280
0,16384,530379
0,16384,529947
0,16384,530190
0,16384,530025
0,16384,530742
0,16384,530100
0,16384,530067
0,16384,530340
0,16384,530310
0,16384,529728
0,16384,530823
0,16384,530157
0,16384,530541
0,16384,530166
0,16384,530256
0,16384,529428
0,16384,530142
0,16384,530316
0,16384,530247
0,16384,530067
0,16384,692532
0,16384,530907
0,16384,530436
0,16384,530406
0,16384,529710
0,16384,530037
0,16384,530178
0,16384,529845
0,16384,530463
0,16384,530406
0,16384,530556
0,36864,1627128
0,36864,1212738
0,36864,1269192
0,36864,1183344
0,36864,1182300
0,36864,1353309
0,36864,1181067
0,36864,1180398
0,36864,1180374
0,36864,1180761
0,36864,1179732
0,36864,1179855
0,36864,1179690
0,36864,1179840
0,36864,1180065
0,36864,1179237
0,36864,1351164
0,36864,1179057
0,36864,1187052
0,36864,1179948
0,36864,1178568
0,36864,1179264
0,36864,1178727
0,36864,1178481
0,36864,1179903
0,36864,1179375
0,36864,1178628
0,36864,1415139
0,36864,1179024
0,36864,1177974
0,36864,1180119
0,36864,1179750
0,36864,1179735
0,36864,1179780
0,36864,1178622
0,36864,1188045
0,36864,1179096
0,36864,1178709
0,36864,1361841
0,36864,1178688
0,36864,1186926
0,36864,1179618
0,36864,1180011
0,36864,1179624
0,36864,1179702
0,36864,1180020
0,36864,1179294
0,36864,1179654
0,36864,1221729
0,36864,1387869
0,36864,1179426
0,36864,1179987
0,36864,1178928
0,36864,1178850
0,36864,1178316
0,36864,1178643
0,36864,1178733
0,36864,1178148
0,36864,1178706
0,36864,1179342
0,36864,1222038
0,36864,1178916
0,36864,1186743
0,36864,1179732
0,36864,1179471
0,36864,1179582
0,36864,1188168
0,36864,1179273
0,36864,1179426
0,36864,1179735
0,36864,1187160
0,36864,1310043
0,36864,1178685
0,36864,1178610
0,36864,1178676
0,36864,1178553
0,36864,1179102
0,36864,1178679
0,36864,1179783
0,36864,1179231
0,36864,1179651
0,36864,1179504
0,36864,1234473
0,36864,1187913
0,36864,1179429
0,36864,1178712
0,36864,1179096
0,36864,1187019
0,36864,1178526
0,36864,1178577
0,36864,1177992
0,36864,1186092
0,36864,1178220
0,36864,1393206
0,36864,1178751
0,36864,1178904
0,36864,1179192
0,36864,1188225
0,36864,1178877
0,36864,1178607
0,65536,2921064
0,65536,2354496
0,65536,2243709
0,65536,2230488
0,65536,2226009
0,65536,2220687
0,65536,2217507
0,65536,2246127
0,65536,2206881
0,65536,2205264
0,65536,2202615
0,65536,2201226
0,65536,2196801
0,65536,2230593
0,65536,2195715
0,65536,2356194
0,65536,2191731
0,65536,2191839
0,65536,2190930
0,65536,2231058
0,65536,2188167
0,65536,2187651
0,65536,2186559
0,65536,2185983
0,65536,2186931
0,65536,2223723
0,65536,2184570
0,65536,2183814
0,65536,2184372
0,65536,2183970
0,65536,2183025
0,65536,2216415
0,65536,2183649
0,65536,2184129
0,65536,2184219
0,65536,2181615
0,65536,2182803
0,65536,2223720
0,65536,2181294
0,65536,2262618
0,65536,2182176
0,65536,2182302
0,65536,2182011
0,65536,2220024
0,65536,2183289
0,65536,2182260
0,65536,2182032
0,65536,2181822
0,65536,2181171
0,65536,2217123
0,65536,2182137
0,65536,2182677
0,65536,2182593
0,65536,2181438
0,65536,2182233
0,65536,2215836
0,65536,2181447
0,65536,2181642
0,65536,2181690
0,65536,2182599
0,65536,2180799
0,65536,2213517
0,65536,2180991
0,65536,2182677
0,65536,2182170
0,65536,2263539
0,65536,2182227
0,65536,2214795
0,65536,2182707
0,65536,2183058
0,65536,2180637
0,65536,2181372
0,65536,2181210
0,65536,2215698
0,65536,2181786
0,65536,2182017
0,65536,2182428
0,65536,2181774
0,65536,2181990
0,65536,2212182
0,65536,2182323
0,65536,2187540
0,65536,2187885
0,65536,2181489
0,65536,2180439
0,65536,2206776
0,65536,2180379
0,65536,2181225
0,65536,2182809
0,65536,2180775
0,65536,2223342
0,65536,2256681
0,65536,2181159
0,65536,2182122
0,65536,2181135
0,65536,2182476
0,65536,2182482
0,65536,2208477
0,65536,2182566
0,65536,2180112
0,102400,4622145
0,102400,3586818
0,102400,3269025
0,102400,3242331
0,102400,3240288
0,102400,3506901
0,102400,3235107
0,102400,3235974
0,102400,3247857
0,102400,3449469
0,102400,3232500
0,102400,3233619
0,102400,3231924
0,102400,3477051
0,102400,3230856
0,102400,3232140
0,102400,3230565
0,102400,3414261
0,102400,3230244
0,102400,3231084
0,102400,3229644
0,102400,3432225
0,102400,3310965
0,102400,3230061
0,102400,3230214
0,102400,3431814
0,102400,3229068
0,102400,3229242
0,102400,3229863
0,102400,3354720
0,102400,3229131
0,102400,3228492
0,102400,3229473
0,102400,3352350
0,102400,3229923
0,102400,3228186
0,102400,3227421
0,102400,3526809
0,102400,3312015
0,102400,3228372
0,102400,3227727
0,102400,3277857
0,102400,3228366
0,102400,3226740
0,102400,3228687
0,102400,3282402
0,102400,3228324
0,102400,3228420
0,102400,3241365
0,102400,3274983
0,102400,3228540
0,102400,3240831
0,102400,3229110
0,102400,3569868
0,102400,3405627
0,102400,3345081
0,102400,3228741
0,102400,3288585
0,102400,3229743
0,102400,3241920
0,102400,3228783
0,102400,3485775
0,102400,3175623
0,102400,3176598
0,102400,3175368
0,102400,3257439
0,102400,3228783
0,102400,3229743
