Algoritmo,Tamaño,Ticks
0,4096,1026910
0,4096,930518
0,4096,977774
0,4096,928381
0,4096,925956
0,4096,930130
0,4096,928068
0,4096,927976
0,4096,930452
0,4096,928166
0,4096,929436
0,4096,932052
0,4096,928645
0,4096,932052
0,4096,928678
0,4096,931416
0,4096,968269
0,4096,928636
0,4096,929049
0,4096,926409
0,4096,931309
0,4096,928249
0,4096,929784
0,4096,929421
0,4096,931210
0,4096,925873
0,4096,931120
0,4096,926822
0,4096,933867
0,4096,929733
0,4096,978384
0,4096,981205
0,4096,926937
0,4096,931739
0,4096,931433
0,4096,928389
0,4096,930237
0,4096,926813
0,4096,928174
0,4096,926879
0,4096,926384
0,4096,930674
0,4096,926921
0,4096,926038
0,4096,928002
0,4096,950520
0,4096,873812
0,4096,874354
0,4096,876758
0,4096,872263
0,4096,871130
0,4096,875049
0,4096,873645
0,4096,872339
0,4096,876147
0,4096,871408
0,4096,875528
0,4096,874208
0,4096,874389
0,4096,897475
0,4096,875521
0,4096,871207
0,4096,874917
0,4096,874584
0,4096,873083
0,4096,872722
0,4096,872895
0,4096,874028
0,4096,875813
0,4096,872131
0,4096,872179
0,4096,876612
0,4096,874653
0,4096,874562
0,4096,895307
0,4096,875368
0,4096,875112
0,4096,873833
0,4096,880815
0,4096,874813
0,4096,875306
0,4096,870984
0,4096,875139
0,4096,873756
0,4096,872409
0,4096,872520
0,4096,873020
0,4096,877272
0,4096,871992
0,4096,901442
0,4096,852942
0,4096,824552
0,4096,826789
0,4096,826532
0,4096,825834
0,4096,825299
0,4096,828439
0,4096,821999
0,4096,822815
0,4096,824736
0,4096,903901
0,4096,822669
0,4096,824298
0,4096,915667
0,4096,780654
0,4096,783912
0,4096,780366
0,4096,779778
0,4096,779478
0,4096,780798
0,4096,779292
0,4096,776904
0,4096,780540
0,4096,781572
0,4096,780912
0,4096,781362
0,4096,782154
0,4096,778962
0,4096,780474
0,4096,808164
0,4096,782598
0,4096,783822
0,4096,781554
0,4096,782022
0,4096,781752
0,4096,781548
0,4096,784662
0,4096,782796
0,4096,781782
0,4096,781362
0,4096,782784
0,4096,780906
0,4096,782160
0,4096,781326
0,4096,782436
0,4096,783594
0,4096,810876
0,4096,781740
0,4096,780582
0,4096,779652
0,4096,782994
0,4096,781590
0,4096,780528
0,4096,782130
0,4096,780498
0,4096,781170
0,4096,778764
0,4096,781944
0,4096,779382
0,4096,783504
0,4096,783402
0,4096,780294
0,4096,780468
0,4096,826116
0,4096,741456
0,4096,741279
0,4096,741483
0,4096,740205
0,4096,743946
0,4096,740130
0,4096,743688
0,4096,744423
0,4096,743958
0,4096,744468
0,4096,742170
0,4096,743127
0,4096,740856
0,4096,743712
0,4096,744357
0,4096,741405
0,4096,742614
0,4096,772227
0,4096,743589
0,4096,741417
0,4096,740871
0,4096,741024
0,4096,741891
0,4096,741357
0,4096,742308
0,4096,740844
0,4096,739938
0,4096,740937
0,4096,740367
0,4096,741153
0,4096,745851
0,4096,744327
0,4096,742236
0,4096,743052
0,4096,764808
0,4096,742314
0,4096,742875
0,4096,742950
0,4096,742560
0,4096,743655
0,4096,739938
0,4096,743541
0,4096,741327
0,4096,741054
0,4096,741801
0,4096,741978
0,16384,3139326
0,16384,2825406
0,16384,2823396
0,16384,2825892
0,16384,2826780
0,16384,2876550
0,16384,2830620
0,16384,2828520
0,16384,2824092
0,16384,2884218
0,16384,2697780
0,16384,2700720
0,16384,2696568
0,16384,2699256
0,16384,2732736
0,16384,2695938
0,16384,2699046
0,16384,2696604
0,16384,2697636
0,16384,2741298
0,16384,2697732
0,16384,2696568
0,16384,2692944
0,16384,2697198
0,16384,2700515
0,16384,2583407
0,16384,2582119
0,16384,2581539
0,16384,2580062
0,16384,2606731
0,16384,2577923
0,16384,2581118
0,16384,2576979
0,16384,2577987
0,16384,2611889
0,16384,2578777
0,16384,2581885
0,16384,2579046
