Algoritmo,Tamaño,Ticks
0,4096,230976
0,4096,178940
0,4096,176768
0,4096,176600
0,4096,176728
0,4096,176648
0,4096,176560
0,4096,176800
0,4096,176744
0,4096,176488
0,4096,176756
0,4096,176508
0,4096,176708
0,4096,176724
0,4096,176708
0,4096,176872
0,4096,176456
0,4096,176572
0,4096,176768
0,4096,176780
0,4096,176704
0,4096,176768
0,4096,176840
0,4096,176764
0,4096,176736
0,4096,176472
0,4096,176572
0,4096,176624
0,4096,176760
0,4096,176608
0,4096,176688
0,4096,176724
0,4096,176732
0,4096,176552
0,4096,176672
0,4096,176776
0,4096,176492
0,4096,176808
0,4096,176640
0,4096,176740
0,4096,176652
0,4096,176840
0,4096,176756
0,4096,176748
0,4096,176772
0,4096,176664
0,4096,176564
0,4096,176560
0,4096,176612
0,4096,176644
0,4096,176756
0,4096,282159
0,4096,170522
0,4096,170630
0,4096,170804
0,4096,170688
0,4096,170650
0,4096,170656
0,4096,170474
0,4096,170586
0,4096,170668
0,4096,170552
0,4096,170688
0,4096,170656
0,4096,170594
0,4096,170514
0,4096,170648
0,4096,170528
0,4096,170694
0,4096,170796
0,4096,170664
0,4096,170634
0,4096,170634
0,4096,170420
0,4096,170722
0,4096,170446
0,4096,170594
0,4096,170520
0,4096,170728
0,4096,171104
0,4096,170870
0,4096,170596
0,4096,170648
0,4096,170676
0,4096,170622
0,4096,170596
0,4096,170594
0,4096,170648
0,4096,170734
0,4096,170824
0,4096,170948
0,4096,170768
0,4096,171096
0,4096,171138
0,4096,170816
0,4096,170784
0,4096,171438
0,4096,171010
0,4096,171818
0,4096,171386
0,4096,218222
0,4096,173220
0,4096,171860
0,4096,171456
0,4096,171604
0,4096,171558
0,4096,171604
0,4096,171526
0,4096,171678
0,4096,171526
0,4096,171514
0,4096,171756
0,4096,171934
0,4096,172006
0,4096,172148
0,4096,171946
0,4096,172878
0,4096,174038
0,4096,174982
0,4096,301782
0,4096,173386
0,4096,173922
0,4096,172978
0,4096,172500
0,4096,172562
0,4096,171970
0,4096,171716
0,4096,171810
0,4096,336010
0,4096,172016
0,4096,171720
0,4096,171780
0,4096,171934
0,4096,171868
0,4096,171798
0,4096,171752
0,4096,171690
0,4096,171906
0,4096,171666
0,4096,171814
0,4096,171650
0,4096,172558
0,4096,172314
0,4096,171780
0,4096,171756
0,4096,172586
0,4096,172086
0,4096,171888
0,4096,172128
0,4096,172240
0,4096,171700
0,4096,172170
0,4096,172482
0,4096,171608
0,4096,172124
0,4096,171950
0,4096,172392
0,4096,171790
0,4096,171468
0,4096,173126
0,4096,172392
0,4096,173090
0,4096,172392
0,4096,172488
0,4096,172636
0,4096,172150
0,4096,172342
0,4096,171814
0,4096,172808
0,4096,172830
0,4096,172490
0,4096,172096
0,4096,172528
0,4096,173294
0,4096,174058
0,4096,173886
0,4096,173452
0,4096,173928
0,4096,172890
0,4096,173456
0,4096,174334
0,4096,173658
0,4096,172688
0,4096,173684
0,4096,173980
0,4096,174286
0,4096,175806
0,4096,176054
0,4096,174360
0,4096,174714
0,4096,176312
0,4096,172676
0,4096,172898
0,4096,296965
0,4096,166368
0,4096,167152
0,4096,166420
0,4096,166832
0,4096,166756
0,4096,166996
0,16384,855832
0,16384,671344
0,16384,670396
0,16384,671680
0,16384,675784
0,16384,677456
0,16384,672740
0,16384,679940
0,16384,676776
0,16384,675880
0,16384,668856
0,16384,667960
0,16384,668244
0,16384,726832
0,16384,669360
0,16384,672412
0,16384,675292
0,16384,669856
0,16384,669656
0,16384,673920
0,16384,673304
0,16384,678944
0,16384,687956
0,16384,674820
0,16384,669228
0,16384,669748
0,16384,670636
0,16384,670224
0,16384,672708
0,16384,678248
0,16384,681376
0,16384,679856
0,16384,837333
0,16384,655862
0,16384,652983
0,16384,651808
0,16384,648318
0,16384,649782
0,16384,647839
0,16384,647868
0,16384,648949
0,16384,648425
0,16384,648136
0,16384,649477
0,16384,649102
0,16384,650240
0,16384,648063
0,16384,649110
0,16384,648664
0,16384,649077
0,16384,648738
0,16384,647711
0,16384,685208
0,16384,648339
0,16384,647172
0,16384,647815
0,16384,647551
0,16384,647662
0,16384,647662
0,16384,647221
0,16384,647580
0,16384,647501
0,16384,647642
0,16384,647146
0,16384,647299
0,16384,647654
0,16384,647596
0,16384,648059
0,16384,647473
0,16384,648012
0,16384,647455
0,16384,646775
0,16384,691317
0,16384,648710
0,16384,647081
0,16384,647427
0,16384,646883
0,16384,647873
0,16384,647056
0,16384,647642
0,16384,647662
0,16384,647700
