Algoritmo,Tamaño,Ticks
0,4096,1197076
0,4096,976224
0,4096,1014531
0,4096,1003254
0,4096,1003146
0,4096,1003377
0,4096,1003263
0,4096,1003194
0,4096,1003335
0,4096,1003365
0,4096,1112577
0,4096,1003197
0,4096,1003332
0,4096,1020384
0,4096,976368
0,4096,975846
0,4096,976236
0,4096,976473
0,4096,975975
0,4096,976602
0,4096,976338
0,4096,976392
0,4096,976320
0,4096,1104924
0,4096,975960
0,4096,975675
0,4096,976389
0,4096,976338
0,4096,975867
0,4096,976530
0,4096,976302
0,4096,975813
0,4096,976506
0,4096,976149
0,4096,975762
0,4096,976521
0,4096,976572
0,4096,1052847
0,4096,976506
0,4096,976362
0,4096,976653
0,4096,976233
0,4096,976125
0,4096,976461
0,4096,976638
0,4096,976110
0,4096,975681
0,4096,976659
0,4096,976722
0,4096,975852
0,4096,1050282
0,4096,976266
0,4096,975891
0,4096,976449
0,4096,976695
0,4096,975864
0,4096,976752
0,4096,976407
0,4096,976842
0,4096,975906
0,4096,975876
0,4096,976500
0,4096,976215
0,4096,1000563
0,4096,1022940
0,4096,976194
0,4096,976149
0,4096,975909
0,4096,976350
0,4096,976143
0,4096,975783
0,4096,976371
0,4096,976458
0,4096,976236
0,4096,976593
0,4096,976617
0,4096,976563
0,4096,1047882
0,4096,976533
0,4096,976521
0,4096,975978
0,4096,976344
0,4096,976680
0,4096,976716
0,4096,976125
0,4096,976551
0,4096,976380
0,4096,976620
0,4096,975861
0,4096,976191
0,4096,1045332
0,4096,976236
0,4096,976137
0,4096,975594
0,4096,976035
0,4096,976404
0,4096,975969
0,4096,975828
0,4096,976224
0,4096,976239
0,4096,1346012
0,4096,1002930
0,4096,1003230
0,4096,1003428
0,4096,1000329
0,4096,1004811
0,4096,1002858
0,4096,1002756
0,4096,1003401
0,4096,1003650
0,4096,1003296
0,4096,1003149
0,4096,1003530
0,4096,1083108
0,4096,1003056
0,4096,1002726
0,4096,1002972
0,4096,1007844
0,4096,975846
0,4096,975972
0,4096,975858
0,4096,975957
0,4096,975546
0,4096,976170
0,4096,975924
0,4096,975408
0,4096,1113789
0,4096,975618
0,4096,975867
0,4096,975432
0,4096,975879
0,4096,975405
0,4096,976173
0,4096,975822
0,4096,975609
0,4096,975996
0,4096,975771
0,4096,976089
0,4096,975681
0,4096,975402
0,4096,1088670
0,4096,975078
0,4096,976254
0,4096,975069
0,4096,975765
0,4096,975621
0,4096,975900
0,4096,975135
0,4096,976071
0,4096,974967
0,4096,976125
0,4096,974799
0,4096,975846
0,4096,1089963
0,4096,975888
0,4096,975792
0,4096,975699
0,4096,975000
0,4096,976044
0,4096,975993
0,4096,975930
0,4096,976314
0,4096,975792
0,4096,975885
0,4096,975927
0,4096,976086
0,4096,1029930
0,4096,1025847
0,4096,975381
0,4096,975993
0,4096,975771
0,4096,975978
0,4096,975483
0,4096,975954
0,4096,975258
0,4096,975852
0,4096,975657
0,4096,975657
0,4096,975786
0,4096,975564
0,4096,1085421
0,4096,975684
0,4096,975792
0,4096,975048
0,4096,975888
0,4096,975768
0,4096,975816
0,4096,975645
0,4096,975570
0,4096,975708
0,4096,975927
0,4096,975489
0,4096,975957
0,4096,1051416
0,4096,975636
0,4096,976119
0,4096,975546
0,4096,976089
0,4096,975462
0,4096,976461
0,16384,4734145
0,16384,4424397
0,16384,4423719
0,16384,4525917
0,16384,4423458
0,16384,4422936
0,16384,4515819
0,16384,4424340
0,16384,4424148
0,16384,4538280
0,16384,4422408
0,16384,4423371
0,16384,4510584
0,16384,4304208
0,16384,4303011
0,16384,4403943
0,16384,4303632
0,16384,4303605
0,16384,4424436
0,16384,4304058
0,16384,4303083
0,16384,4404723
0,16384,4305282
0,16384,4303710
0,16384,4397121
0,16384,4304250
0,16384,4303362
0,16384,4414506
0,16384,4351272
0,16384,4304397
0,16384,4371021
0,16384,4304352
0,16384,4304172
0,16384,4318128
0,16384,4302909
0,16384,4303455
0,16384,4321119
0,16384,4304892
0,16384,4304049
0,16384,4304217
0,16384,4317864
0,16384,4303530
0,16384,4303149
0,16384,4317441
0,16384,4303665
0,16384,4303305
0,16384,4320306
0,16384,4304385
0,16384,4303239
0,16384,4317849
0,16384,4303176
0,16384,4305441
0,16384,4318848
0,16384,4305669
0,16384,4303863
0,16384,4320957
0,16384,4305486
0,16384,4304007
0,16384,4317528
0,16384,4303572
0,16384,4303896
0,16384,4317999
0,16384,4304616
0,16384,4304211
0,16384,4319004
0,16384,4305396
0,16384,4304904
0,16384,4317720
0,16384,4304313
0,16384,4303578
0,16384,4317756
0,16384,4305156
0,16384,4305774
0,16384,4321287
0,16384,4304190
0,16384,4304865
0,16384,4319409
0,16384,4305084
0,16384,4303224
0,16384,4318473
0,16384,4303575
0,16384,4304034
0,16384,4320921
0,16384,4303926
0,16384,4303836
0,16384,4317762
0,16384,4304535
0,16384,4305183
0,16384,4318299
0,16384,4302753
0,16384,4302276
0,16384,4321011
0,16384,4304313
0,16384,4305822
0,16384,4303641
0,16384,4316802
0,16384,4304349
0,16384,4303389
0,16384,4318233
0,16384,4303413
0,16384,4576413
0,16384,4385514
0,16384,4304193
0,16384,4404918
0,16384,4303752
0,16384,4303302
0,16384,4413735
0,16384,4303038
0,16384,4304082
0,16384,4411992
0,16384,4304337
0,16384,4303674
0,16384,4417716
0,16384,4304544
0,16384,4304520
0,16384,4415043
0,16384,4304184
0,16384,4302540
0,16384,4414467
0,16384,4304382
0,16384,4304481
0,16384,4418880
0,16384,4303764
0,16384,4303110
0,16384,4415922
0,16384,4303461
0,16384,4303863
0,16384,4456206
0,16384,4304553
0,16384,4303947
0,16384,4370778
0,16384,4303521
0,16384,4303746
0,16384,4322067
0,16384,4304658
0,16384,4304388
0,16384,4315056
0,16384,4303665
0,16384,4304271
0,16384,4317012
