Algoritmo,Tamaño,Ticks
0,4096,909957
0,4096,886032
0,4096,885279
0,4096,885525
0,4096,885315
0,4096,885426
0,4096,885324
0,4096,885621
0,4096,1030266
0,4096,961452
0,4096,885066
0,4096,885426
0,4096,885483
0,4096,897468
0,4096,885387
0,4096,885324
0,4096,967179
0,4096,885339
0,4096,885156
0,4096,885612
0,4096,885324
0,4096,884988
0,4096,885345
0,4096,1039749
0,4096,884949
0,4096,884826
0,4096,884610
0,4096,884940
0,4096,884898
0,4096,884883
0,4096,884643
0,4096,884913
0,4096,884835
0,4096,884994
0,4096,885138
0,4096,884988
0,4096,884589
0,4096,884697
0,4096,980955
0,4096,884619
0,4096,884820
0,4096,884736
0,4096,884955
0,4096,884736
0,4096,884691
0,4096,884583
0,4096,884658
0,4096,884970
0,4096,884697
0,4096,884628
0,4096,884694
0,4096,884481
0,4096,954963
0,4096,927714
0,4096,884769
0,4096,884319
0,4096,885036
0,4096,884421
0,4096,884835
0,4096,884799
0,4096,884499
0,4096,884643
0,4096,884778
0,4096,884478
0,4096,885030
0,4096,884766
0,4096,885027
0,4096,984420
0,4096,884697
0,4096,884664
0,4096,884748
0,4096,884409
0,4096,884853
0,4096,885063
0,4096,884781
0,4096,965196
0,4096,884616
0,4096,884766
0,4096,884751
0,4096,885054
0,4096,884610
0,4096,884826
0,4096,897516
0,4096,884718
0,4096,884949
0,4096,884511
0,4096,884898
0,4096,884352
0,4096,884805
0,4096,884724
0,4096,884754
0,4096,884361
0,4096,884982
0,4096,884688
0,4096,884988
0,4096,884784
0,4096,884901
0,4096,906915
0,4096,884550
0,4096,884883
0,16384,3996351
0,16384,3905445
0,16384,4054566
0,16384,3903060
0,16384,3900843
0,16384,4148487
0,16384,3903183
0,16384,3901083
0,16384,3901164
0,16384,4047756
0,16384,3902313
0,16384,3900222
0,16384,4043988
0,16384,3902697
0,16384,3900657
0,16384,4061196
0,16384,3902157
0,16384,3901206
0,16384,4069494
0,16384,4043343
0,16384,3901563
0,16384,3901419
0,16384,4069548
0,16384,3901284
0,16384,3900912
0,16384,4042308
0,16384,3901992
0,16384,3900105
0,16384,3901323
0,16384,4002570
0,16384,3901338
0,16384,3901572
0,16384,4000464
0,16384,3982365
0,16384,3900591
0,16384,3914463
0,16384,3901500
0,16384,3901326
0,16384,3900840
0,16384,3921471
0,16384,3900441
0,16384,3901341
0,16384,3913728
0,16384,3901866
0,16384,3901011
0,16384,3901395
0,16384,3994800
0,16384,3900798
0,16384,3901266
0,16384,3917040
0,16384,3900915
0,16384,3901236
0,16384,3912087
0,16384,3901653
0,16384,3900738
0,16384,3901515
0,16384,3912207
0,16384,3900549
0,16384,3901326
0,16384,3915873
0,16384,3901854
0,16384,4064730
0,16384,3913008
0,16384,3902421
0,16384,3901377
0,16384,3902193
0,16384,3913815
0,16384,3900915
0,16384,3902349
0,16384,3916233
0,16384,3900465
0,16384,3901755
0,16384,3912558
0,16384,3901098
0,16384,3981156
0,16384,3901551
0,16384,3913398
0,16384,3900267
0,16384,3901056
0,16384,3916347
0,16384,3900957
0,16384,3901092
0,16384,3901053
0,16384,3913266
0,16384,3900762
0,16384,3901338
0,16384,3913119
0,16384,3901248
0,16384,3982332
0,16384,3916791
0,16384,3901662
0,16384,3900438
0,16384,3901866
0,16384,3917250
0,16384,3901254
0,16384,3901053
0,16384,3912906
0,16384,3900762
0,16384,3901521
0,16384,3915363
0,36864,9597768
0,36864,9264897
0,36864,9226845
0,36864,9074658
0,36864,9205857
0,36864,9257217
0,36864,9073614
0,36864,9176994
0,36864,9182688
0,36864,9084345
0,36864,9093627
0,36864,9174879
0,36864,9089184
0,36864,9077946
0,36864,9092511
0,36864,9084102
0,36864,9075828
0,36864,9177579
0,36864,9086739
0,36864,9074727
0,36864,9092229
0,36864,9090735
0,36864,9074433
0,36864,9172422
0,36864,9091974
0,36864,9087327
0,36864,9076296
0,36864,9088704
0,36864,9087966
0,36864,9155787
0,36864,9097740
0,36864,9087492
0,36864,9072219
0,36864,9091254
0,36864,9089448
0,36864,9154122
0,36864,9168108
0,36864,9086493
0,36864,9087750
0,36864,9073023
0,36864,9087057
0,36864,9266274
0,36864,9884202
0,36864,9372276
0,36864,9269214
0,36864,9083193
0,36864,9283446
0,36864,9496518
0,36864,9285207
0,36864,9098139
0,36864,9278004
0,36864,9199767
0,36864,9534735
0,36864,9958890
0,36864,9673968
0,36864,9665118
0,36864,9931125
0,36864,9165036
0,36864,9137292
0,36864,9150093
0,36864,9101718
0,36864,9086379
0,36864,9081981
0,36864,9074979
0,36864,9093615
0,36864,9163803
0,36864,9071376
0,36864,9091581
0,36864,9089283
0,36864,9069582
0,36864,9713436
0,36864,10249005
0,36864,10044822
0,36864,9116352
0,36864,10065132
0,36864,9780204
0,36864,10881435
0,36864,10789872
0,36864,9369405
0,36864,9662442
0,36864,9492120
0,36864,9872997
0,36864,9855246
0,36864,10444812
0,36864,9267177
0,36864,9430872
0,36864,9182382
0,36864,9088716
0,36864,9571959
0,36864,10025016
0,36864,9232218
0,36864,9113214
0,36864,9470934
0,36864,9695964
0,36864,9687012
0,36864,9549135
0,36864,9076482
0,36864,9095811
0,36864,9082836
0,36864,9153549
0,65536,16781472
0,65536,16509906
0,65536,16617840
0,65536,16623276
0,65536,16516356
0,65536,16580808
0,65536,16513761
0,65536,16608072
0,65536,16499520
0,65536,16409304
0,65536,16410384
0,65536,16429047
0,65536,16578480
0,65536,16495299
0,65536,16507953
0,65536,16517250
0,65536,16415268
0,65536,16405653
0,65536,16495212
0,65536,16424340
0,65536,16412181
0,65536,16409982
0,65536,16486356
0,65536,16426962
0,65536,16412592
0,65536,16490895
0,65536,16408746
0,65536,16425969
0,65536,16493766
0,65536,16408368
0,65536,16410693
0,65536,16425126
0,65536,16494741
0,65536,16499448
0,65536,16412937
0,65536,16513986
0,65536,16411434
0,65536,16847142
0,65536,16681890
0,65536,16853283
0,65536,16830819
0,65536,16492803
0,65536,16582974
0,65536,16609194
0,65536,16503459
0,65536,16492395
0,65536,16410753
0,65536,16476072
0,65536,16488381
0,65536,16411476
0,65536,16408458
0,65536,16465176
0,65536,16491210
0,65536,16405851
0,65536,16408329
0,65536,16509549
0,65536,16411194
0,65536,16409979
0,65536,16490814
0,65536,16435347
0,65536,16410795
0,65536,16412505
0,65536,16486530
0,65536,16432800
0,65536,16411560
0,65536,16487925
0,65536,16409928
0,65536,16431963
0,65536,16492728
0,65536,16406145
0,65536,16410327
0,65536,16429086
0,65536,16488297
0,65536,16411509
0,65536,16406124
0,65536,16510332
0,65536,16410438
0,65536,16406211
0,65536,16491237
0,65536,16426392
0,65536,16412946
0,65536,16407033
0,65536,16488342
0,65536,16431645
0,65536,16411578
0,65536,16491723
0,65536,16410693
0,65536,16429992
0,65536,16489977
0,65536,16402641
0,65536,16410813
0,65536,16426203
0,65536,16492038
0,65536,16407495
0,65536,16402347
0,65536,16510860
0,65536,16406802
0,65536,16411239
0,65536,16487277
0,65536,16430133
0,102400,26675847
0,102400,26148591
0,102400,27220350
0,102400,26273139
0,102400,26151918
0,102400,25917804
0,102400,25901715
0,102400,25977171
0,102400,25891839
0,102400,25970664
0,102400,25912071
0,102400,25976775
0,102400,25927452
0,102400,25971360
0,102400,25998882
0,102400,25988184
0,102400,25997538
0,102400,25961361
0,102400,25978485
0,102400,26208081
0,102400,28044630
0,102400,26041668
0,102400,26767731
0,102400,25988556
0,102400,26055666
0,102400,25980372
0,102400,25881444
0,102400,25895832
0,102400,25976364
0,102400,25893195
