Algoritmo,Tamaño,Ticks
0,4096,6817585
0,4096,6638814
0,4096,6664758
0,4096,6607890
0,4096,6636900
0,4096,6574410
0,4096,6633648
0,4096,6606966
0,4096,6641316
0,4096,6587532
0,4096,6443724
0,4096,6309276
0,4096,6334326
0,4096,6291372
0,4096,6380232
0,4096,6316776
0,4096,6179590
0,4096,6029556
0,4096,6042163
0,4096,6023551
0,4096,6064578
0,4096,6037491
0,4096,6062146
0,4096,5774058
0,4096,5772441
0,4096,5805147
0,4096,5783740
0,4096,5779442
0,4096,5759353
0,4096,5742417
0,4096,5516898
0,4096,5531164
0,4096,5534867
0,4096,5527385
0,4096,5551327
0,4096,5536110
0,4096,5566203
0,4096,5350813
0,4096,5328982
0,4096,5371060
0,4096,5330018
0,4096,5339025
0,4096,5336755
0,4096,5336674
0,4096,5241755
0,4096,5134256
0,4096,5151456
0,4096,5140872
0,4096,5125780
0,4096,5149240
0,4096,5144080
0,4096,5179216
0,4096,4966752
0,4096,4942489
0,4096,4961740
0,4096,4946407
0,4096,4956208
0,4096,4977666
0,4096,4954393
0,4096,4969984
0,4096,4788188
0,4096,4780712
0,4096,4792432
0,4096,4785072
0,4096,4773268
0,4096,4791608
0,4096,4786988
0,4096,4773024
0,4096,4692557
0,4096,4628056
0,4096,4637936
0,4096,4617488
0,4096,4614662
0,4096,4632692
0,4096,4631768
0,4096,4635658
0,4096,4610004
0,4096,4476680
0,4096,4472452
0,4096,4493692
0,4096,4466464
0,4096,4475720
0,4096,4491696
0,4096,4471328
0,4096,4478432
0,4096,4449026
0,4096,4332092
0,4096,4330722
0,4096,4352597
0,4096,4339203
0,4096,4336444
0,4096,4349619
0,4096,4336868
0,4096,4348129
0,4096,4325868
0,4096,4206144
0,4096,4204848
0,4096,4212936
0,4096,4205372
0,4096,4196728
0,4096,8130425
0,4096,7939808
0,4096,7885284
0,4096,7928068
0,4096,7877677
0,4096,7529439
0,4096,7444411
0,4096,7405610
0,4096,7430148
0,4096,7403533
0,4096,7200572
0,4096,6992422
0,4096,7015025
0,4096,6988681
0,4096,7008964
0,4096,7038205
0,4096,6566166
0,4096,6588960
0,4096,6624090
0,4096,6637836
0,4096,6617958
0,4096,6660276
0,4096,6290295
0,4096,6289293
0,4096,6307803
0,4096,6285504
0,4096,6314958
0,4096,6286851
0,4096,6106833
0,4096,5990736
0,4096,6007566
0,4096,5996760
0,4096,6007626
0,4096,5993358
0,4096,5984790
0,4096,5717568
0,4096,5717394
0,4096,5736756
0,4096,5715996
0,4096,5733732
0,4096,5712180
0,4096,5692882
0,4096,5470070
0,4096,5470675
0,4096,5488824
0,4096,5468720
0,4096,5488336
0,4096,5468735
0,4096,5493874
0,4096,5242022
0,4096,5244195
0,4096,5268135
0,4096,5243134
0,4096,5262840
0,4096,5240098
0,4096,5238080
0,4096,5166660
0,4096,5029925
0,4096,5033636
0,4096,5047854
0,4096,5030296
0,4096,5045381
0,4096,5026515
0,4096,5032938
0,4096,4938105
0,4096,4840044
0,4096,4857417
0,4096,4836247
0,4096,4837150
0,4096,4855082
0,4096,4835160
0,4096,4840191
0,4096,4775088
0,4096,4658780
0,4096,4662000
0,4096,4672432
0,4096,4658504
0,4096,4655824
0,4096,4672376
0,4096,4662500
0,4096,4676655
0,4096,4491304
0,4096,4490446
0,4096,4507004
0,4096,4496811
0,4096,4492072
0,4096,4508629
0,4096,4492583
0,4096,4491052
0,4096,4484648
0,4096,4341636
0,4096,4337084
0,4096,4351236
0,4096,4338768
0,4096,4341284
0,4096,4351416
0,4096,4338868
0,4096,4339156
0,4096,4339575
0,4096,4191368
0,16384,39033719
0,16384,37970739
0,16384,35937170
0,16384,33547890
0,16384,32113449
0,16384,30873624
0,16384,29801640
0,16384,28587201
0,16384,27802994
0,16384,27132139
0,16384,26072056
0,16384,25517553
0,16384,24982118
0,16384,24002124
0,16384,23751719
0,16384,23192108
0,16384,22664947
0,16384,22334334
0,16384,21684124
0,16384,21543595
0,16384,20858542
0,16384,20764527
0,16384,20195736
0,16384,20082384
0,16384,19549955
0,16384,19454480
0,16384,18955272
0,16384,18930701
0,16384,18391791
0,16384,18436083
0,16384,17950092
0,16384,17887203
0,16384,17543712
0,16384,17402028
0,16384,17186667
0,16384,16894668
0,16384,16980693
0,16384,16997592
0,16384,16912605
0,16384,16910823
0,16384,16912944
0,16384,16928853
0,16384,16927935
0,16384,16952007
0,16384,16925988
0,16384,16889022
0,16384,16952634
0,16384,16921302
0,16384,16920099
0,16384,16898844
0,16384,16926294
0,16384,16876680
0,16384,16890297
0,16384,16920090
0,16384,16934244
0,16384,16922220
0,16384,16914744
0,16384,16952136
0,16384,16911318
0,16384,16906368
0,16384,16931127
0,16384,16932066
0,16384,16888188
0,16384,16897056
0,16384,16927266
0,16384,16975977
0,16384,16919766
0,16384,16940931
0,16384,16925430
0,16384,16922646
0,16384,16869993
0,16384,16933905
0,16384,16926393
0,16384,16919265
0,16384,16935387
0,16384,16905624
0,16384,16985649
0,16384,16909386
0,16384,16933668
0,16384,16918227
0,16384,16917438
0,16384,16926270
0,16384,16903335
0,16384,16913067
0,16384,16905819
0,16384,16940514
0,16384,16922307
0,16384,16898448
0,16384,16906059
0,16384,16911315
0,16384,16892748
0,16384,16933524
0,16384,16931307
0,16384,16911456
0,16384,16887705
0,16384,16919541
0,16384,16921320
0,16384,16908942
0,16384,16884651
0,16384,16921761
0,16384,34274584
0,16384,33410033
0,16384,31944476
0,16384,30145448
0,16384,28979616
0,16384,28099251
0,16384,27122034
0,16384,25996170
0,16384,25414710
0,16384,24645726
0,16384,23831085
0,16384,23475326
0,16384,22589119
0,16384,22312798
0,16384,21701079
0,16384,21253272
0,16384,20845191
0,16384,20377789
0,16384,20082288
0,16384,19603416
0,16384,19341254
0,16384,18951533
0,16384,18606236
0,16384,18384633
0,16384,18067034
0,16384,17898602
0,16384,17461748
0,16384,17399013
0,16384,16916522
0,16384,16935369
0,16384,16585645
0,16384,16419284
0,16384,16291136
0,16384,15924231
0,16384,15927123
0,16384,15569136
0,16384,15479418
0,16384,15376770
0,16384,15000195
0,16384,14986344
0,16384,14814465
0,16384,14635617
0,16384,14641050
0,16384,14654742
0,16384,14626671
0,16384,14638035
0,16384,14644713
0,16384,14632686
0,16384,14628339
0,16384,14644488
0,16384,14632593
0,16384,14651466
0,16384,14648223
0,16384,14642457
0,16384,14641704
0,16384,14627451
0,16384,14635566
0,16384,14591877
0,16384,14640885
0,16384,14638272
0,16384,14627904
0,16384,14654874
0,16384,14630652
0,16384,14638350
0,16384,14647779
0,16384,14628909
0,16384,14578566
0,16384,14637846
0,16384,14633562
0,16384,14632446
0,16384,14646393
0,16384,14624667
0,16384,14642235
0,16384,14643372
0,16384,14593452
0,16384,14626932
0,16384,14624592
0,16384,14554614
0,16384,14638551
0,16384,14665485
0,16384,14647422
0,16384,14684172
0,16384,14624799
0,16384,14631057
0,16384,14730669
0,16384,14691438
0,16384,14905617
0,16384,14796885
0,16384,14788191
0,16384,14753640
0,16384,14790159
0,16384,14706588
0,16384,14690394
0,16384,14633625
0,16384,14646705
0,16384,14745783
0,16384,14646816
0,16384,14633577
0,16384,14687979
0,16384,14639139
0,36864,69030294
0,36864,64230102
0,36864,59900100
0,36864,56531750
0,36864,53520346
0,36864,51185306
0,36864,49005154
0,36864,46982673
0,36864,45271895
0,36864,43833845
0,36864,42452874
0,36864,41288622
0,36864,40159767
0,36864,39678972
0,36864,39673608
0,36864,39675243
0,36864,39675963
0,36864,39667203
0,36864,39663279
0,36864,39658560
0,36864,39696501
0,36864,39806325
0,36864,39670557
0,36864,39705720
0,36864,39632772
0,36864,39672099
0,36864,39683358
0,36864,39687888
0,36864,39634239
0,36864,39654258
0,36864,39669348
0,36864,39637458
0,36864,39667731
0,36864,39656439
0,36864,39693324
0,36864,39653289
0,36864,39673098
0,36864,39669630
0,36864,39651003
0,36864,39890079
0,36864,39830997
0,36864,39658746
0,36864,39668418
0,36864,39682002
0,36864,39667644
0,36864,39616881
0,36864,39663525
0,36864,39649884
0,36864,39648705
0,36864,39638763
0,36864,39671391
0,36864,39660732
0,36864,39676086
0,36864,39661041
0,36864,39657348
0,36864,39658716
0,36864,39672267
0,36864,39659976
0,36864,39614988
0,36864,39704343
0,36864,39678063
0,36864,39674082
0,36864,39657792
0,36864,39637908
0,36864,39650847
0,36864,39641496
0,36864,39669513
0,36864,39648135
0,36864,39675273
0,36864,39652890
0,36864,39668769
0,36864,39655668
0,36864,39706470
0,36864,39697707
0,36864,39675666
0,36864,39755472
0,36864,39665346
0,36864,39684819
0,36864,39643680
0,36864,39625284
0,36864,39692466
0,36864,39766869
0,36864,39590964
0,36864,39563025
0,36864,39639717
0,36864,39675171
0,36864,39719385
0,36864,39695040
0,36864,39644058
0,36864,39653466
0,36864,39685716
0,36864,39690690
0,36864,39664692
0,36864,39667641
0,36864,39684648
0,36864,39673914
0,36864,39689340
0,36864,39787752
0,36864,39696777
0,36864,39873783
0,36864,81424079
0,36864,71776174
0,36864,65418294
0,36864,60898614
0,36864,56762765
0,36864,53718786
0,36864,50933368
0,36864,48384824
0,36864,46458403
0,36864,44696293
0,36864,43069772
0,36864,41589426
0,36864,40192694
0,36864,38987746
0,36864,37947162
0,36864,36915723
0,36864,36036951
0,36864,35711118
0,36864,35524218
0,36864,35578101
0,36864,35583771
0,36864,35624385
0,36864,35537196
0,36864,35552637
0,36864,35620629
0,36864,35573769
0,36864,35519757
0,36864,35563269
0,36864,35518989
0,36864,35573994
0,36864,35645235
0,36864,35613111
0,36864,35559156
0,36864,35649303
0,36864,35619702
0,36864,35673351
0,36864,35533449
0,36864,35595273
0,36864,35506842
0,36864,35558712
0,36864,35677362
0,36864,35640777
0,36864,35579433
0,36864,35649015
0,36864,35601075
0,36864,35546619
0,36864,35534736
0,36864,35655117
0,36864,35606478
0,36864,35575410
0,36864,35648754
0,36864,35602413
0,36864,35581533
0,36864,35693511
0,36864,35682135
0,36864,35644596
0,36864,36130176
0,36864,36060111
0,36864,35765181
0,36864,35514621
0,36864,35671035
0,36864,35648691
0,36864,35596740
0,36864,35597232
0,36864,35615883
0,36864,35613459
0,36864,35600148
0,36864,35654037
0,36864,35560020
0,36864,35614455
0,36864,35520693
0,36864,35621415
0,36864,35514594
0,36864,35501439
0,36864,35612277
0,36864,35669205
0,36864,35586081
0,36864,35613783
0,36864,35702526
0,36864,35533731
0,36864,35581545
0,36864,35648085
0,36864,35532009
0,36864,35588979
0,36864,35693589
0,36864,35589108
0,36864,35573196
0,36864,35655189
0,36864,35693907
0,36864,35638854
0,36864,35563932
0,36864,35645754
0,36864,35499909
0,36864,35482899
