Algoritmo,Tamaño,Ticks
0,4096,885025
0,4096,706608
0,4096,706104
0,4096,706416
0,4096,705969
0,4096,705852
0,4096,706221
0,4096,706449
0,4096,706362
0,4096,706119
0,4096,706425
0,4096,705891
0,4096,706269
0,4096,705939
0,4096,801750
0,4096,687108
0,4096,687177
0,4096,686685
0,4096,686865
0,4096,686688
0,4096,686892
0,4096,686439
0,4096,686982
0,4096,686697
0,4096,686931
0,4096,686505
0,4096,687030
0,4096,686958
0,4096,686967
0,4096,686514
0,4096,687006
0,4096,686586
0,4096,686949
0,4096,796506
0,4096,687558
0,4096,687411
0,4096,687168
0,4096,686940
0,4096,687087
0,4096,687243
0,4096,687081
0,4096,686862
0,4096,687402
0,4096,687198
0,4096,686940
0,4096,687066
0,4096,687207
0,4096,687453
0,4096,687150
0,4096,686961
0,4096,687135
0,4096,687192
0,4096,770607
0,4096,687186
0,4096,686199
0,4096,686499
0,4096,686112
0,4096,686586
0,4096,686367
0,4096,686661
0,4096,686403
0,4096,686691
0,4096,686406
0,4096,686613
0,4096,686214
0,4096,686589
0,4096,686142
0,4096,686508
0,4096,686283
0,4096,686559
0,4096,686286
0,4096,763383
0,4096,687201
0,4096,686571
0,4096,686520
0,4096,686424
0,4096,686646
0,4096,686631
0,4096,686763
0,4096,686586
0,4096,686814
0,4096,686601
0,4096,686817
0,4096,686676
0,4096,686817
0,4096,686589
0,4096,686850
0,4096,686655
0,4096,686862
0,4096,686616
0,4096,777840
0,4096,687006
0,4096,686655
0,4096,687009
0,4096,686631
0,4096,686886
0,4096,686664
0,4096,687207
0,4096,686985
0,4096,686802
0,4096,1623807
0,4096,1592803
0,4096,1591005
0,4096,1673331
0,4096,1589841
0,4096,1589626
0,4096,1589833
0,4096,1590072
0,4096,1590014
0,4096,1590089
0,4096,1590435
0,4096,1630629
0,4096,1589692
0,4096,1589536
0,4096,1589965
0,4096,1589544
0,4096,1590327
0,4096,1590254
0,4096,1590517
0,4096,1590187
0,4096,1614648
0,4096,1589091
0,4096,1588743
0,4096,1588744
0,4096,1588612
0,4096,1588941
0,4096,1588471
0,4096,1589065
0,4096,1614858
0,4096,1497248
0,4096,1497123
0,4096,1496873
0,4096,1496950
0,4096,1497290
0,4096,1497193
0,4096,1497033
0,4096,1497283
0,4096,1574581
0,4096,1496873
0,4096,1496275
0,4096,1495741
0,4096,1496748
0,4096,1496915
0,4096,1496686
0,4096,1496686
0,4096,1607446
0,4096,1495414
0,4096,1495796
0,4096,1495011
0,4096,1495588
0,4096,1495865
0,4096,1494886
0,4096,1495845
0,4096,1494886
0,4096,1548399
0,4096,1411841
0,4096,1412480
0,4096,1411945
0,4096,1412400
0,4096,1412497
0,4096,1412615
0,4096,1412084
0,4096,1412716
0,4096,1480696
0,4096,1412421
0,4096,1412334
0,4096,1412004
0,4096,1412407
0,4096,1412393
0,4096,1411653
0,4096,1412445
0,4096,1411799
0,4096,1412591
0,4096,1483593
0,4096,1413192
0,4096,1413293
0,4096,1412622
0,4096,1412966
0,4096,1413043
0,4096,1413119
0,4096,1413498
0,4096,1413088
0,4096,1435370
0,4096,1339572
0,4096,1338810
0,4096,1338846
0,4096,1339296
