Algoritmo,Tamaño,Ticks
0,4096,4009059
0,4096,3914625
0,4096,3926436
0,4096,3902133
0,4096,3858630
0,4096,43506930
0,4096,3922065
0,4096,3866058
0,4096,3843663
0,4096,3901677
0,4096,3883725
0,4096,3858603
0,4096,43444995
0,4096,3913170
0,4096,3858756
0,4096,3910464
0,4096,3885441
0,4096,3867291
0,4096,3852234
0,4096,43508055
0,4096,3892566
0,4096,3862248
0,4096,43433196
0,4096,3911583
0,4096,3852825
0,4096,3843096
0,4096,3911571
0,4096,3882852
0,4096,3855720
0,4096,43433538
0,4096,3898497
0,4096,3846039
0,4096,3914025
0,4096,3895812
0,4096,3850383
0,4096,3853950
0,4096,43456947
0,4096,3876231
0,4096,3845868
0,4096,3883089
0,4096,3869940
0,4096,3853275
0,4096,3902433
0,4096,3891657
0,4096,3872460
0,4096,3853272
0,4096,43455171
0,4096,3885864
0,4096,3862194
0,4096,3905088
0,4096,3891513
0,4096,3856143
0,4096,3842028
0,4096,3911502
0,4096,3884016
0,4096,3841890
0,4096,43434402
0,4096,3908436
0,4096,3851064
0,4096,3906939
0,4096,3887172
0,4096,3848898
0,4096,3855819
0,4096,3925620
0,4096,3872784
0,4096,3847257
0,4096,43433451
0,4096,3903927
0,4096,3857496
0,4096,3855321
0,4096,3923589
0,4096,3858255
0,4096,3847194
0,4096,3910662
0,4096,3891192
0,4096,3847551
0,4096,43424892
0,4096,3911958
0,4096,3862008
0,4096,3847668
0,4096,3897792
0,4096,3878574
0,4096,3850047
0,4096,3912345
0,4096,3891171
0,4096,3857514
0,4096,43446117
0,4096,3903591
0,4096,3865014
0,4096,3850062
0,4096,3910518
0,4096,3879840
0,4096,3850716
0,4096,3901176
0,4096,3887046
0,4096,3865863
0,4096,3853434
0,4096,43476408
0,4096,3865629
0,4096,3847536
0,4096,3483339
0,4096,3347241
0,4096,3340128
0,4096,3334092
0,4096,3370248
0,4096,3329274
0,4096,3328341
0,4096,3328899
0,4096,3373134
0,4096,3326742
0,4096,3322401
0,4096,3323763
0,4096,16594347
0,4096,3348564
0,4096,3323472
0,4096,3322941
0,4096,16597998
0,4096,3351486
0,4096,3325290
0,4096,3326763
0,4096,16595703
0,4096,3353481
0,4096,3327399
0,4096,3325860
0,4096,16611342
0,4096,3349623
0,4096,3325035
0,4096,3323487
0,4096,16597116
0,4096,3345903
0,4096,3324147
0,4096,3327936
0,4096,16595382
0,4096,3347580
0,4096,3324837
0,4096,3326631
0,4096,16665174
0,4096,3415998
0,4096,3373860
0,4096,3521691
0,4096,3413880
0,4096,3384567
0,4096,3373674
0,4096,3418407
0,4096,3420390
0,4096,3361044
0,4096,3371448
0,4096,3404211
0,4096,3328236
0,4096,3325083
0,4096,3325065
0,4096,3353097
0,4096,3347433
0,4096,3327735
0,4096,3326895
0,4096,3368031
0,4096,3324111
0,4096,3323499
0,4096,3324192
0,4096,6668649
0,4096,3464091
0,4096,3386889
0,4096,3424557
0,4096,3421941
0,4096,3378003
0,4096,3375732
0,4096,3389310
0,4096,3419760
0,4096,3379656
0,4096,3377715
0,4096,3398781
0,4096,3331959
0,4096,3327951
0,4096,3326325
0,4096,3352929
0,4096,3326001
0,4096,3326136
0,4096,3326613
0,4096,3370191
0,4096,3330129
0,4096,3326955
0,4096,3354672
0,4096,3388920
0,4096,3394146
0,4096,3378624
0,4096,3438549
0,4096,3411546
0,4096,3386913
0,4096,3370863
0,4096,3422292
0,4096,3398322
0,4096,3368604
0,4096,3370875
0,4096,3416817
0,4096,3361173
0,4096,3336036
0,4096,3328704
0,4096,3374430
0,4096,3326139
0,4096,3326433
0,16384,17466630
0,16384,43838982
0,16384,30566763
0,16384,43784685
0,16384,17432655
0,16384,17352852
0,16384,43709637
0,16384,17375571
0,16384,56895291
0,16384,17341833
0,16384,56927628
0,16384,17377266
0,16384,17335707
0,16384,56929197
0,16384,17379267
0,16384,56882088
0,16384,17405244
0,16384,56907132
0,16384,17336022
0,16384,17386782
0,16384,17685825
0,16384,70204164
0,16384,17472414
0,16384,70253799
0,16384,70210455
0,16384,17465073
0,16384,70295343
0,16384,70211997
0,16384,17480673
0,16384,57084288
0,16384,17493285
0,16384,17510712
0,16384,57102309
0,16384,17521590
0,16384,57028713
0,16384,17549238
0,16384,57073308
0,16384,17485758
0,16384,57035925
0,16384,17324928
0,16384,17330328
0,16384,17414118
0,16384,17320167
0,16384,17418420
0,16384,17561721
0,16384,17444793
0,16384,17374443
0,16384,17488896
0,16384,17480973
0,16384,17469177
0,16384,17409852
0,16384,17364474
0,16384,17552118
0,16384,17601783
0,16384,17497203
0,16384,17559090
0,16384,17395533
0,16384,17519574
0,16384,17434746
0,16384,17513172
0,16384,17358810
0,16384,17425212
0,16384,17529468
0,16384,17458041
0,16384,17359446
0,16384,17403081
0,16384,17503344
0,16384,17481264
0,16384,17427885
0,16384,17525319
0,16384,17475189
0,16384,17429178
0,16384,17458416
0,16384,17475762
0,16384,17462037
0,16384,17420037
0,16384,18075429
0,16384,17567958
0,16384,17338344
0,16384,17432337
0,16384,17476404
0,16384,17455764
0,16384,17446722
0,16384,17534001
0,16384,17460330
0,16384,17402136
0,16384,17700990
0,16384,17601831
0,16384,17381229
0,16384,17437905
0,16384,17814861
0,16384,17476293
0,16384,17439606
0,16384,17344416
0,16384,17428734
0,16384,17452290
0,16384,17531004
0,16384,17413188
0,16384,17321787
0,16384,17546898
0,16384,15031059
0,16384,14681019
0,16384,41023173
0,16384,14740134
0,16384,14611191
0,16384,14793360
0,16384,14613321
0,16384,14636967
0,16384,14666298
0,16384,14610666
0,16384,14682783
0,16384,14687535
0,16384,14703087
0,16384,14681304
0,16384,14705007
0,16384,14637045
0,16384,14599218
0,16384,14607336
0,16384,14640204
0,16384,14637588
0,16384,14629590
0,16384,14692722
0,16384,14655333
0,16384,14643504
0,16384,14663220
0,16384,14636715
0,16384,14591037
0,16384,14607216
0,16384,14581029
0,16384,14625087
0,16384,14723976
0,16384,14672826
0,16384,14635470
0,16384,15026616
0,16384,14653152
0,16384,14606481
0,16384,14634300
0,16384,14665776
0,16384,14556792
0,16384,14681244
0,16384,14688522
0,16384,14641443
0,16384,14643984
0,16384,14671257
0,16384,14575731
0,16384,14611119
0,16384,14673330
0,16384,14676576
0,16384,14660256
0,16384,14676777
0,16384,14630556
0,16384,14644053
0,16384,14630988
0,16384,14621238
0,16384,14620872
0,16384,14693049
0,16384,14685675
0,16384,14678640
0,16384,14686170
0,16384,14657685
0,16384,14614500
0,16384,14626332
0,16384,14626002
0,16384,14569089
0,16384,14666724
0,16384,14688525
0,16384,14625783
0,16384,14759934
0,16384,14631291
0,16384,14606187
0,16384,14657736
0,16384,14622309
0,16384,14590092
0,16384,14675457
0,16384,14748021
0,16384,14689569
0,16384,14632944
0,16384,14640507
0,16384,14657868
0,16384,14619156
0,16384,14623968
0,16384,14585922
0,16384,14636043
0,16384,14760870
0,16384,14650020
0,16384,14690190
0,16384,14615760
0,16384,14590599
0,16384,14624733
0,16384,14644170
0,16384,14582676
0,16384,14681229
0,16384,14708724
0,16384,14680284
0,16384,14668710
0,16384,14602296
0,16384,14664201
0,16384,14617386
0,16384,14538492
0,16384,14487660
0,36864,55078281
0,36864,54428802
0,36864,54475167
0,36864,54387465
0,36864,41058585
0,36864,67161795
0,36864,54300192
0,36864,67405785
0,36864,54279969
0,36864,67440402
0,36864,54234399
0,36864,67436121
0,36864,80702508
0,36864,107193504
0,36864,120141936
0,36864,120202218
0,36864,120202794
0,36864,106964229
0,36864,80644800
0,36864,80594979
0,36864,80633106
0,36864,80601888
0,36864,80584116
0,36864,80606859
0,36864,93961476
0,36864,80653047
0,36864,120223419
0,36864,120202830
0,36864,120134898
0,36864,93877140
0,36864,41113524
0,36864,41025600
