Algoritmo,Tamaño,Ticks
0,4096,7282923
0,4096,7196460
0,4096,20451216
0,4096,7205337
0,4096,20462805
0,4096,7126986
0,4096,20422773
0,4096,7147458
0,4096,20429535
0,4096,20433969
0,4096,7205490
0,4096,33557379
0,4096,7137645
0,4096,7256940
0,4096,7212951
0,4096,7169310
0,4096,7194678
0,4096,59961981
0,4096,7205343
0,4096,7189512
0,4096,7236588
0,4096,7188561
0,4096,46735155
0,4096,7175877
0,4096,7190346
0,4096,7197981
0,4096,7173582
0,4096,7201035
0,4096,46787814
0,4096,7140105
0,4096,7229217
0,4096,7178832
0,4096,7197963
0,4096,46744722
0,4096,7161804
0,4096,7237488
0,4096,7153953
0,4096,7229940
0,4096,7125879
0,4096,46903467
0,4096,7212834
0,4096,7192578
0,4096,7205799
0,4096,7206669
0,4096,46726473
0,4096,7148991
0,4096,7245351
0,4096,7166649
0,4096,7224054
0,4096,7191639
0,4096,46721796
0,4096,7258776
0,4096,7166598
0,4096,7209786
0,4096,7174386
0,4096,46766553
0,4096,7202805
0,4096,7224381
0,4096,7166361
0,4096,7206447
0,4096,7192965
0,4096,59953827
0,4096,7254627
0,4096,7211160
0,4096,7167789
0,4096,7205148
0,4096,46731096
0,4096,7159044
0,4096,7231926
0,4096,7181010
0,4096,7202097
0,4096,7195041
0,4096,46706148
0,4096,7206846
0,4096,7135620
0,4096,7200750
0,4096,7203843
0,4096,46733499
0,4096,7120278
0,4096,7189773
0,4096,7189284
0,4096,7201332
0,4096,7136904
0,4096,46782861
0,4096,7203765
0,4096,7167624
0,4096,7190457
0,4096,7143048
0,4096,59974938
0,4096,7138830
0,4096,7204857
0,4096,7165968
0,4096,7208127
0,4096,7166031
0,4096,33762759
0,4096,7261275
0,4096,7253160
0,4096,59946378
0,4096,7200621
0,4096,7262718
0,4096,6303282
0,4096,6305460
0,4096,6246678
0,4096,45839778
0,4096,6238542
0,4096,45840675
0,4096,6228573
0,4096,45829539
0,4096,6237693
0,4096,72156702
0,4096,6238161
0,4096,6283755
0,4096,6228477
0,4096,6229821
0,4096,58998594
0,4096,6233058
0,4096,58982949
0,4096,6225732
0,4096,6262017
0,4096,6228378
0,4096,85334829
0,4096,6235032
0,4096,6276504
0,4096,6231834
0,4096,58994283
0,4096,6235500
0,4096,6276804
0,4096,6243399
0,4096,45812265
0,4096,6244524
0,4096,6283407
0,4096,6233100
0,4096,58979985
0,4096,6244821
0,4096,6232482
0,4096,6292719
0,4096,6243291
0,4096,58977351
0,4096,6231564
0,4096,6286155
0,4096,6226377
0,4096,45821868
0,4096,6229293
0,4096,6273477
0,4096,6228219
0,4096,6359826
0,4096,6355653
0,4096,6343296
0,4096,6316506
0,4096,45841554
0,4096,6346164
0,4096,6347067
0,4096,6314730
0,4096,45853209
0,4096,6337941
0,4096,45859725
0,4096,6329676
0,4096,6271566
