Algoritmo,Tamaño,Ticks
0,4096,8952001
0,4096,8830000
0,4096,8702567
0,4096,8259740
0,4096,8278255
0,4096,8140287
0,4096,8344728
0,4096,8149569
0,4096,7796472
0,4096,7785895
0,4096,7877510
0,4096,7795715
0,4096,7714659
0,4096,7384290
0,4096,7402776
0,4096,7390932
0,4096,7328268
0,4096,7276962
0,4096,7066983
0,4096,7033050
0,4096,7013499
0,4096,7040502
0,4096,7011939
0,4096,6949431
0,4096,6678864
0,4096,6702942
0,4096,6597744
0,4096,6693498
0,4096,6680454
0,4096,6600321
0,4096,6373044
0,4096,6393864
0,4096,6372660
0,4096,6391260
0,4096,6368700
0,4096,6363187
0,4096,6097157
0,4096,6113737
0,4096,6103690
0,4096,6097969
0,4096,6111169
0,4096,6101132
0,4096,5945909
0,4096,5854309
0,4096,5876470
0,4096,5846318
0,4096,5872558
0,4096,5850461
0,4096,5870156
0,4096,5615457
0,4096,5609925
0,4096,5632988
0,4096,5608787
0,4096,5643986
0,4096,5625043
0,4096,5676744
0,4096,5390199
0,4096,5399552
0,4096,5465943
0,4096,5393236
0,4096,5407019
0,4096,5390733
0,4096,5393672
0,4096,5299393
0,4096,5198336
0,4096,5211564
0,4096,5199244
0,4096,5197136
0,4096,5207268
0,4096,5191052
0,4096,5210963
0,4096,5008852
0,4096,5008373
0,4096,5023932
0,4096,5015344
0,4096,5003373
0,4096,5033494
0,4096,5009602
0,4096,5008462
0,4096,4835696
0,4096,4835500
0,4096,4858284
0,4096,4839224
0,4096,4841408
0,4096,4849848
0,4096,4842004
0,4096,4859523
0,4096,4673588
0,4096,4676496
0,4096,4670522
0,4096,4609452
0,4096,4677430
0,4096,4685952
0,4096,4675922
0,4096,4679236
0,4096,4612482
0,4096,4533588
0,4096,4529708
0,4096,4538364
0,4096,4521960
0,4096,4288194
0,4096,4151060
0,4096,4140076
0,4096,4131708
0,4096,4110012
0,4096,4121088
0,4096,4119676
0,4096,4116056
0,4096,4081500
0,4096,4131708
0,4096,4107990
0,4096,3992443
0,4096,3993441
0,4096,4061520
0,4096,3991330
0,4096,3989877
0,4096,4010338
0,4096,3990409
0,4096,3990752
0,4096,3986871
0,4096,3951584
0,4096,3872800
0,4096,3870580
0,4096,3939344
0,4096,3871344
0,4096,3867672
0,4096,3872448
0,4096,3935480
0,4096,3869460
0,4096,3871052
0,4096,3857257
0,4096,3756645
0,4096,3752763
0,4096,3768600
0,4096,3767580
0,4096,3755811
0,4096,3757398
0,4096,3751317
0,4096,3721761
0,4096,3722751
0,4096,3763980
0,4096,3657426
0,4096,3657381
0,4096,3655551
0,4096,3673770
0,4096,3649026
0,4096,3649146
0,4096,3648855
0,4096,3661221
0,4096,3647637
0,4096,3648831
0,4096,3667122
0,4096,3554283
0,4096,3545649
0,4096,3548442
0,4096,3571020
0,4096,3549243
0,4096,3550692
0,4096,3545718
0,4096,3560178
0,4096,3547779
0,4096,3544758
0,4096,3578751
0,4096,3447768
0,4096,3451134
0,4096,3451671
0,4096,3455103
0,4096,3453426
0,4096,3450549
0,4096,3451887
0,4096,3448530
0,4096,3450471
0,4096,3451119
0,4096,3449697
0,4096,3469527
0,4096,3451482
0,4096,3452028
0,4096,3452892
0,4096,3465477
0,4096,3453111
0,4096,3451353
0,4096,3465567
0,4096,3453450
0,4096,3453111
0,4096,3452286
0,4096,3459759
0,4096,3420468
0,4096,3418926
0,4096,3419154
0,4096,3465156
0,4096,3450279
0,4096,3450432
0,4096,3449853
0,4096,3466614
0,4096,3452376
0,4096,3452868
0,4096,3450996
0,4096,3470007
0,4096,3452514
0,4096,3450336
0,16384,39705363
0,16384,37285825
0,16384,35395316
0,16384,33546215
0,16384,32214117
0,16384,31122183
0,16384,29933316
0,16384,28794966
0,16384,27947245
0,16384,27273629
0,16384,26393522
0,16384,25590968
0,16384,25152361
0,16384,24326965
0,16384,23722174
0,16384,23449404
0,16384,22723253
0,16384,22520501
0,16384,21843272
0,16384,21627175
0,16384,21112710
0,16384,20651210
0,16384,20440420
0,16384,20107068
0,16384,19704432
0,16384,19495653
0,16384,19208964
0,16384,18942769
0,16384,18630531
0,16384,18448674
0,16384,18103590
0,16384,18027657
0,16384,17483739
0,16384,17402463
0,16384,17176470
0,16384,17120385
0,16384,17105565
0,16384,17126214
0,16384,17051043
0,16384,17097705
0,16384,17130534
0,16384,17116740
0,16384,17117496
0,16384,17125617
0,16384,17158749
0,16384,17105232
0,16384,17160090
0,16384,17115297
0,16384,16924188
0,16384,17223021
0,16384,17074635
0,16384,17110578
0,16384,17123961
0,16384,17114187
0,16384,17095491
0,16384,17114553
0,16384,17113758
0,16384,17119500
0,16384,16926792
0,16384,17105169
0,16384,17118468
0,16384,17131923
0,16384,17176485
0,16384,17116494
0,16384,17119446
0,16384,17034621
0,16384,17114583
0,16384,17117244
0,16384,17115141
0,16384,16988799
0,16384,17110653
0,16384,17126223
0,16384,17115453
0,16384,17129634
0,16384,17122692
0,16384,17130753
0,16384,17125305
0,16384,17118147
0,16384,17113590
0,16384,17131428
0,16384,17121639
0,16384,17135118
0,16384,17133531
0,16384,17106288
0,16384,17111238
0,16384,17131077
0,16384,17098338
0,16384,17127975
0,16384,17100897
0,16384,17121264
0,16384,17113764
0,16384,17088240
0,16384,17105259
0,16384,17097084
0,16384,17116320
0,16384,17131320
0,16384,17113071
0,16384,17206005
0,16384,17122662
0,16384,17113740
0,16384,34935615
0,16384,33701440
0,16384,32551332
0,16384,30839660
0,16384,29815713
0,16384,28510239
0,16384,27580185
0,16384,26606478
0,16384,25976349
0,16384,24956712
0,16384,24168254
0,16384,23872928
0,16384,22898700
0,16384,22756486
0,16384,22188286
0,16384,21694243
0,16384,21150056
0,16384,20732908
0,16384,20309336
0,16384,19978970
0,16384,19759744
0,16384,19235460
0,16384,19033760
0,16384,18483703
0,16384,18384118
0,16384,18112082
0,16384,17835168
0,16384,17642764
0,16384,17273462
0,16384,17120664
0,16384,16724772
0,16384,16743964
0,16384,16416002
0,16384,16239099
0,16384,16128378
0,16384,15677490
0,16384,15584043
0,16384,15446850
0,16384,15352146
0,16384,15347283
0,16384,14930247
0,16384,14971497
0,16384,14919414
0,16384,14911320
0,16384,14936727
0,16384,14763477
0,16384,14778297
0,16384,14921541
0,16384,14910153
0,16384,14922957
0,16384,14914746
0,16384,14914095
0,16384,14916708
0,16384,14951283
0,16384,14939997
0,16384,14800716
0,16384,14949006
0,16384,14954286
0,16384,14825295
0,16384,14874513
0,16384,14931807
0,16384,14943591
0,16384,14960178
0,16384,14961531
0,16384,14956731
0,16384,14827098
0,16384,14875752
0,16384,14776476
0,16384,14946921
0,16384,14918640
0,16384,14956719
0,16384,14900151
0,16384,14950629
0,16384,14991360
0,16384,14941722
0,16384,14925279
0,16384,14926137
0,16384,15030867
0,16384,14989452
0,16384,14935884
0,16384,14913972
0,16384,14951268
0,16384,14931474
0,16384,14927589
0,16384,14976177
0,16384,14969481
0,16384,14925414
0,16384,14921577
0,16384,14941254
0,16384,14933892
0,16384,14911833
0,16384,14956881
0,16384,14928015
0,16384,14976105
0,16384,14968824
0,16384,14825076
0,16384,14872935
0,16384,14927490
0,16384,14946144
0,16384,14769300
0,36864,89019843
0,36864,78193445
0,36864,71238546
0,36864,65790589
0,36864,61198934
0,36864,57870111
0,36864,54619402
0,36864,52089419
0,36864,49988401
0,36864,47884262
0,36864,46057587
0,36864,44484698
0,36864,43067862
0,36864,41780037
0,36864,40583523
0,36864,40227345
0,36864,40083660
0,36864,40082586
0,36864,40090707
0,36864,40063635
0,36864,40109109
0,36864,40103874
0,36864,40120614
0,36864,40068132
0,36864,40121676
0,36864,40125513
0,36864,40099959
0,36864,40097145
0,36864,40112541
0,36864,40114326
0,36864,40173849
0,36864,40089519
0,36864,40239171
0,36864,40081908
0,36864,40106625
0,36864,40096491
0,36864,40126773
0,36864,40184115
0,36864,40084212
0,36864,39898260
0,36864,39885216
0,36864,40097973
0,36864,40092384
0,36864,40077222
0,36864,40042260
0,36864,40104087
0,36864,40128777
0,36864,40091283
0,36864,39880044
0,36864,40105893
0,36864,40092357
0,36864,40137933
0,36864,40065429
0,36864,40197444
0,36864,40013775
0,36864,40070754
0,36864,40305948
0,36864,40147359
0,36864,40156368
0,36864,40122594
0,36864,40114998
0,36864,40108050
0,36864,40107996
0,36864,40100718
0,36864,40162494
0,36864,40063581
0,36864,40116279
0,36864,40099788
0,36864,40106460
0,36864,40052001
0,36864,40083879
0,36864,39875229
0,36864,40097310
0,36864,39889137
0,36864,40085760
0,36864,40076868
0,36864,40163664
0,36864,40111332
0,36864,40134255
0,36864,40118442
0,36864,40115847
0,36864,40092075
0,36864,40109598
0,36864,40100778
0,36864,40076124
0,36864,40094877
0,36864,40072881
0,36864,40088472
0,36864,40119192
0,36864,40165401
0,36864,40287591
0,36864,40186053
0,36864,40188690
0,36864,40095348
0,36864,40076025
0,36864,39898440
0,36864,40082451
0,36864,40146066
0,36864,40091205
0,36864,40106712
0,36864,65129679
0,36864,61249356
0,36864,56784133
0,36864,53818362
0,36864,51148626
0,36864,48428294
0,36864,46778312
0,36864,44951169
0,36864,43235296
0,36864,41873569
0,36864,40540122
0,36864,39320580
0,36864,38135580
0,36864,37202559
0,36864,36203343
0,36864,36077265
0,36864,36129060
0,36864,36097152
0,36864,36121188
0,36864,35715978
0,36864,35924955
0,36864,36102537
0,36864,36069195
0,36864,36102006
0,36864,36036147
0,36864,36087327
0,36864,36127632
0,36864,36075954
0,36864,36058833
0,36864,36064842
0,36864,36091686
0,36864,36078453
0,36864,36069777
0,36864,36131985
0,36864,36104592
0,36864,36085608
0,36864,36082368
0,36864,35954169
0,36864,36073455
0,36864,35744226
0,36864,35912976
0,36864,35904906
0,36864,35905053
0,36864,36093117
0,36864,36080940
0,36864,36056712
0,36864,35915406
0,36864,35914635
0,36864,36126456
0,36864,36094230
0,36864,36122577
0,36864,36085938
0,36864,35913468
0,36864,36078621
0,36864,36217977
0,36864,36048795
0,36864,35884422
0,36864,35941047
0,36864,36069360
0,36864,35817942
0,36864,36060954
0,36864,36094224
0,36864,36044127
0,36864,36090534
0,36864,36112638
0,36864,36088500
0,36864,36067545
0,36864,36072795
0,36864,36125826
0,36864,36090069
0,36864,36113808
0,36864,36057093
0,36864,35922051
0,36864,35936079
0,36864,36063462
0,36864,36119547
0,36864,36165942
0,36864,36019290
0,36864,36093429
0,36864,35892261
0,36864,36114384
0,36864,36094929
0,36864,36081744
0,36864,36123777
0,36864,36056061
0,36864,36084348
0,36864,36068250
0,36864,36083019
0,36864,36051984
