Algoritmo,Tamaño,Ticks
0,4096,69376
0,4096,55652
0,4096,55712
0,4096,55712
0,4096,55716
0,4096,55704
0,4096,55676
0,4096,55716
0,4096,55748
0,4096,55752
0,4096,55728
0,4096,55664
0,4096,55668
0,4096,55760
0,4096,55748
0,4096,55812
0,4096,55740
0,4096,55776
0,4096,55700
0,4096,55748
0,4096,55744
0,4096,55740
0,4096,55672
0,4096,55792
0,4096,55744
0,4096,55760
0,4096,55732
0,4096,55728
0,4096,55748
0,4096,55824
0,4096,55784
0,4096,55700
0,4096,55780
0,4096,55696
0,4096,55720
0,4096,55780
0,4096,55744
0,4096,55780
0,4096,55764
0,4096,55708
0,4096,55692
0,4096,55704
0,4096,55724
0,4096,55788
0,4096,55728
0,4096,55692
0,4096,55724
0,4096,55812
0,4096,55720
0,4096,55724
0,4096,55740
0,4096,55700
0,4096,55684
0,4096,55744
0,4096,55772
0,4096,55768
0,4096,55688
0,4096,55684
0,4096,55724
0,4096,55764
0,4096,55740
0,4096,55668
0,4096,55772
0,4096,55700
0,4096,55672
0,4096,55736
0,4096,55680
0,4096,55704
0,4096,55716
0,4096,55684
0,4096,55688
0,4096,55700
0,4096,55836
0,4096,55704
0,4096,55672
0,4096,55704
0,4096,55676
0,4096,55656
0,4096,55788
0,4096,55732
0,4096,55716
0,4096,55672
0,4096,55692
0,4096,55724
0,4096,55660
0,4096,55708
0,4096,55632
0,4096,55668
0,4096,55704
0,4096,55648
0,4096,55708
0,4096,55692
0,4096,55832
0,4096,55656
0,4096,55684
0,4096,55672
0,4096,55728
0,4096,55764
0,4096,55776
0,4096,55680
0,4096,69628
0,4096,55672
0,4096,55740
0,4096,55832
0,4096,55776
0,4096,55740
0,4096,55752
0,4096,55748
0,4096,55728
0,4096,55768
0,4096,55780
0,4096,55736
0,4096,55696
0,4096,55684
0,4096,55756
0,4096,55672
0,4096,55716
0,4096,55680
0,4096,55760
0,4096,55660
0,4096,55688
0,4096,55668
0,4096,55776
0,4096,55744
0,4096,55744
0,4096,55736
0,4096,55760
0,4096,55716
0,4096,55676
0,4096,55700
0,4096,55672
0,4096,55788
0,4096,55672
0,4096,55712
0,4096,55744
0,4096,55704
0,4096,55752
0,4096,55740
0,4096,55768
0,4096,55744
0,4096,55796
0,4096,55888
0,4096,55684
0,4096,55756
0,4096,55704
0,4096,55660
0,4096,55716
0,4096,55764
0,4096,55700
0,4096,55700
0,4096,55680
0,4096,55748
0,4096,55740
0,4096,55704
0,4096,55708
0,4096,55644
0,4096,55708
0,4096,55692
0,4096,55772
0,4096,55684
0,4096,55708
0,4096,55740
0,4096,55696
0,4096,55740
0,4096,55680
0,4096,55688
0,4096,55696
0,4096,55800
0,4096,55644
0,4096,55776
0,4096,55696
0,4096,55680
0,4096,55672
0,4096,55676
0,4096,55716
0,4096,55644
0,4096,55696
0,4096,55684
0,4096,55760
0,4096,55800
0,4096,55692
0,4096,55688
0,4096,55780
0,4096,55700
0,4096,55652
0,4096,55672
0,4096,55696
0,4096,55692
0,4096,55736
0,4096,55724
0,4096,55780
0,4096,55820
0,4096,55780
0,4096,55732
0,4096,55700
0,4096,55668
0,4096,55716
0,4096,55748
0,4096,55808
0,4096,55672
0,16384,241664
0,16384,199200
0,16384,199016
0,16384,199200
0,16384,199048
0,16384,199144
0,16384,198956
0,16384,199144
0,16384,199208
0,16384,199220
0,16384,199112
0,16384,199140
0,16384,198940
0,16384,199104
0,16384,199004
0,16384,199064
0,16384,199144
0,16384,199164
0,16384,198960
0,16384,199152
0,16384,199080
0,16384,199196
0,16384,199116
0,16384,198996
0,16384,199036
0,16384,199092
0,16384,199104
0,16384,199200
0,16384,198984
0,16384,199180
0,16384,198988
0,16384,216404
0,16384,199232
0,16384,199196
0,16384,198964
0,16384,198940
0,16384,198948
0,16384,199196
0,16384,199172
0,16384,199168
0,16384,199028
0,16384,198976
0,16384,199200
0,16384,199112
0,16384,199028
0,16384,199152
0,16384,198972
0,16384,199160
0,16384,199224
0,16384,199096
0,16384,199016
0,16384,199156
0,16384,199060
0,16384,199136
0,16384,198964
0,16384,199072
0,16384,199032
0,16384,199252
0,16384,199060
0,16384,199136
0,16384,199188
0,16384,199092
0,16384,199004
0,16384,199148
0,16384,198964
0,16384,199184
0,16384,199152
0,16384,199036
0,16384,198972
0,16384,199112
0,16384,198936
0,16384,198988
0,16384,198972
0,16384,199128
0,16384,199112
0,16384,199124
0,16384,199132
0,16384,198988
0,16384,199068
0,16384,199080
0,16384,199172
0,16384,199116
0,16384,198964
0,16384,198976
0,16384,199072
0,16384,199132
0,16384,199156
0,16384,199152
0,16384,199072
0,16384,199160
0,16384,199212
0,16384,199096
0,16384,199004
0,16384,199156
0,16384,199060
0,16384,219884
0,16384,199200
0,16384,199100
0,16384,199076
0,16384,199116
0,16384,243708
0,16384,199296
0,16384,198980
0,16384,199176
0,16384,199188
0,16384,199164
0,16384,199104
0,16384,199168
0,16384,199044
0,16384,198964
0,16384,199156
0,16384,199132
0,16384,199108
0,16384,199012
0,16384,199032
0,16384,199148
0,16384,199172
0,16384,199120
0,16384,199196
0,16384,198996
0,16384,199176
0,16384,199140
0,16384,199196
0,16384,199120
0,16384,199116
0,16384,199008
0,16384,199196
0,16384,199148
0,16384,199172
0,16384,199164
0,16384,199096
0,16384,199148
0,16384,199252
0,16384,199132
0,16384,199176
0,16384,199136
0,16384,199172
0,16384,199132
0,16384,199180
0,16384,199008
0,16384,199192
0,16384,199156
0,16384,199104
0,16384,199120
0,16384,199104
0,16384,198996
0,16384,199036
0,16384,199152
0,16384,230124
0,16384,199168
0,16384,199036
0,16384,199132
0,16384,198996
0,16384,199112
0,16384,198992
0,16384,199108
0,16384,199052
0,16384,198984
0,16384,199108
0,16384,199156
0,16384,199140
0,16384,199172
0,16384,198976
0,16384,199156
0,16384,199140
0,16384,199128
0,16384,199000
0,16384,199064
0,16384,199040
0,16384,199144
0,16384,199096
0,16384,198964
0,16384,199048
0,16384,199124
0,16384,199120
0,16384,199200
0,16384,198968
0,16384,199224
0,16384,199144
0,16384,199108
0,16384,199136
0,16384,199056
0,16384,199168
0,16384,199132
0,16384,199160
0,16384,199156
0,16384,199036
0,16384,199140
0,16384,199104
0,16384,199076
0,16384,199156
0,16384,199112
0,16384,199220
0,16384,199348
0,16384,199168
0,16384,199136
0,16384,199104
0,16384,199128
0,16384,199000
0,16384,199056
0,36864,619808
0,36864,432748
0,36864,432684
0,36864,432700
0,36864,432648
0,36864,432672
0,36864,432712
0,36864,432664
0,36864,432676
0,36864,432696
0,36864,432680
0,36864,432700
0,36864,432692
0,36864,432672
0,36864,432676
0,36864,432672
0,36864,432668
0,36864,432672
0,36864,432672
0,36864,432684
0,36864,432668
0,36864,432664
0,36864,432684
0,36864,432664
0,36864,432668
0,36864,432664
0,36864,432692
0,36864,432660
0,36864,432676
0,36864,457800
0,36864,432728
0,36864,432648
0,36864,432656
0,36864,432664
0,36864,432636
0,36864,432632
0,36864,432680
0,36864,432684
0,36864,432672
0,36864,432664
0,36864,432684
0,36864,432676
0,36864,432676
0,36864,432676
0,36864,432704
0,36864,432672
0,36864,432692
0,36864,432664
0,36864,432684
0,36864,432664
0,36864,432720
0,36864,432680
0,36864,432668
0,36864,432676
0,36864,432676
0,36864,432676
0,36864,432668
0,36864,432680
0,36864,446204
0,36864,434280
0,36864,432680
0,36864,432640
0,36864,432644
0,36864,432644
0,36864,432692
0,36864,432672
0,36864,432664
0,36864,432660
0,36864,432684
0,36864,432664
0,36864,432684
0,36864,432668
0,36864,432676
0,36864,432672
0,36864,432684
0,36864,432668
0,36864,432660
0,36864,432688
0,36864,432668
0,36864,432692
0,36864,432668
0,36864,432664
0,36864,432684
0,36864,432684
0,36864,432684
0,36864,432672
0,36864,432660
0,36864,432668
0,36864,496480
0,36864,418676
0,36864,418696
0,36864,418676
0,36864,418684
0,36864,418704
0,36864,418752
0,36864,418704
0,36864,418720
0,36864,418708
0,36864,418692
0,36864,418748
0,36864,507468
0,36864,418764
0,36864,418764
0,36864,418776
0,36864,418796
0,36864,418764
0,36864,418772
0,36864,418780
0,36864,418756
0,36864,418724
0,36864,418756
0,36864,418768
0,36864,439312
0,36864,418764
0,36864,418732
0,36864,418724
0,36864,418732
0,36864,418752
0,36864,418756
0,36864,418728
0,36864,418772
0,36864,418724
0,36864,418736
0,36864,418724
0,36864,418744
0,36864,418752
0,36864,418756
0,36864,418764
0,36864,418740
0,36864,418716
0,36864,418736
0,36864,418740
0,36864,418748
0,36864,418716
0,36864,418736
0,36864,418744
0,36864,418736
0,36864,418740
0,36864,418732
0,36864,418764
0,36864,418736
0,36864,418760
0,36864,418740
0,36864,484832
0,36864,405648
0,36864,405656
0,36864,405640
0,36864,405656
0,36864,405640
0,36864,405656
0,36864,405652
0,36864,405648
0,36864,405656
0,36864,405672
0,36864,405712
0,36864,405680
0,36864,405676
0,36864,405708
0,36864,405716
0,36864,405672
0,36864,405652
0,36864,405688
0,36864,405672
0,36864,405692
0,36864,405700
0,36864,405704
0,36864,405696
0,36864,405680
0,36864,405644
0,36864,405676
0,36864,405676
0,36864,405664
0,36864,405680
0,36864,405676
0,36864,417656
0,36864,405684
0,36864,405652
0,36864,405628
0,36864,405644
0,36864,405648
0,36864,405640
0,36864,405652
0,36864,405664
0,36864,405648
0,36864,405676
0,36864,405668
0,36864,405644
0,36864,405660
0,36864,405644
0,36864,405656
0,36864,405664
0,36864,405692
0,36864,405644
0,36864,405660
0,36864,405632
0,36864,405652
0,36864,405672
0,36864,405648
0,36864,405656
0,36864,405676
0,65536,884612
0,65536,779233
0,65536,699187
0,65536,699219
0,65536,699219
0,65536,699231
0,65536,699210
0,65536,699184
0,65536,699228
0,65536,699202
0,65536,699166
0,65536,699219
0,65536,699181
0,65536,699196
0,65536,699222
0,65536,699246
0,65536,699228
0,65536,699201
0,65536,699231
0,65536,719976
0,65536,699234
0,65536,699234
0,65536,699207
0,65536,699172
0,65536,699196
0,65536,699240
0,65536,699213
0,65536,699255
0,65536,699199
0,65536,699205
0,65536,699243
0,65536,699228
0,65536,699228
0,65536,699193
0,65536,699225
0,65536,699210
0,65536,699199
0,65536,715297
0,65536,699184
0,65536,699187
0,65536,699190
0,65536,699181
0,65536,699172
0,65536,699213
0,65536,699187
0,65536,699231
0,65536,699193
0,65536,699246
0,65536,699225
0,65536,699166
0,65536,699193
0,65536,699198
0,65536,699210
0,65536,699187
0,65536,699196
0,65536,749031
0,65536,678662
0,65536,678641
0,65536,678616
0,65536,678625
0,65536,678607
0,65536,678631
0,65536,678665
0,65536,678665
0,65536,678641
0,65536,678677
0,65536,678634
0,65536,678675
0,65536,678680
0,65536,678653
0,65536,678662
0,65536,678653
0,65536,678659
0,65536,678659
0,65536,756765
0,65536,678629
0,65536,678616
0,65536,678674
0,65536,678650
0,65536,678626
0,65536,678647
0,65536,678686
0,65536,678640
0,65536,678634
0,65536,678659
0,65536,678684
0,65536,678668
0,65536,678647
0,65536,678625
0,65536,678631
0,65536,678647
0,65536,678653
0,65536,678662
0,65536,765565
0,65536,678610
0,65536,678644
