Algoritmo,Tamaño,Ticks
0,4096,141480
0,4096,122702
0,4096,122661
0,4096,122546
0,4096,122735
0,4096,122587
0,4096,122677
0,4096,122669
0,4096,122636
0,4096,122529
0,4096,122628
0,4096,122719
0,4096,122636
0,4096,122513
0,4096,122702
0,4096,122455
0,4096,122545
0,4096,122488
0,4096,122619
0,4096,122686
0,4096,122595
0,4096,122578
0,4096,122727
0,4096,122628
0,4096,122364
0,4096,122628
0,4096,122612
0,4096,122818
0,4096,122455
0,4096,122579
0,4096,122496
0,4096,122669
0,4096,159192
0,4096,122018
0,4096,122067
0,4096,122092
0,4096,122100
0,4096,122025
0,4096,122207
0,4096,121910
0,4096,122190
0,4096,122314
0,4096,122125
0,4096,122150
0,4096,122100
0,4096,122157
0,4096,121992
0,4096,122076
0,4096,121993
0,4096,121960
0,4096,122166
0,4096,122191
0,4096,122125
0,4096,122199
0,4096,121985
0,4096,122183
0,4096,122010
0,4096,122149
0,4096,122141
0,4096,122100
0,4096,122190
0,4096,122183
0,4096,122042
0,4096,122281
0,4096,122133
0,4096,122092
0,4096,122191
0,4096,122109
0,4096,122249
0,4096,122199
0,4096,122166
0,4096,122067
0,4096,122265
0,4096,122125
0,4096,122009
0,4096,122265
0,4096,121976
0,4096,121910
0,4096,122141
0,4096,122059
0,4096,122207
0,4096,122191
0,4096,122125
0,4096,122141
0,4096,121935
0,4096,122174
0,4096,122215
0,4096,122241
0,4096,122067
0,4096,122043
0,4096,122018
0,4096,122232
0,4096,122265
0,4096,122183
0,4096,122067
0,4096,122223
0,4096,122174
0,4096,122108
0,4096,122133
0,4096,122042
0,4096,153137
0,4096,122281
0,4096,122133
0,4096,122001
0,4096,122249
0,4096,122034
0,4096,121952
0,4096,122009
0,4096,122141
0,4096,122183
0,4096,122248
0,4096,122208
0,4096,122282
0,4096,122149
0,4096,122058
0,4096,122149
0,4096,122116
0,4096,122034
0,4096,122141
0,4096,205029
0,4096,122116
0,4096,121968
0,4096,122191
0,4096,122010
0,4096,122142
0,4096,122166
0,4096,121935
0,4096,122042
0,4096,122117
0,4096,121943
0,4096,121943
0,4096,122117
0,4096,122042
0,4096,122075
0,4096,122109
0,4096,122083
0,4096,121993
0,4096,121951
0,4096,122084
0,4096,121894
0,4096,121877
0,4096,122364
0,4096,122158
0,4096,122281
0,4096,121902
0,4096,121993
0,4096,121894
0,4096,122166
0,4096,121911
0,4096,122083
0,4096,122100
0,4096,122191
0,4096,122109
0,4096,121976
0,4096,122034
0,4096,121993
0,4096,121985
0,4096,122067
0,4096,122174
0,4096,121902
0,4096,122059
0,4096,122108
0,4096,122183
0,4096,122232
0,4096,122108
0,4096,121885
0,4096,121993
0,4096,121951
0,4096,122149
0,4096,122026
0,4096,122009
0,4096,122224
0,4096,122141
0,4096,122018
0,4096,122075
0,4096,122034
0,4096,121960
0,4096,122034
0,4096,122273
0,4096,122133
0,4096,121951
0,4096,121984
0,4096,121746
0,4096,122249
0,4096,121985
0,4096,122174
0,4096,121992
0,4096,122026
0,4096,122042
0,4096,122199
0,4096,121927
0,4096,122067
0,4096,121993
0,4096,122058
0,4096,122059
0,4096,122026
0,4096,122125
0,4096,122133
0,4096,122109
0,4096,122034
0,16384,602349
0,16384,488111
0,16384,487880
0,16384,488004
0,16384,487814
0,16384,579917
0,16384,488235
0,16384,488145
0,16384,488218
0,16384,488145
0,16384,487839
0,16384,488202
0,16384,487674
0,16384,487649
0,16384,488219
0,16384,487822
0,16384,488301
0,16384,487666
0,16384,487748
0,16384,487823
0,16384,487690
0,16384,487344
0,16384,487748
0,16384,487649
0,16384,487740
0,16384,487830
0,16384,487682
0,16384,487344
0,16384,487740
0,16384,487831
0,16384,487682
0,16384,512424
0,16384,488103
0,16384,487443
0,16384,487823
0,16384,487633
0,16384,487591
0,16384,488095
0,16384,487550
0,16384,487534
0,16384,487724
0,16384,488103
0,16384,488284
0,16384,487534
0,16384,487592
0,16384,487534
0,16384,487724
0,16384,488103
0,16384,487633
0,16384,487707
0,16384,487699
0,16384,487534
0,16384,487715
0,16384,487608
0,16384,487773
0,16384,487608
0,16384,487550
0,16384,487534
0,16384,507779
0,16384,487641
0,16384,487617
0,16384,487468
0,16384,488029
0,16384,487641
0,16384,487955
0,16384,487641
0,16384,487963
0,16384,487633
0,16384,487963
0,16384,487633
0,16384,487955
0,16384,487633
0,16384,487963
0,16384,487723
0,16384,487963
0,16384,487723
0,16384,487955
0,16384,487724
0,16384,487954
0,16384,487641
0,16384,487963
0,16384,487633
0,16384,487955
0,16384,487633
0,16384,487963
0,16384,504537
0,16384,487938
0,16384,487715
0,16384,487806
0,16384,488020
0,16384,488004
0,16384,487979
0,16384,488136
0,16384,487748
0,16384,487971
0,16384,488095
0,16384,488136
0,16384,487955
0,16384,488153
0,16384,488054
0,16384,590898
0,16384,487790
0,16384,488103
0,16384,487806
0,16384,487913
0,16384,487971
0,16384,487773
0,16384,487690
0,16384,487962
0,16384,568021
0,16384,488061
0,16384,487691
0,16384,487690
0,16384,487690
0,16384,487715
0,16384,487715
0,16384,487740
0,16384,487905
0,16384,488317
0,16384,487509
0,16384,487575
0,16384,487905
0,16384,487897
0,16384,487765
0,16384,487567
0,16384,487517
0,16384,487583
0,16384,487905
0,16384,487872
0,16384,487905
0,16384,487707
0,16384,487996
0,16384,487740
0,16384,487765
0,16384,487526
0,16384,487773
0,16384,509314
0,16384,487674
0,16384,488037
