Algoritmo,Tamaño,Ticks
0,4096,55911
0,4096,40326
0,4096,40347
0,4096,40386
0,4096,40362
0,4096,40287
0,4096,40359
0,4096,40290
0,4096,40308
0,4096,40299
0,4096,40347
0,4096,40293
0,4096,40356
0,4096,40341
0,4096,40320
0,4096,40329
0,4096,40383
0,4096,40386
0,4096,40290
0,4096,40308
0,4096,40299
0,4096,40311
0,4096,40368
0,4096,40323
0,4096,40290
0,4096,40332
0,4096,40341
0,4096,40296
0,4096,40311
0,4096,40287
0,4096,40323
0,4096,40317
0,4096,40290
0,4096,40320
0,4096,40320
0,4096,40347
0,4096,40332
0,4096,40290
0,4096,40374
0,4096,40302
0,4096,40302
0,4096,40311
0,4096,40356
0,4096,40344
0,4096,40326
0,4096,40347
0,4096,40296
0,4096,40296
0,4096,40344
0,4096,70533
0,4096,103170
0,4096,42624
0,4096,116646
0,4096,83628
0,4096,41397
0,4096,77427
0,4096,40311
0,4096,40302
0,4096,40338
0,4096,40299
0,4096,40386
0,4096,40332
0,4096,40320
0,4096,40353
0,4096,40314
0,4096,40344
0,4096,40344
0,4096,40416
0,4096,40419
0,4096,40302
0,4096,40368
0,4096,40311
0,4096,40317
0,4096,40335
0,4096,40329
0,4096,40374
0,4096,40344
0,4096,40311
0,4096,40392
0,4096,40284
0,4096,40308
0,4096,40299
0,4096,40305
0,4096,40329
0,4096,40290
0,4096,40323
0,4096,40275
0,4096,40353
0,4096,40296
0,4096,40314
0,4096,40302
0,4096,40359
0,4096,40317
0,4096,40299
0,4096,40293
0,4096,40302
0,4096,40335
0,4096,40356
0,4096,40371
0,4096,40374
0,16384,211347
0,16384,161019
0,16384,160989
0,16384,160995
0,16384,161031
0,16384,161043
0,16384,160962
0,16384,161088
0,16384,161049
0,16384,160974
0,16384,161088
0,16384,161079
0,16384,160932
0,16384,160995
0,16384,161016
0,16384,161121
0,16384,161046
0,16384,161055
0,16384,160998
0,16384,160941
0,16384,161040
0,16384,160986
0,16384,161091
0,16384,161076
0,16384,161037
0,16384,161106
0,16384,160986
0,16384,160938
0,16384,160941
0,16384,161016
0,16384,161067
0,16384,161025
0,16384,161028
0,16384,161001
0,16384,161001
0,16384,160938
0,16384,161043
0,16384,161022
0,16384,161082
0,16384,161049
0,16384,161001
0,16384,161094
0,16384,161004
0,16384,161049
0,16384,161034
0,16384,161076
0,16384,160914
0,16384,161031
0,16384,160911
0,16384,161025
0,16384,161016
0,16384,160980
0,16384,160986
0,16384,160986
0,16384,161028
0,16384,161106
0,16384,161076
0,16384,229503
0,16384,257727
0,16384,160920
0,16384,160878
0,16384,160992
0,16384,160941
0,16384,160944
0,16384,160923
0,16384,161031
0,16384,160908
0,16384,160893
0,16384,160845
0,16384,160920
0,16384,160944
0,16384,160887
0,16384,160950
0,16384,160911
0,16384,160875
0,16384,160896
0,16384,160965
0,16384,161034
0,16384,160935
0,16384,160902
0,16384,160917
0,16384,160965
0,16384,160983
0,16384,160869
0,16384,160959
0,16384,160860
0,16384,161028
0,16384,160941
0,16384,161004
0,16384,161028
0,16384,160947
0,16384,160863
0,16384,161025
0,16384,160962
0,16384,160938
0,16384,160878
0,16384,160950
0,16384,160815
0,16384,160938
0,16384,160974
0,36864,468366
0,36864,362091
0,36864,362067
0,36864,362109
0,36864,362082
0,36864,362067
0,36864,362055
0,36864,362076
0,36864,362067
0,36864,362067
0,36864,362067
0,36864,362061
0,36864,362052
0,36864,362109
0,36864,362073
0,36864,362082
0,36864,362067
0,36864,500178
0,36864,482556
0,36864,399993
0,36864,362049
0,36864,362046
0,36864,362049
0,36864,362019
0,36864,362046
0,36864,362082
0,36864,362061
0,36864,362073
0,36864,362061
0,36864,362061
0,36864,362067
0,36864,362082
0,36864,362067
0,36864,362067
0,36864,362088
0,36864,362061
0,36864,362067
0,36864,362073
0,36864,362052
0,36864,362109
0,36864,362082
0,36864,362061
0,36864,362076
0,36864,362076
0,36864,362067
0,36864,362103
0,36864,362073
0,36864,362073
0,36864,362073
0,36864,362067
0,36864,362079
0,36864,362073
0,36864,362073
0,36864,533634
0,36864,362046
0,36864,362046
0,36864,362046
0,36864,362046
0,36864,362046
0,36864,362061
0,36864,362046
0,36864,362025
0,36864,362058
0,36864,362040
0,36864,362055
0,36864,362046
0,36864,362046
0,36864,362046
0,36864,362055
0,36864,362061
0,36864,362046
0,36864,362040
0,36864,362061
0,36864,362052
0,36864,362025
0,36864,362061
0,36864,362052
0,36864,362058
0,36864,362079
0,36864,362052
0,36864,362067
0,36864,362061
0,36864,362073
0,36864,362061
0,36864,362061
0,36864,362061
