Algoritmo,Tamaño,Ticks
0,4096,543824
0,4096,514998
0,4096,513018
0,4096,511649
0,4096,513521
0,4096,512796
0,4096,512878
0,4096,513414
0,4096,514099
0,4096,594570
0,4096,512004
0,4096,513810
0,4096,512845
0,4096,512135
0,4096,513810
0,4096,511525
0,4096,512482
0,4096,512366
0,4096,512969
0,4096,512746
0,4096,513702
0,4096,513802
0,4096,513777
0,4096,513554
0,4096,512078
0,4096,512382
0,4096,512729
0,4096,512580
0,4096,512763
0,4096,512424
0,4096,513183
0,4096,512573
0,4096,510849
0,4096,512506
0,4096,536011
0,4096,514189
0,4096,514412
0,4096,512061
0,4096,512325
0,4096,512622
0,4096,512778
0,4096,513249
0,4096,513414
0,4096,513703
0,4096,512820
0,4096,512440
0,4096,512672
0,4096,510964
0,4096,512697
0,4096,512185
0,4096,511327
0,4096,512399
0,4096,512367
0,4096,511459
0,4096,512111
0,4096,512267
0,4096,513084
0,4096,512836
0,4096,512432
0,4096,513134
0,4096,529337
0,4096,513274
0,4096,512589
0,4096,512275
0,4096,511863
0,4096,512795
0,4096,513645
0,4096,511781
0,4096,511855
0,4096,513323
0,4096,512606
0,4096,512869
0,4096,512127
0,4096,512770
0,4096,512795
0,4096,513661
0,4096,512432
0,4096,512919
0,4096,513282
0,4096,512531
0,4096,512902
0,4096,511954
0,4096,513694
0,4096,513249
0,4096,512515
0,4096,569712
0,4096,442878
0,4096,270852
0,4096,222210
0,4096,221694
0,4096,221832
0,4096,221346
0,4096,221463
0,4096,222303
0,4096,221964
0,4096,221793
0,4096,221451
0,4096,222246
0,4096,221730
0,4096,221394
0,4096,420410
0,4096,228468
0,4096,228363
0,4096,227709
0,4096,227613
0,4096,227628
0,4096,227706
0,4096,227670
0,4096,227670
0,4096,227406
0,4096,227958
0,4096,227976
0,4096,227739
0,4096,227205
0,4096,227577
0,4096,227712
0,4096,227376
0,4096,227868
0,4096,228159
0,4096,227334
0,4096,227868
0,4096,228069
0,4096,227967
0,4096,227952
0,4096,227271
0,4096,227820
0,4096,227853
0,4096,227670
0,4096,227730
0,4096,226965
0,4096,227502
0,4096,228021
0,4096,227616
0,4096,265308
0,4096,302814
0,4096,227943
0,4096,248928
0,4096,227739
0,4096,227688
0,4096,227844
0,4096,227577
0,4096,227778
0,4096,227460
0,4096,227130
0,4096,227052
0,4096,227799
0,4096,228348
0,4096,227142
0,4096,227568
0,4096,227460
0,4096,249486
0,4096,221352
0,4096,221760
0,4096,221724
0,4096,221853
0,4096,220842
0,4096,221655
0,4096,221343
0,4096,221694
0,4096,221208
0,4096,248676
0,4096,227733
0,4096,227259
0,4096,227427
0,4096,227856
0,4096,228054
0,4096,228171
0,4096,227169
0,4096,228360
0,4096,228051
0,4096,227961
0,4096,227772
0,4096,227742
0,4096,228189
0,4096,227493
0,4096,227469
0,4096,227595
0,4096,227643
0,4096,227889
0,4096,227277
0,4096,228216
0,4096,227277
0,4096,227322
0,4096,227628
0,4096,227373
0,4096,227502
0,4096,228588
0,4096,227703
0,4096,227757
0,4096,227811
0,4096,227706
0,4096,260391
0,4096,228018
0,4096,227118
0,4096,228045
0,4096,227283
0,4096,227412
0,4096,228294
0,4096,227814
0,4096,227919
0,16384,2156451
0,16384,2053062
0,16384,2051874
0,16384,2051503
0,16384,2138169
0,16384,2050645
0,16384,2053376
0,16384,2054754
0,16384,2053854
0,16384,2052880
0,16384,2051676
0,16384,2122832
0,16384,2052064
0,16384,2053689
0,16384,2055917
0,16384,2054696
0,16384,2052840
0,16384,2098841
0,16384,2054811
0,16384,2054184
0,16384,2050332
0,16384,2051791
0,16384,2053574
0,16384,2052707
0,16384,1289818
0,16384,888111
0,16384,888315
0,16384,887856
0,16384,887742
0,16384,887124
0,16384,888120
0,16384,887961
0,16384,888000
0,16384,886701
0,16384,888621
0,16384,886632
0,16384,887133
0,16384,888810
0,16384,906306
0,16384,889587
0,16384,887313
0,16384,887349
0,16384,888324
0,16384,888417
0,16384,887421
0,16384,887619
0,16384,888090
0,16384,889707
0,16384,887166
0,16384,887058
0,16384,888504
0,16384,888393
0,16384,885765
0,16384,900768
0,16384,887877
0,16384,886659
0,16384,888294
0,16384,887598
0,16384,887094
0,16384,886827
0,16384,888738
0,16384,888525
0,16384,887889
0,16384,886770
0,16384,886986
0,16384,887889
0,16384,887844
0,16384,886308
0,16384,911175
0,16384,889119
0,16384,887049
0,16384,887775
0,16384,888108
0,16384,887106
0,16384,887895
0,16384,887634
0,16384,886143
0,16384,886815
0,16384,887901
0,16384,888084
0,16384,886923
0,16384,888147
0,16384,902421
0,16384,887745
0,16384,888480
0,16384,886782
0,16384,887529
0,16384,887331
0,16384,889680
0,16384,887889
0,16384,886767
0,16384,888030
0,16384,888183
0,16384,887766
0,16384,888099
0,16384,887292
0,16384,888126
0,16384,901749
0,16384,887838
0,16384,888162
0,16384,2149249
0,16384,2055314
0,16384,2055570
0,16384,2053904
0,16384,2125191
0,16384,1848198
0,16384,2055117
0,16384,2053516
0,16384,2055108
0,16384,2053384
0,16384,2057138
0,16384,2111175
0,16384,2053937
0,16384,2053648
0,16384,2053293
0,16384,2053565
0,16384,2053177
0,16384,2133479
0,16384,1059696
0,16384,1060344
0,16384,1059664
0,16384,1061424
0,16384,1061196
0,16384,1060272
0,16384,1061580
0,16384,1060476
0,16384,1060856
0,16384,1060416
0,16384,1061364
0,16384,1089464
0,16384,1059376
0,16384,1060328
0,16384,1059092
0,16384,1059956
0,16384,1060000
0,16384,1059316
0,16384,1060412
0,16384,1059892
0,16384,1060516
0,16384,1062600
0,16384,1060332
0,16384,1060764
0,16384,1082944
0,16384,1061448
0,16384,1060520
0,16384,1059208
0,16384,1060416
0,16384,1058588
0,16384,1061668
0,16384,1058764
0,16384,1060620
0,16384,1060764
0,16384,1060612
0,16384,1064156
0,16384,1100702
0,16384,888663
0,16384,888696
0,16384,889206
0,16384,887415
0,16384,889221
0,16384,888675
0,16384,888915
0,16384,889050
0,16384,887367
0,16384,888858
0,16384,888762
0,16384,887826
0,16384,888309
0,16384,889035
0,16384,904953
0,16384,889041
0,16384,889569
0,16384,888030
0,16384,888810
0,16384,888345
0,16384,888660
0,16384,888042
0,16384,887991
0,16384,888516
0,16384,888258
0,16384,888408
0,16384,887583
0,16384,887868
0,16384,889023
0,16384,903129
0,16384,887994
0,16384,888594
0,16384,888186
0,16384,888627
0,16384,888417
0,16384,888849
0,16384,888426
0,16384,889371
0,16384,888741
0,16384,888219
0,16384,889995
0,16384,888102
0,16384,888753
0,16384,888294
0,16384,914637
0,36864,2742723
0,36864,2555300
0,36864,2555084
0,36864,2550612
0,36864,3187846
0,36864,4627837
0,36864,4626377
0,36864,4662446
0,36864,4629190
0,36864,4621139
0,36864,3301330
0,36864,1999932
0,36864,1999947
0,36864,2002104
0,36864,2000529
0,36864,2000151
0,36864,2140056
0,36864,2000196
0,36864,1999773
0,36864,2002059
0,36864,2001237
0,36864,1999605
0,36864,2000208
0,36864,2065767
0,36864,2000640
0,36864,2000034
0,36864,2001093
0,36864,2002434
0,36864,1999683
0,36864,2127957
0,36864,1999812
0,36864,1999446
0,36864,2001708
0,36864,2000169
0,36864,2002425
0,36864,2002614
0,36864,2063559
0,36864,2002416
0,36864,2001243
0,36864,2000844
0,36864,2000409
0,36864,2001048
0,36864,2095176
0,36864,2023899
0,36864,1998948
0,36864,2000919
0,36864,2000802
0,36864,2000355
0,36864,2000454
0,36864,2032083
0,36864,2000499
0,36864,2003634
0,36864,2001969
0,36864,2000910
0,36864,1999296
0,36864,2002692
0,36864,2121858
0,36864,2001393
0,36864,2003415
0,36864,1999770
0,36864,2001042
0,36864,1999422
0,36864,2028501
0,36864,2003283
0,36864,2002899
0,36864,2001936
0,36864,1999896
0,36864,2002401
0,36864,2001144
0,36864,2020044
0,36864,2000652
0,36864,2001255
0,36864,2002041
0,36864,2000919
0,36864,2001237
0,36864,2014191
0,36864,2002332
0,36864,2002173
0,36864,2000790
0,36864,2000910
0,36864,2000649
0,36864,2001867
0,36864,2025996
0,36864,2001624
0,36864,2001387
0,36864,2002251
0,36864,1999743
0,36864,2003775
0,36864,2019630
0,36864,2000472
0,36864,2000100
0,36864,2000331
0,36864,2001588
0,36864,1998279
0,36864,2001363
0,36864,2067246
0,36864,2001999
0,36864,1999440
0,36864,2001945
0,36864,2000937
0,36864,4929564
0,36864,4627862
0,36864,4628193
0,36864,4681446
0,36864,4625982
0,36864,4658742
0,36864,2000784
0,36864,2000340
0,36864,1999941
0,36864,2002035
0,36864,2002011
0,36864,2001777
0,36864,2076936
0,36864,2002056
0,36864,1999635
0,36864,2002179
0,36864,2001345
0,36864,1999833
0,36864,2082807
0,36864,2002131
0,36864,2002476
0,36864,2002335
0,36864,1999584
0,36864,2000145
0,36864,2000187
0,36864,2032158
0,36864,2002584
0,36864,1998567
0,36864,2000901
0,36864,2001942
0,36864,1999794
0,36864,2021985
0,36864,2000613
0,36864,2000781
0,36864,2001423
0,36864,2001828
0,36864,2002647
0,36864,2000841
0,36864,2015205
0,36864,2002872
0,36864,2000034
0,36864,1999842
0,36864,2002029
0,36864,2000601
0,36864,1998963
0,36864,2028786
0,36864,2001813
0,36864,2002623
0,36864,1999602
0,36864,2000064
0,36864,2002134
0,36864,2121654
0,36864,2000250
0,36864,2001363
0,36864,2000076
0,36864,1998192
0,36864,1999407
0,36864,2000622
0,36864,2017635
0,36864,1999899
0,36864,1999410
0,36864,2001783
0,36864,1998171
0,36864,2001480
0,36864,2027076
0,36864,2000049
0,36864,2001444
0,36864,2002566
0,36864,2002851
0,36864,2001339
0,36864,1999578
0,36864,2089035
0,36864,2000712
0,36864,2000238
0,36864,2001792
0,36864,2000070
0,36864,2002668
0,36864,2016162
0,36864,2001498
0,36864,1999491
0,36864,2000559
0,36864,1999938
0,36864,2001453
0,36864,2004240
0,36864,2028795
0,36864,2000001
0,36864,2000442
0,36864,2001417
0,36864,2003223
0,36864,2000610
0,36864,2019648
0,36864,2000646
0,36864,1999011
0,36864,2003910
0,36864,2000028
0,36864,2002350
0,36864,1999029
0,36864,2022810
0,36864,2002401
0,36864,1999098
0,65536,8716999
0,65536,8285392
0,65536,8223773
0,65536,6704386
0,65536,4247204
0,65536,4249288
0,65536,4277444
0,65536,4248124
0,65536,4247272
0,65536,4275484
0,65536,4250756
0,65536,4243428
0,65536,4176027
0,65536,3557532
0,65536,3555375
0,65536,3557232
0,65536,3576810
0,65536,3558327
0,65536,3559806
0,65536,3557934
0,65536,3577617
0,65536,3557343
0,65536,3557565
0,65536,3582285
0,65536,3557877
0,65536,3560100
0,65536,3556962
0,65536,3676299
0,65536,3558162
0,65536,3558456
0,65536,3555831
0,65536,3574785
0,65536,3552969
0,65536,3557052
0,65536,3584694
0,65536,3557415
0,65536,3559611
0,65536,3555342
0,65536,3574494
0,65536,3556386
0,65536,3556305
0,65536,3554067
0,65536,3569352
0,65536,3558975
0,65536,3559596
0,65536,3582270
0,65536,3557838
0,65536,3558198
0,65536,3558324
0,65536,3575502
0,65536,3557049
0,65536,3557976
0,65536,3557337
0,65536,3572202
0,65536,3559908
0,65536,3559110
0,65536,3558342
0,65536,3585567
0,65536,3557259
0,65536,3557937
0,65536,3576552
0,65536,3556635
0,65536,3555633
0,65536,3557415
0,65536,3571533
0,65536,3556656
0,65536,3557925
0,65536,3556242
0,65536,3584001
0,65536,3558342
0,65536,3559503
0,65536,3575040
0,65536,3557532
0,65536,3555561
0,65536,3560250
0,65536,3575691
0,65536,3558999
0,65536,3559608
0,65536,3557814
0,65536,3583320
0,65536,3556575
0,65536,3561051
0,65536,3574044
0,65536,3560109
0,65536,3559743
0,65536,3556227
0,65536,3571611
0,65536,3558246
0,65536,3558582
0,65536,3558741
0,65536,3581652
0,65536,3556797
0,65536,3556851
0,65536,3555873
0,65536,3574452
0,65536,3557880
0,65536,3558366
0,65536,3572598
0,65536,3557805
0,65536,3557127
0,65536,4511381
0,65536,8231281
0,65536,8282134
0,65536,8232378
0,65536,4259776
0,65536,3558150
0,65536,3556377
0,65536,3691941
0,65536,3557565
0,65536,3556140
0,65536,3555717
0,65536,3632970
0,65536,3558120
0,65536,3558891
0,65536,3556431
0,65536,3642975
0,65536,3559503
0,65536,3557964
0,65536,3576174
0,65536,3556491
0,65536,3556818
0,65536,3557556
0,65536,3570993
0,65536,3557136
0,65536,3557280
0,65536,3557706
0,65536,3583884
0,65536,3556311
0,65536,3557547
0,65536,3673194
0,65536,3557091
0,65536,3557226
0,65536,3555468
0,65536,3576465
0,65536,3556761
0,65536,3558414
0,65536,3559296
0,65536,3582234
0,65536,3559836
0,65536,3559005
0,65536,3575115
0,65536,3555414
0,65536,3557892
0,65536,3555951
0,65536,3574590
0,65536,3558456
0,65536,3557559
0,65536,3556332
0,65536,3584127
0,65536,3557820
0,65536,3560499
0,65536,3576807
0,65536,3557019
0,65536,3557580
0,65536,3558477
0,65536,3573093
0,65536,3556044
0,65536,3558732
0,65536,3555180
0,65536,3580656
0,65536,3559254
0,65536,3558081
0,65536,3554352
0,65536,3575628
0,65536,3557469
0,65536,3555744
0,65536,3573363
0,65536,3561927
0,65536,3558396
0,65536,3556509
0,65536,3580932
0,65536,3558519
0,65536,3554193
0,65536,3556287
0,65536,3575658
0,65536,3559785
0,65536,3558477
0,65536,3574044
0,65536,3558345
0,65536,3559935
0,65536,3556782
0,65536,3582345
0,65536,3559080
0,65536,3557814
0,65536,3557400
0,65536,3575271
0,65536,3556941
0,65536,3559713
0,65536,3572832
0,65536,3558024
0,65536,3559302
0,65536,3557979
0,65536,3587634
0,65536,3556839
0,65536,3558297
0,65536,3555774
0,65536,3572319
0,65536,3554892
0,65536,3557511
0,65536,3573753
0,102400,7898294
0,102400,12920127
0,102400,12490480
0,102400,5562483
0,102400,5556546
0,102400,5634231
0,102400,5558832
0,102400,5632317
0,102400,5557434
0,102400,5587119
0,102400,5559447
0,102400,5557371
0,102400,5577117
0,102400,5558721
0,102400,5574969
0,102400,5555997
0,102400,5556717
0,102400,5579961
0,102400,5554422
0,102400,5680896
0,102400,5556078
0,102400,5576376
0,102400,5558280
0,102400,5557533
0,102400,5586438
0,102400,5555820
0,102400,5577603
0,102400,5555565
0,102400,5569233
0,102400,5554188
0,102400,5558544
0,102400,5585169
0,102400,5556891
0,102400,5576376
0,102400,5559879
0,102400,5571126
0,102400,5557653
0,102400,5556000
0,102400,5583786
0,102400,5557230
0,102400,5573958
0,102400,5557113
0,102400,5584815
0,102400,5653980
0,102400,5555271
0,102400,5654724
0,102400,5557182
0,102400,5577144
0,102400,5556738
0,102400,5556540
0,102400,5571537
0,102400,5557770
0,102400,5584671
0,102400,5553384
0,102400,5574486
0,102400,5558031
0,102400,5554947
0,102400,5570952
0,102400,5558388
0,102400,5582418
0,102400,5555097
0,102400,5577615
0,102400,5562312
0,102400,5558898
0,102400,5572512
0,102400,5559234
0,102400,5582328
0,102400,5558301
0,102400,5572395
0,102400,5559852
0,102400,5556396
0,102400,5573976
0,102400,5555781
0,102400,5580684
0,102400,5553897
0,102400,5555445
0,102400,5656590
0,102400,5687529
0,102400,5693787
0,102400,5562471
0,102400,5638362
0,102400,5557332
0,102400,5555940
0,102400,5579892
0,102400,5555391
0,102400,5572458
0,102400,5555607
0,102400,5582559
0,102400,5558598
0,102400,5558373
0,102400,5575623
0,102400,5558115
0,102400,5570709
0,102400,5558595
0,102400,5585235
0,102400,5555868
0,102400,5556612
0,102400,5576346
0,102400,5560632
0,102400,5573118
0,102400,7514253
0,102400,7092452
0,102400,7132556
0,102400,7091132
0,102400,7547924
0,102400,7655724
0,102400,7671762
0,102400,7693520
0,102400,7619252
0,102400,6567548
0,102400,5560470
0,102400,5580624
0,102400,5617917
0,102400,5554851
0,102400,5571357
0,102400,5558925
0,102400,5585784
0,102400,5559966
0,102400,5676888
0,102400,5560830
0,102400,5559195
0,102400,5570661
0,102400,5561028
0,102400,5583678
0,102400,5557845
0,102400,5574024
0,102400,5556126
0,102400,5560071
0,102400,5576568
0,102400,5563941
0,102400,5587086
0,102400,5558424
0,102400,5556432
0,102400,5576367
0,102400,5561595
0,102400,5575308
0,102400,5558046
0,102400,5582565
0,102400,5558211
0,102400,5557347
0,102400,5574063
0,102400,5556633
0,102400,5622033
0,102400,5556132
0,102400,5584026
0,102400,5558466
0,102400,5555772
0,102400,5582361
0,102400,5556993
0,102400,5628351
0,102400,5561928
0,102400,5584950
0,102400,5560302
0,102400,5559399
0,102400,5573523
0,102400,5556006
0,102400,5573880
0,102400,5562510
0,102400,5557245
0,102400,5583648
0,102400,5559459
0,102400,5575920
0,102400,5559054
0,102400,5569254
0,102400,5564028
0,102400,5558124
0,102400,5586936
0,102400,5561868
0,102400,5575059
0,102400,5559033
0,102400,5574981
0,102400,5559948
0,102400,5559690
0,102400,5586093
0,102400,5564043
0,102400,5571828
0,102400,5555844
0,102400,5569380
0,102400,5554365
0,102400,5558316
0,102400,5581689
0,102400,5554353
0,102400,5576805
0,102400,5557719
0,102400,5559114
0,102400,5576388
0,102400,5557152
0,102400,5585394
0,102400,5559963
0,102400,5576448
0,102400,5559954
0,102400,5561916
0,102400,5574765
0,102400,5558844
0,102400,5587449
0,102400,5563830
0,102400,5578215
0,102400,5554131
0,102400,5556189
0,102400,5573325
0,147456,10037229
0,147456,9609220
0,147456,12068184
0,147456,14155224
0,147456,14138526
0,147456,9705837
0,147456,8022837
0,147456,8007315
0,147456,8020329
0,147456,8007972
0,147456,8035029
0,147456,8026422
0,147456,8010279
0,147456,8129091
0,147456,8005335
0,147456,8087529
0,147456,8024619
0,147456,8002212
0,147456,8020800
0,147456,8028639
0,147456,8007717
0,147456,8026362
0,147456,8005638
0,147456,8020980
0,147456,8025189
0,147456,8007924
0,147456,8023575
0,147456,8005641
0,147456,8017557
0,147456,8030751
0,147456,8003595
0,147456,8025051
0,147456,7999683
0,147456,8021061
0,147456,8033592
0,147456,8007018
0,147456,8026827
0,147456,8004288
0,147456,8018355
0,147456,8033388
0,147456,8003988
0,147456,8025195
0,147456,8020338
0,147456,8005266
0,147456,8034273
0,147456,8002530
0,147456,8025186
0,147456,8017251
0,147456,8003988
0,147456,8032209
0,147456,8004777
0,147456,8075238
0,147456,8019126
0,147456,8004636
0,147456,8081832
0,147456,8005629
0,147456,8023758
0,147456,8020548
0,147456,8005452
0,147456,8032593
0,147456,8006535
0,147456,8023203
0,147456,8022279
0,147456,8002422
0,147456,8034264
0,147456,8026266
0,147456,8006256
0,147456,8243214
0,147456,8283495
0,147456,8254593
0,147456,8245047
0,147456,8223924
0,147456,8241273
0,147456,8257905
0,147456,8229738
0,147456,8252847
0,147456,8227755
0,147456,8246385
0,147456,8257725
0,147456,8226762
0,147456,8244138
0,147456,8262909
0,147456,8005878
0,147456,8033775
0,147456,8003247
0,147456,8130447
0,147456,8023557
0,147456,8020218
0,147456,8035098
0,147456,8005170
0,147456,8024142
0,147456,8023269
0,147456,8003595
0,147456,8030778
0,147456,8002029
0,147456,8024955
0,147456,8019075
0,147456,8003718
0,147456,8030358
0,147456,8004405
0,147456,18117909
0,147456,17477432
0,147456,10651864
0,147456,8084577
0,147456,8009868
0,147456,8024739
0,147456,8005497
0,147456,8032788
0,147456,8024697
0,147456,8001357
0,147456,8023269
0,147456,8008416
0,147456,8135199
0,147456,8023728
0,147456,8007552
0,147456,8025057
0,147456,8027433
0,147456,8011149
0,147456,8026515
0,147456,8008743
0,147456,8027637
0,147456,8083125
0,147456,8008233
0,147456,8028471
0,147456,8007774
0,147456,8015982
0,147456,8034447
0,147456,8007453
0,147456,8025546
0,147456,8006367
0,147456,8022027
0,147456,8029284
0,147456,8004582
0,147456,8025861
0,147456,8012481
0,147456,8022357
0,147456,8033973
0,147456,8003592
0,147456,8019624
0,147456,8022507
0,147456,8013219
0,147456,8036094
0,147456,8006166
0,147456,8027976
0,147456,8017602
0,147456,8076327
0,147456,8028402
0,147456,8007741
0,147456,8022594
0,147456,8023308
0,147456,8011572
0,147456,8034912
0,147456,8011809
0,147456,8024520
0,147456,8021235
0,147456,8005734
0,147456,8031213
0,147456,8008119
0,147456,8023206
0,147456,8023878
0,147456,8010438
0,147456,8038716
0,147456,8027241
0,147456,8008371
0,147456,8024937
0,147456,8005953
0,147456,8036436
0,147456,8024934
0,147456,8010336
0,147456,8020542
0,147456,8008335
0,147456,8034144
0,147456,8026185
0,147456,8003805
0,147456,8022471
0,147456,8008275
0,147456,8030325
0,147456,8028405
0,147456,8010696
0,147456,8024775
0,147456,8030628
0,147456,8008323
0,147456,8076552
0,147456,8006517
0,147456,8023602
0,147456,8034711
0,147456,8004891
0,147456,8026191
0,147456,8007003
0,147456,8023890
0,147456,8037090
0,147456,8005569
0,147456,8025606
0,147456,8007741
0,147456,8022030
0,147456,8030892
0,147456,8003049
0,147456,8024373
0,147456,8007750
0,147456,8022264
0,200704,16993385
0,200704,17592714
0,200704,17576555
0,200704,12691096
0,200704,10919511
0,200704,10908423
0,200704,10928814
0,200704,10895805
0,200704,10909518
0,200704,11021253
0,200704,10923135
0,200704,10915560
0,200704,10912089
0,200704,10897842
0,200704,10916634
0,200704,10916787
0,200704,10957914
0,200704,10922427
0,200704,10915293
0,200704,10897413
0,200704,10911915
0,200704,10927515
0,200704,10912962
0,200704,10913208
0,200704,10925817
0,200704,10895085
0,200704,10913625
0,200704,10922211
0,200704,10929531
0,200704,10918161
0,200704,10914030
0,200704,10901685
0,200704,10920477
0,200704,10911435
0,200704,10911165
0,200704,10926330
0,200704,10921941
0,200704,10897887
0,200704,10912083
0,200704,11025642
0,200704,10914915
0,200704,10914492
0,200704,10899528
0,200704,10981209
0,200704,10921587
0,200704,10915998
0,200704,10927125
0,200704,10920792
0,200704,10901214
0,200704,10911816
0,200704,10924665
0,200704,10913631
0,200704,10909491
0,200704,10926621
0,200704,10898772
0,200704,10924059
0,200704,10914852
0,200704,10979235
0,200704,10974195
0,200704,10913007
0,200704,10898805
0,200704,10975563
0,200704,10912941
0,200704,10913055
