Algoritmo,Tamaño,Ticks
0,4096,59749
0,4096,49128
0,4096,49152
0,4096,49155
0,4096,49152
0,4096,49149
0,4096,48984
0,4096,49140
0,4096,49143
0,4096,49191
0,4096,49189
0,4096,49271
0,4096,49167
0,4096,49234
0,4096,49149
0,4096,49298
0,4096,49109
0,4096,49191
0,4096,49113
0,4096,49073
0,4096,49198
0,4096,49094
0,4096,49155
0,4096,49259
0,4096,49253
0,4096,49204
0,4096,49039
0,4096,49259
0,4096,49183
0,4096,49271
0,4096,49152
0,4096,49152
0,4096,49064
0,4096,49246
0,4096,49064
0,4096,49246
0,4096,49161
0,4096,49091
0,4096,49100
0,4096,49158
0,4096,49118
0,4096,49268
0,4096,49082
0,4096,49106
0,4096,49125
0,4096,49134
0,4096,49210
0,4096,49167
0,4096,49116
0,4096,49194
0,4096,49228
0,4096,49219
0,4096,49155
0,4096,49112
0,4096,49332
0,4096,49042
0,4096,49213
0,4096,49082
0,4096,49180
0,4096,49079
0,4096,49189
0,4096,49082
0,4096,49201
0,4096,49280
0,4096,49094
0,4096,49201
0,4096,49113
0,4096,49155
0,4096,49170
0,4096,49167
0,4096,49219
0,4096,49219
0,4096,49021
0,4096,49210
0,4096,49180
0,4096,49176
0,4096,49106
0,4096,49158
0,4096,49106
0,4096,49173
0,4096,49115
0,4096,49179
0,4096,49246
0,4096,49170
0,4096,49240
0,4096,49210
0,4096,49185
0,4096,49137
0,4096,49201
0,4096,49152
0,4096,49182
0,4096,49201
0,4096,49103
0,4096,49179
0,4096,49259
0,4096,49228
0,4096,49292
0,4096,49249
0,4096,49350
0,4096,49182
0,4096,60148
0,4096,49399
0,4096,49490
0,4096,49573
0,4096,49518
0,4096,49451
0,4096,49326
0,4096,49448
0,4096,49338
0,4096,49371
0,4096,49289
0,4096,49393
0,4096,49396
0,4096,49368
0,4096,49268
0,4096,49332
0,4096,49362
0,4096,49323
0,4096,49283
0,4096,49362
0,4096,49375
0,4096,49323
0,4096,49280
0,4096,49399
0,4096,49362
0,4096,49286
0,4096,49271
0,4096,49402
0,4096,49362
0,4096,49286
0,4096,49231
0,4096,49350
0,4096,49362
0,4096,49323
0,4096,49259
0,4096,49384
0,4096,49386
0,4096,49396
0,4096,49265
0,4096,49325
0,4096,49286
0,4096,49359
0,4096,49271
0,4096,50828
0,4096,79412
0,4096,49372
0,4096,49271
0,4096,49344
0,4096,49308
0,4096,49271
0,4096,49252
0,4096,49216
0,4096,49240
0,4096,49301
0,4096,49262
0,4096,49182
0,4096,49234
0,4096,49353
0,4096,49317
0,4096,49179
0,4096,49347
0,4096,49289
0,4096,49322
