Algoritmo,Tamaño,Ticks
0,4096,169513
0,4096,139178
0,4096,139161
0,4096,139070
0,4096,139326
0,4096,139343
0,4096,139203
0,4096,139467
0,4096,139549
0,4096,139012
0,4096,139499
0,4096,139235
0,4096,139227
0,4096,139136
0,4096,139474
0,4096,139359
0,4096,138930
0,4096,138955
0,4096,139244
0,4096,138947
0,4096,139194
0,4096,138872
0,4096,139376
0,4096,139326
0,4096,139293
0,4096,138922
0,4096,139516
0,4096,139153
0,4096,139235
0,4096,139029
0,4096,138939
0,4096,139227
0,4096,139376
0,4096,139178
0,4096,139326
0,4096,139119
0,4096,139005
0,4096,139235
0,4096,139326
0,4096,139301
0,4096,139144
0,4096,139128
0,4096,139326
0,4096,139235
0,4096,138954
0,4096,138897
0,4096,139021
0,4096,139161
0,4096,139087
0,4096,139145
0,4096,138996
0,4096,139268
0,4096,139161
0,4096,139211
0,4096,139186
0,4096,139136
0,4096,139449
0,4096,138905
0,4096,138996
0,4096,139111
0,4096,139029
0,4096,139384
0,4096,139244
0,4096,138905
0,4096,139243
0,4096,139103
0,4096,138980
0,4096,139111
0,4096,139120
0,4096,235430
0,4096,163136
0,4096,139392
0,4096,138955
0,4096,139136
0,4096,139079
0,4096,139367
0,4096,138963
0,4096,139079
0,4096,139136
0,4096,138930
0,4096,139078
0,4096,139277
0,4096,139202
0,4096,139021
0,4096,139161
0,4096,138930
0,4096,139029
0,4096,139153
0,4096,138971
0,4096,139194
0,4096,138856
0,4096,138873
0,4096,139128
0,4096,138856
0,4096,138938
0,4096,138856
0,4096,138971
0,4096,139343
0,4096,138946
0,4096,138947
0,4096,159720
0,4096,140027
0,4096,139953
0,4096,139953
0,4096,140036
0,4096,140068
0,4096,139937
0,4096,140233
0,4096,139953
0,4096,139970
0,4096,140077
0,4096,140167
0,4096,139903
0,4096,140374
0,4096,139788
0,4096,139994
0,4096,140102
0,4096,140069
0,4096,139871
0,4096,140135
0,4096,139805
0,4096,139854
0,4096,139962
0,4096,139920
0,4096,139846
0,4096,140109
0,4096,220159
0,4096,142805
0,4096,132656
0,4096,117996
0,4096,118074
0,4096,117864
0,4096,117840
0,4096,117696
0,4096,117894
0,4096,118062
0,4096,117948
0,4096,117972
0,4096,117810
0,4096,117714
0,4096,117990
0,4096,117996
0,4096,118026
0,4096,117966
0,4096,117762
0,4096,117726
0,4096,118026
0,4096,118008
0,4096,117960
0,4096,117972
0,4096,117702
0,4096,117690
0,4096,117978
0,4096,118014
0,4096,118002
0,4096,117930
0,4096,117744
0,4096,117714
0,4096,117984
0,4096,118038
0,4096,117954
0,4096,117972
0,4096,117726
0,4096,117678
0,4096,117966
0,4096,118038
0,4096,118014
0,4096,117966
0,4096,117804
0,4096,117750
0,4096,117942
0,4096,118068
0,4096,117816
0,4096,117978
0,4096,117720
0,4096,117834
0,4096,118026
0,4096,118122
0,4096,118002
0,4096,117780
0,4096,117900
0,4096,117678
0,4096,117966
0,4096,118002
0,4096,118020
0,4096,117852
0,4096,118056
0,4096,117696
0,4096,118038
0,4096,117972
0,4096,117864
0,4096,117930
0,4096,117750
0,4096,117732
0,4096,117942
0,4096,118056
0,4096,117834
0,4096,117906
0,4096,117666
0,4096,117702
0,16384,546630
0,16384,468156
0,16384,467340
0,16384,467772
0,16384,467430
0,16384,467220
0,16384,467550
0,16384,468252
0,16384,467568
0,16384,467640
0,16384,467154
0,16384,467526
0,16384,467520
0,16384,468228
0,16384,467496
0,16384,467616
0,16384,467148
0,16384,467952
0,16384,467148
0,16384,467562
0,16384,467514
0,16384,467052
0,16384,467148
0,16384,467052
0,16384,467496
0,16384,517801
0,16384,355317
0,16384,355396
0,16384,355329
0,16384,355862
0,16384,355334
0,16384,355456
0,16384,355319
0,16384,354836
0,16384,355302
0,16384,355456
0,16384,355329
0,16384,355586
0,16384,355324
0,16384,355603
0,16384,355307
0,16384,355670
0,16384,355361
0,16384,355670
0,16384,355307
0,16384,355663
0,16384,355314
0,16384,355663
0,16384,355217
0,16384,355882
0,16384,355334
0,16384,355431
0,16384,355302
0,16384,355424
0,16384,355309
0,16384,355426
0,16384,355583
0,16384,355424
0,16384,355578
0,16384,355424
0,16384,355309
0,16384,378103
0,16384,365122
0,16384,355648
0,16384,355598
0,16384,355339
0,16384,355401
0,16384,355339
0,16384,354963
0,16384,355354
0,16384,354963
0,16384,355033
0,16384,354963
0,16384,355035
0,16384,355312
0,16384,355309
0,16384,355406
0,16384,355309
0,16384,355399
0,16384,355302
0,16384,355399
0,16384,355028
0,16384,354968
0,16384,355035
0,16384,355349
0,16384,355314
0,16384,355394
0,16384,355354
0,16384,354963
0,16384,355354
0,16384,355862
0,16384,355334
0,16384,355394
0,16384,355354
0,16384,355857
0,16384,355314
0,16384,355401
0,16384,355035
0,16384,389076
0,16384,355486
