Algoritmo,Tamaño,Ticks
0,4096,62841
0,4096,46596
0,4096,46581
0,4096,46599
0,4096,46704
0,4096,46560
0,4096,46599
0,4096,46644
0,4096,46671
0,4096,46539
0,4096,46632
0,4096,46518
0,4096,46614
0,4096,46590
0,4096,46629
0,4096,46590
0,4096,46491
0,4096,46569
0,4096,46563
0,4096,46515
0,4096,46578
0,4096,46614
0,4096,46602
0,4096,46569
0,4096,46662
0,4096,46551
0,4096,46575
0,4096,46647
0,4096,46596
0,4096,46533
0,4096,46500
0,4096,46560
0,4096,46626
0,4096,46647
0,4096,46626
0,4096,46575
0,4096,46638
0,4096,46560
0,4096,46602
0,4096,46602
0,4096,46593
0,4096,46671
0,4096,46623
0,4096,46599
0,4096,46659
0,4096,46506
0,4096,46632
0,4096,46629
0,4096,46536
0,4096,46473
0,4096,46530
0,4096,46584
0,4096,46563
0,4096,46611
0,4096,46515
0,4096,46596
0,4096,46524
0,4096,46674
0,4096,46674
0,4096,46605
0,4096,46503
0,4096,46749
0,4096,46650
0,4096,46650
0,4096,46617
0,4096,46473
0,4096,46620
0,4096,46650
0,4096,46569
0,4096,46560
0,4096,46647
0,4096,46521
0,4096,46581
0,4096,46566
0,4096,46638
0,4096,46659
0,4096,46545
0,4096,46587
0,4096,46524
0,4096,46548
0,4096,46647
0,4096,46635
0,4096,46536
0,4096,46590
0,4096,46545
0,4096,46635
0,4096,46560
0,4096,46521
0,4096,46530
0,4096,46647
0,4096,46599
0,4096,46581
0,4096,46584
0,4096,46560
0,4096,46671
0,4096,46518
0,4096,46599
0,4096,46596
0,4096,46593
0,4096,46560
0,16384,241677
0,16384,185889
0,16384,185937
0,16384,186084
0,16384,185850
0,16384,185943
0,16384,185853
0,16384,185946
0,16384,185793
0,16384,185853
0,16384,365706
0,16384,186138
0,16384,185982
0,16384,186015
0,16384,185829
0,16384,185907
0,16384,185856
0,16384,186006
0,16384,186156
0,16384,186015
0,16384,186099
0,16384,186003
0,16384,186006
0,16384,185856
0,16384,186009
0,16384,186009
0,16384,185823
0,16384,185904
0,16384,186006
0,16384,186024
0,16384,186006
0,16384,185856
0,16384,186018
0,16384,185871
0,16384,185970
0,16384,186003
0,16384,186009
0,16384,185856
0,16384,185967
0,16384,185871
0,16384,185997
0,16384,185997
0,16384,185826
0,16384,186156
0,16384,186006
0,16384,186024
0,16384,185820
0,16384,185856
0,16384,186069
0,16384,186078
0,16384,185856
0,16384,185793
0,16384,186180
0,16384,185967
0,16384,185871
0,16384,186006
0,16384,185961
0,16384,186048
0,16384,186093
0,16384,185814
0,16384,185913
0,16384,186156
0,16384,185916
0,16384,185787
0,16384,185892
0,16384,185817
0,16384,186003
0,16384,185883
0,16384,185931
0,16384,185796
0,16384,185997
0,16384,185817
0,16384,185856
0,16384,186048
0,16384,186090
0,16384,185895
0,16384,186006
0,16384,231900
0,16384,191040
0,16384,270327
0,16384,262830
0,16384,185865
0,16384,186144
0,16384,185859
0,16384,186051
0,16384,185946
0,16384,186003
0,16384,185883
0,16384,185970
0,16384,185976
0,16384,186030
0,16384,185826
0,16384,185925
0,16384,186165
0,16384,185814
0,16384,186027
0,16384,185988
0,16384,185853
0,16384,186048
0,16384,186003
0,36864,539454
0,36864,419031
0,36864,576000
0,36864,419037
0,36864,418881
0,36864,418884
0,36864,419022
0,36864,418947
0,36864,419046
0,36864,419010
0,36864,419082
0,36864,418626
0,36864,418911
0,36864,419112
0,36864,418911
0,36864,418875
0,36864,418806
0,36864,418968
0,36864,418848
0,36864,418860
0,36864,418632
0,36864,418890
0,36864,418833
0,36864,418782
0,36864,419019
0,36864,418965
0,36864,418827
0,36864,418677
0,36864,418974
0,36864,418794
0,36864,418980
0,36864,418902
0,36864,419043
0,36864,592485
0,36864,418854
0,36864,418923
0,36864,418704
0,36864,418995
0,36864,419013
0,36864,418962
0,36864,418797
0,36864,418872
0,36864,418515
0,36864,418614
0,36864,419220
0,36864,418902
0,36864,419037
0,36864,418845
0,36864,418575
0,36864,418863
0,36864,418821
0,36864,418752
0,36864,419022
0,36864,419001
0,36864,419001
0,36864,418773
0,36864,419046
0,36864,419013
0,36864,418938
0,36864,419016
0,36864,418791
0,36864,419016
0,36864,418818
0,36864,460317
0,36864,591084
0,36864,418671
0,36864,418860
0,36864,418851
0,36864,418965
0,36864,419001
0,36864,419022
0,36864,418743
0,36864,418998
0,36864,418677
0,36864,418890
0,36864,418986
0,36864,418887
0,36864,418779
0,36864,418821
0,36864,418716
0,36864,418932
0,36864,418893
0,36864,418767
0,36864,418995
0,36864,419034
0,36864,419097
0,36864,419073
0,36864,418632
