Algoritmo,Tamaño,Ticks
0,4096,463906
0,4096,430790
0,4096,431714
0,4096,431393
0,4096,429355
0,4096,429404
0,4096,431533
0,4096,432523
0,4096,433620
0,4096,430567
0,4096,433562
0,4096,429941
0,4096,429693
0,4096,430996
0,4096,429783
0,4096,431442
0,4096,536151
0,4096,430600
0,4096,434709
0,4096,431170
0,4096,430617
0,4096,429156
0,4096,429973
0,4096,433703
0,4096,429718
0,4096,429330
0,4096,429677
0,4096,430749
0,4096,427300
0,4096,429949
0,4096,430303
0,4096,427763
0,4096,431904
0,4096,431557
0,4096,433876
0,4096,431698
0,4096,429701
0,4096,431541
0,4096,432391
0,4096,430040
0,4096,431186
0,4096,433479
0,4096,431103
0,4096,435089
0,4096,434503
0,4096,430279
0,4096,453304
0,4096,431352
0,4096,429388
0,4096,431822
0,4096,428728
0,4096,431104
0,4096,432432
0,4096,432605
0,4096,432754
0,4096,429420
0,4096,430501
0,4096,429990
0,4096,432836
0,4096,429849
0,4096,429643
0,4096,434214
0,4096,433199
0,4096,430526
0,4096,429165
0,4096,432242
0,4096,432201
0,4096,431434
0,4096,432160
0,4096,430146
0,4096,432705
0,4096,427482
0,4096,435881
0,4096,431796
0,4096,434247
0,4096,431467
0,4096,449047
0,4096,431937
0,4096,429702
0,4096,432044
0,4096,431351
0,4096,433158
0,4096,435294
0,4096,429800
0,4096,431228
0,4096,431401
0,4096,429107
0,4096,431755
0,4096,434140
0,4096,428984
0,4096,428299
0,4096,434652
0,4096,433389
0,4096,430658
0,4096,432250
0,4096,429017
0,4096,431665
0,4096,429858
0,4096,428918
0,4096,430048
0,4096,466686
0,4096,436384
0,4096,434066
0,4096,429536
0,4096,431013
0,4096,433521
0,4096,431137
0,4096,432110
0,4096,433661
0,4096,433735
0,4096,449680
0,4096,237856
0,4096,239444
0,4096,239684
0,4096,237756
0,4096,239896
0,4096,239556
0,4096,236764
0,4096,239096
0,4096,239040
0,4096,237528
0,4096,238060
0,4096,238872
0,4096,237968
0,4096,239312
0,4096,237704
0,4096,242276
0,4096,239412
0,4096,240224
0,4096,238724
0,4096,238528
0,4096,238204
0,4096,239596
0,4096,238996
0,4096,237372
0,4096,238720
0,4096,239388
0,4096,239100
0,4096,239300
0,4096,238960
0,4096,239228
0,4096,236948
0,4096,238316
