Algoritmo,Tamaño,Ticks
0,4096,50312
0,4096,43433
0,4096,43447
0,4096,43489
0,4096,43469
0,4096,43614
0,4096,44356
0,4096,44436
0,4096,44510
0,4096,68572
0,4096,48000
0,4096,64836
0,4096,39231
0,4096,39320
0,4096,39287
0,4096,39320
0,4096,39314
0,4096,39275
0,4096,39302
0,4096,39266
0,4096,39284
0,4096,39341
0,4096,39373
0,4096,39258
0,4096,39281
0,4096,39305
0,4096,39356
0,4096,39257
0,4096,39334
0,4096,39305
0,4096,39275
0,4096,39296
0,4096,39362
0,4096,39325
0,4096,39340
0,4096,39287
0,4096,39230
0,4096,39254
0,4096,39275
0,4096,39236
0,4096,39290
0,4096,39323
0,4096,39311
0,4096,39278
0,4096,39326
0,4096,39263
0,4096,39332
0,4096,39329
0,4096,39248
0,4096,39325
0,4096,39314
0,4096,39266
0,4096,39307
0,4096,39287
0,4096,39331
0,4096,39349
0,4096,39263
0,4096,39316
0,4096,39272
0,4096,39308
0,4096,39308
0,4096,39299
0,4096,39260
0,4096,39323
0,4096,39332
0,4096,39275
0,4096,39266
0,4096,176126
0,4096,43967
0,4096,68649
0,4096,65317
0,4096,44742
0,4096,44371
0,4096,44306
0,4096,44917
0,4096,44644
0,4096,44709
0,4096,44775
0,4096,44513
0,4096,44590
0,4096,44757
0,4096,44733
0,4096,44664
0,4096,44703
0,4096,44783
0,4096,44581
0,4096,44593
0,4096,44647
0,4096,44757
0,4096,44768
0,4096,44718
0,4096,44410
0,4096,44751
0,4096,44726
0,4096,44674
0,4096,44472
0,4096,44643
0,4096,44448
0,4096,44551
0,4096,44760
0,4096,51511
0,4096,43700
0,4096,43655
0,4096,44062
0,4096,43920
0,4096,44137
0,4096,43679
0,4096,44706
0,4096,44810
0,4096,44896
0,4096,45024
0,4096,44988
0,4096,44848
0,4096,45118
0,4096,45044
0,4096,45008
0,4096,44934
0,4096,45065
0,4096,44866
0,4096,44787
0,4096,44938
0,4096,44748
0,4096,44970
0,4096,45008
0,4096,44771
0,4096,44970
0,4096,44861
0,4096,44917
0,4096,44798
0,4096,44917
0,4096,44988
0,4096,44902
0,4096,44845
0,4096,44771
0,4096,44747
0,4096,44653
0,4096,44964
0,4096,44647
0,4096,44988
0,4096,44970
0,4096,44872
0,4096,44911
0,4096,44914
0,4096,44979
0,4096,44911
0,4096,44959
0,4096,45044
0,4096,45121
0,4096,44771
0,4096,44691
0,4096,44790
0,4096,44991
0,4096,70256
0,4096,67819
0,4096,44914
0,4096,44970
0,4096,44961
0,4096,44790
0,4096,44994
0,4096,44867
0,4096,44917
0,4096,44959
0,4096,45009
0,4096,44789
0,4096,45006
0,4096,44955
0,4096,44762
0,4096,44697
0,4096,45000
0,4096,45035
0,4096,44952
0,4096,44771
0,4096,70443
0,4096,48493
0,4096,48306
0,4096,48430
0,4096,48288
0,4096,48332
0,4096,48559
0,4096,48318
0,4096,48291
0,4096,48229
0,4096,48333
0,4096,43415
0,4096,43062
0,4096,43468
0,4096,43356
0,4096,43421
0,4096,43611
0,4096,43943
0,4096,43739
0,4096,43086
0,4096,43193
0,4096,43632
0,4096,43287
0,4096,43299
0,4096,43457
0,4096,44739
0,4096,44160
0,4096,43531
0,16384,297157
0,16384,187606
0,16384,209400
0,16384,167416
0,16384,158076
0,16384,252961
0,16384,164754
0,16384,163182
0,16384,163092
0,16384,165710
0,16384,166431
0,16384,164974
0,16384,165259
0,16384,163786
0,16384,191873
0,16384,192630
0,16384,162873
0,16384,163142
0,16384,162935
0,16384,163196
0,16384,162900
0,16384,163071
0,16384,163252
0,16384,192752
0,16384,193645
0,16384,163211
0,16384,162980
0,16384,163208
0,16384,163214
0,16384,163318
0,16384,163217
0,16384,163181
0,16384,163214
0,16384,163119
0,16384,163069
0,16384,163217
0,16384,163119
0,16384,163063
0,16384,163410
0,16384,163057
0,16384,163226
0,16384,163080
0,16384,163300
0,16384,163196
0,16384,189606
0,16384,175236
0,16384,175557
0,16384,205546
0,16384,199649
0,16384,153640
0,16384,153960
0,16384,153833
0,16384,153827
0,16384,153889
0,16384,153898
0,16384,153815
0,16384,153883
0,16384,179139
0,16384,165342
0,16384,165472
0,16384,165128
0,16384,165303
0,16384,166303
0,16384,165205
0,16384,165564
0,16384,167102
0,16384,169055
0,16384,167606
0,16384,186654
0,16384,162911
0,16384,163116
0,16384,163199
