Algoritmo,Tamaño,Ticks
0,4096,346071
0,4096,317477
0,4096,317983
0,4096,317517
0,4096,317581
0,4096,318044
0,4096,382151
0,4096,285102
0,4096,285069
0,4096,285506
0,4096,284645
0,4096,336275
0,4096,294602
0,4096,285025
0,4096,285903
0,4096,317400
0,4096,313741
0,4096,284850
0,4096,284962
0,4096,342623
0,4096,285063
0,4096,285684
0,4096,284829
0,4096,284924
0,4096,285039
0,4096,307740
0,4096,284924
0,4096,379173
0,4096,335791
0,4096,285518
0,4096,284535
0,4096,284395
0,4096,285577
0,4096,285366
0,4096,285464
0,4096,285734
0,4096,284686
0,4096,285146
0,4096,285770
0,4096,285509
0,4096,285645
0,4096,284883
0,4096,284729
0,4096,285423
0,4096,285165
0,4096,285123
0,4096,285864
0,4096,285606
0,4096,311666
0,4096,381714
0,4096,285737
0,4096,285064
0,4096,285301
0,4096,285042
0,4096,285387
0,4096,284942
0,4096,285200
0,4096,285414
0,4096,343326
0,4096,284995
0,4096,285595
0,4096,336142
0,4096,284349
0,4096,284939
0,4096,285502
0,4096,285625
0,4096,285165
0,4096,284889
0,4096,284512
0,4096,285479
0,4096,362735
0,4096,307028
0,4096,352690
0,4096,491046
0,4096,450046
0,4096,437994
0,4096,425568
0,4096,305660
0,4096,310666
0,4096,309565
0,4096,307876
0,4096,310547
0,4096,308200
0,4096,350998
0,4096,345083
0,4096,339824
0,4096,427563
0,4096,287286
0,4096,287661
0,4096,288817
0,4096,288022
0,4096,283589
0,4096,283686
0,4096,346760
0,4096,287316
0,4096,287569
0,4096,286290
0,4096,349051
0,4096,284791
0,4096,285069
0,4096,310894
0,4096,287690
0,4096,287034
0,4096,287256
0,4096,287586
0,4096,287108
0,4096,287399
0,4096,287508
0,4096,288013
0,4096,287103
0,4096,412890
0,4096,287461
0,4096,286999
0,4096,287289
0,4096,288037
0,4096,287699
0,4096,287868
0,4096,287601
0,4096,286880
0,4096,286814
0,4096,288212
0,4096,287144
0,4096,287224
0,4096,287269
0,4096,287687
0,4096,287456
0,4096,287085
0,4096,286933
0,4096,314254
0,4096,311705
0,4096,286862
0,4096,288201
0,4096,287070
0,4096,287841
0,4096,287835
0,4096,287969
0,4096,287767
0,4096,314059
0,4096,314459
0,4096,287465
0,4096,287981
0,4096,373102
0,4096,286915
0,4096,285808
0,4096,284898
0,4096,284853
0,4096,338373
0,4096,287494
0,4096,286835
0,4096,341887
0,4096,285993
0,4096,286918
0,4096,286631
0,4096,286725
0,4096,287180
0,4096,337216
0,4096,287212
0,4096,348918
0,4096,286369
0,4096,286031
0,4096,286198
0,4096,286844
0,4096,286066
0,4096,286470
0,4096,338424
0,4096,287699
0,4096,286972
0,4096,314637
0,4096,322798
0,4096,286986
0,4096,287147
0,4096,287060
0,4096,351650
0,4096,287105
0,4096,287057
0,4096,286497
0,4096,286429
0,4096,287367
0,4096,287209
0,4096,286687
0,4096,286268
0,4096,421971
0,4096,498506
0,4096,477913
0,4096,469079
0,4096,444639
0,4096,431507
0,4096,476299
0,4096,530947
0,4096,443725
0,4096,372375
0,4096,308832
0,4096,308503
0,4096,307957
0,4096,316210
0,4096,315560
0,4096,315839
0,4096,455955
0,4096,310598
0,4096,315602
0,16384,1294977
0,16384,1218955
0,16384,1152342
0,16384,1239127
0,16384,1260673
0,16384,1154442
0,16384,1206331
0,16384,1154324
0,16384,1240911
0,16384,1155298
0,16384,1154404
0,16384,1260949
0,16384,1200633
0,16384,1151246
0,16384,1152077
0,16384,1150698
0,16384,1203588
0,16384,1153137
0,16384,1203574
0,16384,1237290
0,16384,1234171
0,16384,1152323
0,16384,1211382
0,16384,1274796
0,16384,1177487
0,16384,1241982
0,16384,1247378
0,16384,1460916
0,16384,1181067
0,16384,1173520
0,16384,1162963
0,16384,1273544
0,16384,1151136
0,16384,1214480
0,16384,1270270
0,16384,1225559
0,16384,1151662
0,16384,1210477
0,16384,1153443
0,16384,1202793
0,16384,1152513
0,16384,1151739
0,16384,1210008
0,16384,1151961
0,16384,1212394
0,16384,1152270
0,16384,1151294
0,16384,1152825
0,16384,1151151
0,16384,1209830
0,16384,1183889
0,16384,1215557
0,16384,1318775
0,16384,1908935
0,16384,1867027
0,16384,1467501
0,16384,1372139
0,16384,1346978
0,16384,1295001
0,16384,1251734
0,16384,1150573
0,16384,1290386
0,16384,1153056
0,16384,1208486
0,16384,1151905
0,16384,1150935
0,16384,1153196
0,16384,1152707
0,16384,1152621
0,16384,1151234
0,16384,1200953
0,16384,1204484
0,16384,1205722
0,16384,1208768
0,16384,1204333
0,16384,1204909
0,16384,1201558
0,16384,1151727
0,16384,1181437
0,16384,1175852
0,16384,1152169
0,16384,1252307
0,16384,1233480
0,16384,1152056
0,16384,1152974
0,16384,1181268
0,16384,1293630
0,16384,1361244
0,16384,1279275
0,16384,1228850
0,16384,1212901
0,16384,1275957
0,16384,1149520
0,16384,1201244
0,16384,1192162
0,16384,1202669
0,16384,1152161
0,16384,1151903
0,16384,1214997
0,16384,1209560
0,16384,1428654
