Algoritmo,Tamaño,Ticks
0,4096,3048289
0,4096,3212809
0,4096,3733164
0,4096,3098317
0,4096,3098150
0,4096,4044136
0,4096,5641267
0,4096,4340955
0,4096,4188791
0,4096,3523122
0,4096,2967003
0,4096,3059900
0,4096,3163043
0,4096,3147480
0,4096,3029316
0,4096,2996832
0,4096,3203956
0,4096,2888937
0,4096,2964074
0,4096,2939756
0,4096,2882755
0,4096,3016063
0,4096,2879837
0,4096,3036483
0,4096,3128365
0,4096,3015906
0,4096,2881977
0,4096,2945356
0,4096,2940349
0,4096,2879528
0,4096,2993392
0,4096,2875929
0,4096,2878354
0,4096,2886889
0,4096,2945882
0,4096,2944727
0,4096,2947740
0,4096,2876163
0,4096,2879832
0,4096,2885414
0,4096,2966341
0,4096,2886156
0,4096,2934150
0,4096,2887396
0,4096,2881297
0,4096,2939334
0,4096,2883324
0,4096,2988632
0,4096,2881221
0,4096,2997028
0,4096,2880182
0,4096,2878914
0,4096,2991801
0,4096,2874971
0,4096,2940881
0,4096,2883351
0,4096,2878792
0,4096,2886984
0,4096,2968211
0,4096,2961904
0,4096,2973022
0,4096,2964765
0,4096,2882126
0,4096,2934446
0,4096,2881345
0,4096,2883622
0,4096,3339731
0,4096,2883179
0,4096,2925006
0,4096,2940747
0,4096,2887963
0,4096,2924178
0,4096,2879754
0,4096,2934711
0,4096,3123649
0,4096,3091212
0,4096,3091595
0,4096,3099908
0,4096,3107971
0,4096,3133285
0,4096,3055925
0,4096,2878250
0,4096,2941477
0,4096,2938895
0,4096,2883467
0,4096,2973636
0,4096,3030376
0,4096,2945151
0,4096,2882423
0,4096,2890284
0,4096,2877309
0,4096,2935735
0,4096,2886678
0,4096,3578031
0,4096,3053159
0,4096,2899603
0,4096,2939887
0,4096,2875929
0,4096,2937756
0,4096,2938545
0,4096,2936881
0,4096,2802584
0,4096,2652164
0,4096,2651090
0,4096,2729661
0,4096,2649493
0,4096,2706049
0,4096,2681871
0,4096,2927719
0,4096,2890346
0,4096,2845169
0,4096,3577380
0,4096,3668384
0,4096,3555460
0,4096,2744371
0,4096,2650499
0,4096,2648526
0,4096,2782213
0,4096,2647816
0,4096,2707477
0,4096,2722464
0,4096,2648535
0,4096,2651063
0,4096,2775376
0,4096,2703930
0,4096,2679909
0,4096,2650722
0,4096,2784505
0,4096,2648638
0,4096,2759528
0,4096,2723114
0,4096,2648855
0,4096,2733786
0,4096,2915500
0,4096,2849332
0,4096,2848946
0,4096,2843955
0,4096,2859191
0,4096,2835202
0,4096,2653550
0,4096,2655179
0,4096,2710996
0,4096,2718508
0,4096,2659815
0,4096,2653022
0,4096,2753595
0,4096,2912028
0,4096,2932420
0,4096,2648173
0,4096,2650295
0,4096,2713537
0,4096,2650179
0,4096,2711219
0,4096,2647140
0,4096,2773272
0,4096,2651666
0,4096,2648169
0,4096,2712510
0,4096,2709293
0,4096,2692659
