Algoritmo,Tamaño,Ticks
0,4096,490554
0,4096,463275
0,4096,461720
0,4096,486027
0,4096,463735
0,4096,463229
0,4096,464084
0,4096,464646
0,4096,464259
0,4096,655031
0,4096,578818
0,4096,699393
0,4096,633494
0,4096,420968
0,4096,407627
0,4096,454306
0,4096,454035
0,4096,439708
0,4096,403450
0,4096,425565
0,4096,409967
0,4096,432231
0,4096,448470
0,4096,452138
0,4096,435416
0,4096,446205
0,4096,464232
0,4096,467114
0,4096,455629
0,4096,457556
0,4096,455472
0,4096,464386
0,4096,463807
0,4096,505966
0,4096,424605
0,4096,393422
0,4096,377093
0,4096,413259
0,4096,414654
0,4096,424386
0,4096,384488
0,4096,413361
0,4096,402633
0,4096,366937
0,4096,379382
0,4096,295816
0,4096,257330
0,4096,262552
0,4096,262420
0,4096,261970
0,4096,260815
0,4096,266381
0,4096,262813
0,4096,258663
0,4096,258893
0,4096,258587
0,4096,257503
0,4096,256501
0,4096,256476
0,4096,262967
0,4096,257058
0,4096,256915
0,4096,327412
0,4096,257304
0,4096,256256
0,4096,256347
0,4096,323564
0,4096,256716
0,4096,256501
0,4096,256624
0,4096,256415
0,4096,256608
0,4096,256701
0,4096,256603
0,4096,366574
0,4096,257432
0,4096,256731
0,4096,256598
0,4096,256940
0,4096,256946
0,4096,256502
0,4096,265084
0,4096,200800
0,4096,200856
0,4096,200520
0,4096,200692
0,4096,200904
0,4096,200956
0,4096,200684
0,4096,200696
0,4096,204350
0,4096,171082
0,4096,171075
0,4096,171129
0,4096,171218
0,4096,170948
0,4096,171135
0,4096,170815
0,4096,171022
0,4096,171165
0,4096,170232
0,4096,160653
0,4096,159795
0,4096,159964
0,4096,159778
0,4096,159424
0,4096,208932
0,4096,198447
0,4096,172230
0,4096,171479
0,4096,171669
0,4096,230703
0,4096,182385
0,4096,171631
0,4096,170915
0,4096,171019
0,4096,181136
0,4096,230727
0,4096,171755
0,4096,171155
0,4096,171209
0,4096,171093
0,4096,172081
0,4096,225575
0,4096,265305
0,4096,389813
0,4096,377393
0,4096,409774
0,4096,284375
0,4096,167179
0,4096,159255
0,4096,159169
0,4096,159279
0,4096,159267
0,4096,159125
0,4096,159044
0,4096,159240
0,4096,159106
0,4096,159302
0,4096,237941
0,4096,186054
0,4096,159356
0,4096,159276
0,4096,159350
0,4096,159157
0,4096,159374
0,4096,159424
0,4096,188478
0,4096,190834
0,4096,159213
0,4096,159246
0,4096,159219
0,4096,159240
0,4096,159133
0,4096,159192
0,4096,159106
0,4096,159187
0,4096,159187
0,4096,159288
0,4096,159125
0,4096,159270
0,4096,159157
0,4096,159279
0,4096,158920
0,4096,159323
0,4096,159180
0,4096,159130
0,4096,180973
0,4096,159679
0,4096,159154
0,4096,159588
0,4096,159457
0,4096,159261
0,4096,159189
0,4096,159213
0,4096,159368
0,4096,159341
0,4096,159424
0,4096,159208
0,4096,159208
0,4096,159273
0,4096,234458
0,4096,171554
0,4096,171375
0,4096,171372
0,4096,171565
0,4096,171346
0,4096,171358
0,4096,172957
0,4096,171992
0,4096,172358
0,4096,172865
0,4096,197174
0,4096,176020
0,4096,390187
0,4096,161753
0,4096,160638
0,4096,161641
0,4096,163695
0,4096,164021
0,16384,849628
0,16384,771170
0,16384,658691
0,16384,658246
0,16384,658772
0,16384,656167
0,16384,698598
0,16384,755465
0,16384,635607
0,16384,635147
0,16384,635622
0,16384,636056
0,16384,636053
0,16384,636082
0,16384,636082
0,16384,636082
0,16384,635310
0,16384,635423
0,16384,635655
0,16384,635942
0,16384,635358
0,16384,709077
0,16384,635729
0,16384,635577
0,16384,635583
0,16384,635569
0,16384,635853
0,16384,635776
0,16384,635747
0,16384,635865
0,16384,635551
0,16384,691291
0,16384,635744
0,16384,635850
0,16384,635800
0,16384,869041
0,16384,1084700
0,16384,1084757
0,16384,1084951
0,16384,1085712
0,16384,1084926
0,16384,1084374
0,16384,1084128
0,16384,1143135
0,16384,1088840
0,16384,1084561
0,16384,1085682
0,16384,1085048
0,16384,1084210
0,16384,1084956
0,16384,1084272
0,16384,1085411
0,16384,984467
0,16384,801532
0,16384,774567
0,16384,709379
0,16384,709522
0,16384,717844
0,16384,635901
0,16384,635599
0,16384,635402
0,16384,636168
0,16384,635696
0,16384,635964
0,16384,635645
0,16384,706997
0,16384,635655
0,16384,636065
0,16384,635848
0,16384,694734
0,16384,699161
0,16384,696553
0,16384,688593
0,16384,696381
0,16384,710029
0,16384,707231
0,16384,691570
0,16384,688312
0,16384,693707
0,16384,793025
0,16384,646876
0,16384,712261
0,16384,639510
0,16384,700058
0,16384,635812
0,16384,693888
0,16384,635589
0,16384,635562
0,16384,635676
0,16384,636246
0,16384,635913
0,16384,636023
0,16384,726224
0,16384,685516
0,16384,660029
0,16384,635942
0,16384,635589
0,16384,635394
0,16384,636100
0,16384,636002
0,16384,711625
0,16384,662938
0,16384,662601
0,16384,791040
0,16384,637218
0,16384,636393
0,16384,636946
0,16384,637322
0,16384,636385
0,16384,636221
0,16384,636705
0,16384,636827
0,16384,636872
0,16384,636571
0,16384,636409
0,16384,696310
0,16384,636930
0,16384,710531
0,16384,637023
0,16384,636643
0,16384,636693
0,16384,637168
0,16384,637260
0,16384,703322
0,16384,636723
0,16384,636533
0,16384,636382
0,16384,636706
0,16384,637026
0,16384,636414
0,16384,637067
0,16384,876350
0,16384,901356
0,16384,1145131
0,16384,1188001
0,16384,1086741
0,16384,1086259
0,16384,1086075
0,16384,1086540
0,16384,1086351
0,16384,895207
0,16384,801988
0,16384,802492
0,16384,802628
0,16384,661482
0,16384,637251
0,16384,636453
0,16384,636723
0,16384,637169
0,16384,636765
0,16384,636779
0,16384,636963
0,16384,636408
0,16384,714249
0,16384,636972
0,16384,689819
0,16384,636666
0,16384,636844
0,16384,637005
0,16384,637011
0,16384,636212
0,16384,637331
0,16384,636340
0,16384,636729
0,16384,637560
0,16384,636536
0,16384,636557
0,16384,716760
0,16384,637711
0,16384,637076
0,16384,637171
0,16384,693158
0,16384,994781
0,16384,1088476
0,16384,1026248
0,16384,1018230
0,16384,817693
0,16384,695968
0,16384,751854
0,16384,685729
0,16384,754916
0,16384,652188
0,16384,646947
0,16384,646992
0,16384,702221
0,16384,667962
0,16384,674262
0,16384,637254
0,16384,637150
0,16384,637100
0,16384,636637
0,16384,636996
0,16384,735855
0,16384,636922
0,16384,637163
0,16384,637189
0,16384,636687
0,16384,665323
0,16384,671200
0,16384,636999
0,36864,1707702
0,36864,1429176
0,36864,1427900
0,36864,1428327
0,36864,1428030
0,36864,1427736
0,36864,1428719
