Algoritmo,Tamaño,Ticks
0,4096,189568
0,4096,177472
0,4096,177012
0,4096,283540
0,4096,176904
0,4096,176892
0,4096,176960
0,4096,176604
0,4096,171570
0,4096,140579
0,4096,140306
0,4096,140283
0,4096,140217
0,4096,140122
0,4096,140208
0,4096,140267
0,4096,140279
0,4096,140308
0,4096,140205
0,4096,140104
0,4096,140436
0,4096,140173
0,4096,140279
0,4096,140297
0,4096,140217
0,4096,140152
0,4096,171352
0,4096,154786
0,4096,166253
0,4096,140602
0,4096,140113
0,4096,140345
0,4096,140294
0,4096,140187
0,4096,140053
0,4096,140377
0,4096,140333
0,4096,140271
0,4096,140063
0,4096,140389
0,4096,140350
0,4096,140089
0,4096,140182
0,4096,140282
0,4096,140146
0,4096,144633
0,4096,165754
0,4096,161140
0,4096,140143
0,4096,140027
0,4096,140336
0,4096,140152
0,4096,140377
0,4096,140463
0,4096,140273
0,4096,140356
0,4096,140418
0,4096,139977
0,4096,140359
0,4096,140404
0,4096,140416
0,4096,140312
0,4096,140196
0,4096,140320
0,4096,144948
0,4096,202975
0,4096,140345
0,4096,140021
0,4096,140247
0,4096,139932
0,4096,140567
0,4096,140253
0,4096,140063
0,4096,140267
0,4096,140383
0,4096,140190
0,4096,140054
0,4096,140110
0,4096,140253
0,4096,140012
0,4096,140386
0,4096,140024
0,4096,147625
0,4096,140525
0,4096,140386
0,4096,140074
0,4096,140330
0,4096,140466
0,4096,140407
0,4096,140140
0,4096,140137
0,4096,140131
0,4096,140327
0,4096,140211
0,4096,140234
0,4096,140164
0,4096,140250
0,4096,140297
0,4096,140214
0,4096,140220
0,4096,151687
0,4096,142371
0,4096,142166
0,4096,142096
0,4096,141737
0,4096,142021
0,4096,142030
0,4096,142232
0,4096,142158
0,4096,142259
0,4096,142184
0,4096,142327
0,4096,142048
0,4096,142253
0,4096,142096
0,4096,142030
0,4096,142048
0,4096,142172
0,4096,255526
0,4096,141965
0,4096,141633
0,4096,141730
0,4096,141864
0,4096,141793
0,4096,141588
0,4096,141380
0,4096,141567
0,4096,141822
0,4096,174423
0,4096,391472
0,4096,165431
0,4096,141704
0,4096,141706
0,4096,141905
0,4096,141644
0,4096,141920
0,4096,167446
0,4096,195841
0,4096,152403
0,4096,152402
0,4096,152376
0,4096,152459
0,4096,152604
0,4096,153563
0,4096,152370
0,4096,153041
0,4096,154611
0,4096,153569
0,4096,154417
0,4096,154216
0,4096,156258
0,4096,154696
0,4096,154293
0,4096,154450
0,4096,153880
0,4096,153287
0,4096,154863
0,4096,152631
0,4096,152996
0,4096,153058
0,4096,152868
0,4096,153292
0,4096,154207
0,4096,152966
0,4096,153491
0,4096,153884
0,4096,154070
0,4096,153726
0,4096,161701
0,4096,163350
0,4096,159777
0,4096,155257
0,4096,156014
0,4096,155088
0,4096,155845
0,4096,310847
0,4096,173889
0,4096,141689
0,4096,141561
0,4096,142113
0,4096,142499
0,4096,143158
0,4096,144253
0,4096,143986
0,4096,144588
0,4096,144849
0,4096,143704
0,4096,207525
0,4096,144019
0,4096,144138
